Created as New Dataset,Sample 731 By YargerLab Date Thursday, March 19 2026
cm-1,A
4000.00,0.0121
3999.00,0.0121
3998.00,0.0121
3997.00,0.0121
3996.00,0.0121
3995.00,0.0121
3994.00,0.0122
3993.00,0.0122
3992.00,0.0122
3991.00,0.0121
3990.00,0.0121
3989.00,0.0121
3988.00,0.0121
3987.00,0.0121
3986.00,0.0121
3985.00,0.0121
3984.00,0.0121
3983.00,0.0121
3982.00,0.0121
3981.00,0.0121
3980.00,0.0121
3979.00,0.0120
3978.00,0.0120
3977.00,0.0120
3976.00,0.0121
3975.00,0.0121
3974.00,0.0120
3973.00,0.0120
3972.00,0.0120
3971.00,0.0120
3970.00,0.0120
3969.00,0.0120
3968.00,0.0120
3967.00,0.0120
3966.00,0.0120
3965.00,0.0120
3964.00,0.0120
3963.00,0.0120
3962.00,0.0120
3961.00,0.0120
3960.00,0.0120
3959.00,0.0120
3958.00,0.0120
3957.00,0.0120
3956.00,0.0120
3955.00,0.0120
3954.00,0.0120
3953.00,0.0120
3952.00,0.0120
3951.00,0.0120
3950.00,0.0120
3949.00,0.0120
3948.00,0.0120
3947.00,0.0120
3946.00,0.0120
3945.00,0.0120
3944.00,0.0120
3943.00,0.0120
3942.00,0.0120
3941.00,0.0120
3940.00,0.0120
3939.00,0.0120
3938.00,0.0120
3937.00,0.0120
3936.00,0.0120
3935.00,0.0120
3934.00,0.0120
3933.00,0.0120
3932.00,0.0120
3931.00,0.0120
3930.00,0.0120
3929.00,0.0120
3928.00,0.0120
3927.00,0.0120
3926.00,0.0120
3925.00,0.0120
3924.00,0.0120
3923.00,0.0120
3922.00,0.0120
3921.00,0.0120
3920.00,0.0120
3919.00,0.0120
3918.00,0.0119
3917.00,0.0119
3916.00,0.0119
3915.00,0.0119
3914.00,0.0119
3913.00,0.0119
3912.00,0.0119
3911.00,0.0119
3910.00,0.0119
3909.00,0.0119
3908.00,0.0119
3907.00,0.0119
3906.00,0.0119
3905.00,0.0119
3904.00,0.0119
3903.00,0.0120
3902.00,0.0120
3901.00,0.0120
3900.00,0.0120
3899.00,0.0120
3898.00,0.0120
3897.00,0.0120
3896.00,0.0120
3895.00,0.0120
3894.00,0.0119
3893.00,0.0119
3892.00,0.0119
3891.00,0.0119
3890.00,0.0119
3889.00,0.0119
3888.00,0.0120
3887.00,0.0120
3886.00,0.0120
3885.00,0.0120
3884.00,0.0120
3883.00,0.0120
3882.00,0.0120
3881.00,0.0120
3880.00,0.0119
3879.00,0.0119
3878.00,0.0119
3877.00,0.0119
3876.00,0.0119
3875.00,0.0119
3874.00,0.0119
3873.00,0.0119
3872.00,0.0120
3871.00,0.0120
3870.00,0.0120
3869.00,0.0120
3868.00,0.0120
3867.00,0.0120
3866.00,0.0120
3865.00,0.0120
3864.00,0.0119
3863.00,0.0119
3862.00,0.0119
3861.00,0.0119
3860.00,0.0119
3859.00,0.0119
3858.00,0.0119
3857.00,0.0119
3856.00,0.0119
3855.00,0.0119
3854.00,0.0119
3853.00,0.0119
3852.00,0.0120
3851.00,0.0120
3850.00,0.0120
3849.00,0.0120
3848.00,0.0119
3847.00,0.0119
3846.00,0.0118
3845.00,0.0118
3844.00,0.0118
3843.00,0.0118
3842.00,0.0118
3841.00,0.0119
3840.00,0.0119
3839.00,0.0119
3838.00,0.0120
3837.00,0.0119
3836.00,0.0119
3835.00,0.0119
3834.00,0.0119
3833.00,0.0119
3832.00,0.0118
3831.00,0.0118
3830.00,0.0118
