Created as New Dataset,Sample 799 By YargerLab Date Wednesday, July 09 2025
cm-1,A
4000.00,0.0052
3999.00,0.0052
3998.00,0.0052
3997.00,0.0052
3996.00,0.0052
3995.00,0.0052
3994.00,0.0052
3993.00,0.0052
3992.00,0.0052
3991.00,0.0052
3990.00,0.0053
3989.00,0.0052
3988.00,0.0052
3987.00,0.0052
3986.00,0.0052
3985.00,0.0052
3984.00,0.0052
3983.00,0.0052
3982.00,0.0052
3981.00,0.0052
3980.00,0.0052
3979.00,0.0053
3978.00,0.0053
3977.00,0.0053
3976.00,0.0053
3975.00,0.0053
3974.00,0.0053
3973.00,0.0053
3972.00,0.0053
3971.00,0.0053
3970.00,0.0053
3969.00,0.0053
3968.00,0.0054
3967.00,0.0054
3966.00,0.0054
3965.00,0.0054
3964.00,0.0054
3963.00,0.0054
3962.00,0.0054
3961.00,0.0054
3960.00,0.0054
3959.00,0.0054
3958.00,0.0054
3957.00,0.0054
3956.00,0.0054
3955.00,0.0054
3954.00,0.0054
3953.00,0.0054
3952.00,0.0054
3951.00,0.0054
3950.00,0.0054
3949.00,0.0054
3948.00,0.0054
3947.00,0.0054
3946.00,0.0054
3945.00,0.0054
3944.00,0.0054
3943.00,0.0054
3942.00,0.0054
3941.00,0.0054
3940.00,0.0054
3939.00,0.0054
3938.00,0.0054
3937.00,0.0054
3936.00,0.0054
3935.00,0.0054
3934.00,0.0054
3933.00,0.0054
3932.00,0.0054
3931.00,0.0054
3930.00,0.0055
3929.00,0.0055
3928.00,0.0055
3927.00,0.0055
3926.00,0.0055
3925.00,0.0055
3924.00,0.0055
3923.00,0.0055
3922.00,0.0055
3921.00,0.0055
3920.00,0.0055
3919.00,0.0055
3918.00,0.0055
3917.00,0.0055
3916.00,0.0054
3915.00,0.0054
3914.00,0.0054
3913.00,0.0054
3912.00,0.0054
3911.00,0.0054
3910.00,0.0054
3909.00,0.0053
3908.00,0.0053
3907.00,0.0053
3906.00,0.0053
3905.00,0.0053
3904.00,0.0053
3903.00,0.0053
3902.00,0.0053
3901.00,0.0052
3900.00,0.0052
3899.00,0.0052
3898.00,0.0052
3897.00,0.0052
3896.00,0.0052
3895.00,0.0052
3894.00,0.0052
3893.00,0.0052
3892.00,0.0052
3891.00,0.0052
3890.00,0.0052
3889.00,0.0052
3888.00,0.0052
3887.00,0.0052
3886.00,0.0052
3885.00,0.0052
3884.00,0.0052
3883.00,0.0052
3882.00,0.0052
3881.00,0.0052
3880.00,0.0052
3879.00,0.0052
3878.00,0.0052
3877.00,0.0052
3876.00,0.0052
3875.00,0.0052
3874.00,0.0052
3873.00,0.0052
3872.00,0.0051
3871.00,0.0051
3870.00,0.0051
3869.00,0.0051
3868.00,0.0051
3867.00,0.0051
3866.00,0.0051
3865.00,0.0051
3864.00,0.0051
3863.00,0.0051
3862.00,0.0051
3861.00,0.0051
3860.00,0.0051
3859.00,0.0051
3858.00,0.0051
3857.00,0.0050
3856.00,0.0050
3855.00,0.0049
3854.00,0.0049
3853.00,0.0048
3852.00,0.0049
3851.00,0.0049
3850.00,0.0049
3849.00,0.0050
3848.00,0.0051
3847.00,0.0051
3846.00,0.0051
3845.00,0.0051
3844.00,0.0051
3843.00,0.0051
3842.00,0.0051
3841.00,0.0050
3840.00,0.0050
3839.00,0.0050
3838.00,0.0050
3837.00,0.0050
3836.00,0.0050
3835.00,0.0050
3834.00,0.0050
3833.00,0.0050
3832.00,0.0050
3831.00,0.0050
3830.00,0.0050
3829.00,0.0050
3828.00,0.0050
3827.00,0.0050
3826.00,0.0050
3825.00,0.0050
3824.00,0.0050
3823.00,0.0050
3822.00,0.0049
3821.00,0.0050
3820.00,0.0050
3819.00,0.0050
3818.00,0.0049
