Filename,2026_04_22_Gln_Hermetic_20Cmin_DSC
Instrument name,DSC2A-00468 (192.168.1.100)
Operator,Yarger
rundate,4/22/2026
Sample name,2026_04_22_Gln_Hermetic_20Cmin_DSC
proceduresegments,Data Off ; Equilibrate -80.00 °C; Data On ; Ramp 20.00 °C/min to 150.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 20.00 °C/min to -80.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 20.00 °C/min to 150.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 20.00 °C/min to -80.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 20.00 °C/min to 30.00 °C
[File Parameters]
Run date,4/22/2026 6:10:33 AM
Trios version,5.1.1.46572
Original File Name,D:\DSC2500\JYarger\2026_04_22_Gln_Hermetic_20Cmin_DSC.tri
Current File Name,Y:\Files\Data\DSC\DSC2500\JYarger\2026_04_22_Gln_Hermetic_20Cmin_DSC.tri
[Procedure]
Procedure Name,DSC_20Cmin_n80C_150C_x2p5
Sample Name,2026_04_22_Gln_Hermetic_20Cmin_DSC
Sample Mass,11.66 mg
Reference Sample Mass,0 mg
Pan Mass,56.77 mg
Pan Number,42
Reference Pan Mass,56.19 mg
Reference Pan Number,1
Pan Type,Tzero Aluminum Hermetic
Comments,Hermetic sealed Al pan/lids.  Thermal Support Al pan/lids.  Google Sheet: DSC_Y2_Tray_MechanoChem_Samples_April2026
Project Name,Pharma
Operator,Yarger
Test,Custom
Unload Max Temperature,30
Unload Min Temperature,30
Load Max Temperature,30
Load Min Temperature,30
Stop on Gas Flow Error,Yes
[Signal List]
Signal #1,Time (min)
Signal #2,Temperature (°C)
Signal #3,Heat Flow (mW)
Signal #4,Delta T (µV)
Signal #5,Delta Tzero (µV)
Signal #6,Tzero Temperature (°C)
Signal #7,Cell Purge (mL/min)
Signal #8,Heater Temp (°C)
Signal #9,Power Delivered (W)
Signal #10,Reference Junction Temperature (°C)
Signal #11,Flange Temperature (°C)
Signal #12,Heat Flow Phase (rad)
Signal #13,Total Heat Capacity (J/°C)
Signal #14,Heat Capacity (J/°C)
[Configuration]
Company Name,ASU
Instrument Name,DSC2A-00468
Instrument Type,DSC2500
Serial Number,DSC2A-00468
IP,192.168.1.100
Location of Instrument,MRRC
DisplayType,Unknown
Sample Interval ,0.1 s/pt
Selected Heat Flow,T4P
Exotherm Direction,Down
Cell Serial,DRC2-00792
Lid Type,Standard
Cooler,RCS 90
Leave Cooler on at End of Sequence,On
Gas 2,Nitrogen
Gas Selected,Channel 1
Flow Rate,50 mL/min
Secondary Purge,On
Licensed Heat Flow,Heat Flow T4P
Modulation Licensed,Yes
[Versions]
Common IDD Version,1
Cortex Version,VER 2.10.2.31
Driver,5.0.0.6
GDM Version,1.0.3.3
TouchscreenVersion,1.0.0.16145
FEP Version,1.2.1.21
FEP Bootloader,2.0.0.5
AutoSampler Version,2.1.1.26
Auto Sampler Bootloader,2.0.0.5
FCM Version,1.1.0.3
FCM Bootloader,2.0.0.5
[Experiment Logs]
Experiment Log Entry # 1,Data On set to 0
Experiment Log Entry # 3,Equilibrate Segment -80 (C) Started
Experiment Log Entry # 5,Air Cool is off.
Experiment Log Entry # 7,Data On set to 1
Experiment Log Entry # 9,Ramp Segment 20 C/min to 150 Started
Experiment Log Entry # 11,Data On set to 0
Experiment Log Entry # 13,Isothermal Segment 1 min started
Experiment Log Entry # 15,Data On set to 1
Experiment Log Entry # 17,Ramp Segment 20 C/min to -80 Started
Experiment Log Entry # 19,Data On set to 0
Experiment Log Entry # 21,Isothermal Segment 1 min started
Experiment Log Entry # 23,Data On set to 1
Experiment Log Entry # 25,Ramp Segment 20 C/min to 150 Started
Experiment Log Entry # 27,Data On set to 0
Experiment Log Entry # 29,Isothermal Segment 1 min started
Experiment Log Entry # 31,Data On set to 1
Experiment Log Entry # 33,Ramp Segment 20 C/min to -80 Started
Experiment Log Entry # 35,Data On set to 0
Experiment Log Entry # 37,Isothermal Segment 1 min started
Experiment Log Entry # 39,Data On set to 1
Experiment Log Entry # 41,Ramp Segment 20 C/min to 30 Started
[Method Log]
Method Log Entry # 1,Data Off
Method Log Entry # 2,Equilibrate -80 °C
Method Log Entry # 3,Data On
Method Log Entry # 4,(Ramp 359203) Ramp 20 °C/minute to 150 °C
Method Log Entry # 5,Data Off
Method Log Entry # 6,Isothermal 1 minutes
Method Log Entry # 7,Data On
Method Log Entry # 8,(Ramp 359207) Ramp 20 °C/minute to -80 °C
Method Log Entry # 9,Data Off
Method Log Entry # 10,Isothermal 1 minutes
Method Log Entry # 11,Data On
Method Log Entry # 12,(Ramp 359211) Ramp 20 °C/minute to 150 °C
Method Log Entry # 13,Data Off
Method Log Entry # 14,Isothermal 1 minutes
Method Log Entry # 15,Data On
Method Log Entry # 16,(Ramp 359215) Ramp 20 °C/minute to -80 °C
Method Log Entry # 17,Data Off
Method Log Entry # 18,Isothermal 1 minutes
Method Log Entry # 19,Data On
Method Log Entry # 20,(Ramp 359219) Ramp 20 °C/minute to 30 °C
Cell Serial,DRC2-00792
[T1 Calibration]
Slope,-0.008529666
Offset,9.636258
Initial Temperature,98.23
GUID,f8bfdadc-4977-4fdf-ba6d-0ba9134940c3
[TZero Calibration]
Date Applied,11/29/2022 4:06:13 PM
Description,From -89.059 °C to 396.009 °C at 20.000°C/min
Gas Type,Nitrogen
Pan Type,None
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\TZero_calibration_11_29_22_2nd(2).tri
Source Files 2,C:\Users\yargerlab\Desktop\DSC Data\General\TZero_calibration_11_29_22_2nd(3).tri
Delta T Offset,13.05235
Delta T Slope,-0.007271007
Delta T0 Offset,-13.69128
Delta T0 Slope,0.06063341
[Temperature Calibration]
Date Applied,11/29/2022 7:12:28 PM
Description,From 106.590 °C to 186.590 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Indium(6).tri
Measured 1,157.391
Known 1,156.598
[Cell Constant Calibration]
Date Applied,11/29/2022 7:12:29 PM
Description,From 106.590 °C to 186.590 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Indium(6).tri
T4P KCell,1.006051
Onset Slope,63.26126 mW/°C
[Direct Cp Calibration]
Date Applied,11/30/2022 11:04:51 AM
Description,From -79.983 °C to 298.409 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Sapphire_Heat_Capacity_11_30_22.tri
[Rev Cp Calibration]
Date Applied,11/30/2022 1:58:51 PM
Description,From -79.996 °C to 292.812 °C at 3.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Sapphire_MDSC_Calibration_11_30_22.tri
[step]
Ramp 20.00 °C/min to 150.00 °C
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
0.00,-79.71,-0.040
0.00,-79.71,-0.040
0.00,-79.71,-0.040
0.01,-79.72,-0.040
0.01,-79.72,-0.040
0.01,-79.72,-0.039
0.01,-79.72,-0.039
0.01,-79.72,-0.039
0.01,-79.72,-0.039
0.01,-79.72,-0.039
0.02,-79.72,-0.038
0.02,-79.72,-0.038
0.02,-79.72,-0.038
0.02,-79.72,-0.038
0.02,-79.72,-0.037
0.03,-79.72,-0.037
0.03,-79.72,-0.037
0.03,-79.72,-0.036
0.03,-79.72,-0.036
0.03,-79.72,-0.036
0.03,-79.72,-0.035
0.03,-79.72,-0.035
0.04,-79.72,-0.035
0.04,-79.72,-0.034
0.04,-79.72,-0.034
0.04,-79.72,-0.034
0.04,-79.72,-0.034
0.05,-79.72,-0.033
0.05,-79.71,-0.033
0.05,-79.71,-0.033
0.05,-79.71,-0.033
0.05,-79.71,-0.032
0.05,-79.71,-0.032
0.05,-79.70,-0.032
0.06,-79.70,-0.031
0.06,-79.70,-0.031
0.06,-79.69,-0.030
0.06,-79.69,-0.030
0.06,-79.69,-0.030
0.07,-79.68,-0.030
0.07,-79.68,-0.029
0.07,-79.67,-0.029
0.07,-79.67,-0.028
0.07,-79.66,-0.028
0.07,-79.66,-0.027
0.08,-79.65,-0.027
0.08,-79.64,-0.026
0.08,-79.64,-0.026
0.08,-79.63,-0.025
0.08,-79.62,-0.024
0.08,-79.61,-0.023
0.08,-79.61,-0.023
0.09,-79.60,-0.022
