Created as New Dataset,Sample 543 By YargerLab Date Thursday, February 19 2026
cm-1,A
4000.00,0.0052
3999.00,0.0052
3998.00,0.0052
3997.00,0.0052
3996.00,0.0053
3995.00,0.0053
3994.00,0.0053
3993.00,0.0053
3992.00,0.0052
3991.00,0.0052
3990.00,0.0052
3989.00,0.0052
3988.00,0.0052
3987.00,0.0052
3986.00,0.0052
3985.00,0.0052
3984.00,0.0052
3983.00,0.0052
3982.00,0.0052
3981.00,0.0052
3980.00,0.0052
3979.00,0.0052
3978.00,0.0052
3977.00,0.0052
3976.00,0.0052
3975.00,0.0052
3974.00,0.0052
3973.00,0.0052
3972.00,0.0052
3971.00,0.0052
3970.00,0.0052
3969.00,0.0053
3968.00,0.0053
3967.00,0.0053
3966.00,0.0053
3965.00,0.0053
3964.00,0.0052
3963.00,0.0052
3962.00,0.0052
3961.00,0.0052
3960.00,0.0052
3959.00,0.0052
3958.00,0.0052
3957.00,0.0052
3956.00,0.0052
3955.00,0.0052
3954.00,0.0052
3953.00,0.0052
3952.00,0.0052
3951.00,0.0052
3950.00,0.0052
3949.00,0.0052
3948.00,0.0052
3947.00,0.0052
3946.00,0.0052
3945.00,0.0052
3944.00,0.0052
3943.00,0.0052
3942.00,0.0052
3941.00,0.0052
3940.00,0.0052
3939.00,0.0052
3938.00,0.0052
3937.00,0.0052
3936.00,0.0052
3935.00,0.0052
3934.00,0.0052
3933.00,0.0052
3932.00,0.0052
3931.00,0.0052
3930.00,0.0052
3929.00,0.0052
3928.00,0.0052
3927.00,0.0052
3926.00,0.0052
3925.00,0.0052
3924.00,0.0052
3923.00,0.0052
3922.00,0.0052
3921.00,0.0052
3920.00,0.0052
3919.00,0.0052
3918.00,0.0052
3917.00,0.0052
3916.00,0.0052
3915.00,0.0052
3914.00,0.0052
3913.00,0.0052
3912.00,0.0052
3911.00,0.0052
3910.00,0.0052
3909.00,0.0052
3908.00,0.0052
3907.00,0.0052
3906.00,0.0052
3905.00,0.0051
3904.00,0.0051
3903.00,0.0051
3902.00,0.0051
3901.00,0.0051
3900.00,0.0052
3899.00,0.0052
3898.00,0.0052
3897.00,0.0052
3896.00,0.0052
3895.00,0.0052
3894.00,0.0052
3893.00,0.0052
3892.00,0.0052
3891.00,0.0052
3890.00,0.0051
3889.00,0.0051
3888.00,0.0051
3887.00,0.0051
3886.00,0.0051
3885.00,0.0051
3884.00,0.0052
3883.00,0.0052
3882.00,0.0052
3881.00,0.0052
3880.00,0.0052
3879.00,0.0052
3878.00,0.0052
3877.00,0.0052
3876.00,0.0052
3875.00,0.0052
3874.00,0.0051
3873.00,0.0051
3872.00,0.0051
3871.00,0.0051
3870.00,0.0051
3869.00,0.0051
3868.00,0.0052
3867.00,0.0052
3866.00,0.0052
3865.00,0.0052
3864.00,0.0052
3863.00,0.0052
3862.00,0.0051
3861.00,0.0051
3860.00,0.0051
3859.00,0.0051
3858.00,0.0051
3857.00,0.0051
3856.00,0.0051
3855.00,0.0051
3854.00,0.0051
3853.00,0.0051
3852.00,0.0052
3851.00,0.0052
3850.00,0.0052
3849.00,0.0052
3848.00,0.0052
3847.00,0.0052
3846.00,0.0052
3845.00,0.0052
3844.00,0.0052
3843.00,0.0052
3842.00,0.0051
3841.00,0.0051
3840.00,0.0051
3839.00,0.0051
3838.00,0.0051
3837.00,0.0052
3836.00,0.0052
3835.00,0.0052
3834.00,0.0052
3833.00,0.0052
3832.00,0.0052
3831.00,0.0052
3830.00,0.0052
3829.00,0.0052
3828.00,0.0052
3827.00,0.0052
3826.00,0.0052
3825.00,0.0053
3824.00,0.0053
3823.00,0.0052
3822.00,0.0052
3821.00,0.0052
3820.00,0.0052
3819.00,0.0052
3818.00,0.0052
