Created as New Dataset,Sample 534 By YargerLab Date Thursday, February 19 2026
cm-1,A
4000.00,0.0035
3999.00,0.0035
3998.00,0.0035
3997.00,0.0035
3996.00,0.0035
3995.00,0.0035
3994.00,0.0035
3993.00,0.0035
3992.00,0.0035
3991.00,0.0035
3990.00,0.0035
3989.00,0.0035
3988.00,0.0035
3987.00,0.0035
3986.00,0.0035
3985.00,0.0035
3984.00,0.0035
3983.00,0.0035
3982.00,0.0035
3981.00,0.0035
3980.00,0.0035
3979.00,0.0035
3978.00,0.0035
3977.00,0.0035
3976.00,0.0035
3975.00,0.0035
3974.00,0.0035
3973.00,0.0035
3972.00,0.0035
3971.00,0.0035
3970.00,0.0035
3969.00,0.0035
3968.00,0.0035
3967.00,0.0035
3966.00,0.0035
3965.00,0.0035
3964.00,0.0035
3963.00,0.0035
3962.00,0.0035
3961.00,0.0035
3960.00,0.0035
3959.00,0.0035
3958.00,0.0036
3957.00,0.0036
3956.00,0.0035
3955.00,0.0035
3954.00,0.0035
3953.00,0.0035
3952.00,0.0035
3951.00,0.0035
3950.00,0.0035
3949.00,0.0035
3948.00,0.0036
3947.00,0.0036
3946.00,0.0036
3945.00,0.0036
3944.00,0.0036
3943.00,0.0036
3942.00,0.0036
3941.00,0.0035
3940.00,0.0035
3939.00,0.0035
3938.00,0.0035
3937.00,0.0035
3936.00,0.0035
3935.00,0.0035
3934.00,0.0035
3933.00,0.0035
3932.00,0.0035
3931.00,0.0035
3930.00,0.0035
3929.00,0.0035
3928.00,0.0035
3927.00,0.0035
3926.00,0.0035
3925.00,0.0035
3924.00,0.0035
3923.00,0.0035
3922.00,0.0035
3921.00,0.0035
3920.00,0.0035
3919.00,0.0035
3918.00,0.0035
3917.00,0.0035
3916.00,0.0035
3915.00,0.0035
3914.00,0.0035
3913.00,0.0035
3912.00,0.0035
3911.00,0.0035
3910.00,0.0035
3909.00,0.0035
3908.00,0.0035
3907.00,0.0035
3906.00,0.0036
3905.00,0.0036
3904.00,0.0036
3903.00,0.0037
3902.00,0.0037
3901.00,0.0036
3900.00,0.0036
3899.00,0.0035
3898.00,0.0035
3897.00,0.0035
3896.00,0.0035
3895.00,0.0035
3894.00,0.0035
3893.00,0.0035
3892.00,0.0036
3891.00,0.0036
3890.00,0.0036
3889.00,0.0036
3888.00,0.0036
3887.00,0.0036
3886.00,0.0035
3885.00,0.0036
3884.00,0.0036
3883.00,0.0036
3882.00,0.0035
3881.00,0.0035
3880.00,0.0035
3879.00,0.0035
3878.00,0.0035
3877.00,0.0035
3876.00,0.0035
3875.00,0.0035
3874.00,0.0035
3873.00,0.0036
3872.00,0.0036
3871.00,0.0036
3870.00,0.0036
3869.00,0.0036
3868.00,0.0036
3867.00,0.0036
3866.00,0.0035
3865.00,0.0035
3864.00,0.0035
3863.00,0.0035
3862.00,0.0035
3861.00,0.0035
3860.00,0.0035
3859.00,0.0036
3858.00,0.0036
3857.00,0.0036
3856.00,0.0037
3855.00,0.0037
3854.00,0.0036
3853.00,0.0036
3852.00,0.0036
3851.00,0.0036
3850.00,0.0036
3849.00,0.0035
3848.00,0.0035
3847.00,0.0035
3846.00,0.0035
3845.00,0.0035
3844.00,0.0035
3843.00,0.0036
3842.00,0.0036
3841.00,0.0036
3840.00,0.0036
3839.00,0.0036
3838.00,0.0036
3837.00,0.0036
3836.00,0.0036
3835.00,0.0036
3834.00,0.0035
3833.00,0.0035
3832.00,0.0035
3831.00,0.0035
3830.00,0.0036
3829.00,0.0036
3828.00,0.0036
3827.00,0.0036
3826.00,0.0036
3825.00,0.0036
3824.00,0.0037
3823.00,0.0036
3822.00,0.0036
3821.00,0.0036
3820.00,0.0037
3819.00,0.0037
3818.00,0.0036
3817.00,0.0036
3816.00,0.0035
3815.00,0.0035
3814.00,0.0035
3813.00,0.0035
3812.00,0.0035
3811.00,0.0035
3810.00,0.0035
3809.00,0.0035
3808.00,0.0035
3807.00,0.0036
3806.00,0.0036
3805.00,0.0036
3804.00,0.0036
3803.00,0.0036
3802.00,0.0035
3801.00,0.0036
3800.00,0.0036
3799.00,0.0036
3798.00,0.0036
3797.00,0.0036
3796.00,0.0036
3795.00,0.0036
3794.00,0.0036
3793.00,0.0036
3792.00,0.0036
3791.00,0.0035
3790.00,0.0035
3789.00,0.0035
3788.00,0.0035
3787.00,0.0035
3786.00,0.0035
3785.00,0.0035
3784.00,0.0035
3783.00,0.0035
3782.00,0.0035
3781.00,0.0035
3780.00,0.0035
3779.00,0.0035
3778.00,0.0035
3777.00,0.0036
3776.00,0.0035
3775.00,0.0035
3774.00,0.0036
3773.00,0.0036
3772.00,0.0036
3771.00,0.0036
3770.00,0.0036
3769.00,0.0036
3768.00,0.0036
3767.00,0.0035
3766.00,0.0035
3765.00,0.0035
3764.00,0.0036
3763.00,0.0036
3762.00,0.0036
3761.00,0.0036
3760.00,0.0036
3759.00,0.0036
3758.00,0.0036
3757.00,0.0036
3756.00,0.0036
3755.00,0.0036
3754.00,0.0037
3753.00,0.0037
3752.00,0.0037
3751.00,0.0036
3750.00,0.0036
3749.00,0.0036
3748.00,0.0036
3747.00,0.0036
3746.00,0.0036
3745.00,0.0035
3744.00,0.0035
3743.00,0.0035
3742.00,0.0035
3741.00,0.0035
