Created as New Dataset,Sample 518 By YargerLab Date Thursday, February 19 2026
cm-1,A
4000.00,0.0065
3999.00,0.0065
3998.00,0.0065
3997.00,0.0065
3996.00,0.0065
3995.00,0.0065
3994.00,0.0065
3993.00,0.0065
3992.00,0.0065
3991.00,0.0065
3990.00,0.0065
3989.00,0.0065
3988.00,0.0065
3987.00,0.0065
3986.00,0.0065
3985.00,0.0065
3984.00,0.0065
3983.00,0.0065
3982.00,0.0065
3981.00,0.0065
3980.00,0.0065
3979.00,0.0065
3978.00,0.0065
3977.00,0.0065
3976.00,0.0065
3975.00,0.0065
3974.00,0.0065
3973.00,0.0065
3972.00,0.0065
3971.00,0.0065
3970.00,0.0065
3969.00,0.0065
3968.00,0.0065
3967.00,0.0065
3966.00,0.0065
3965.00,0.0065
3964.00,0.0065
3963.00,0.0065
3962.00,0.0065
3961.00,0.0065
3960.00,0.0065
3959.00,0.0065
3958.00,0.0065
3957.00,0.0065
3956.00,0.0065
3955.00,0.0065
3954.00,0.0064
3953.00,0.0064
3952.00,0.0064
3951.00,0.0064
3950.00,0.0064
3949.00,0.0064
3948.00,0.0064
3947.00,0.0064
3946.00,0.0064
3945.00,0.0064
3944.00,0.0064
3943.00,0.0064
3942.00,0.0064
3941.00,0.0064
3940.00,0.0064
3939.00,0.0064
3938.00,0.0064
3937.00,0.0064
3936.00,0.0064
3935.00,0.0064
3934.00,0.0064
3933.00,0.0064
3932.00,0.0064
3931.00,0.0064
3930.00,0.0064
3929.00,0.0064
3928.00,0.0064
3927.00,0.0064
3926.00,0.0064
3925.00,0.0065
3924.00,0.0065
3923.00,0.0065
3922.00,0.0065
3921.00,0.0065
3920.00,0.0064
3919.00,0.0064
3918.00,0.0064
3917.00,0.0064
3916.00,0.0064
3915.00,0.0064
3914.00,0.0064
3913.00,0.0064
3912.00,0.0064
3911.00,0.0064
3910.00,0.0064
3909.00,0.0064
3908.00,0.0064
3907.00,0.0064
3906.00,0.0064
3905.00,0.0064
3904.00,0.0064
3903.00,0.0064
3902.00,0.0063
3901.00,0.0063
3900.00,0.0063
3899.00,0.0063
3898.00,0.0063
3897.00,0.0063
3896.00,0.0064
3895.00,0.0064
3894.00,0.0064
3893.00,0.0064
3892.00,0.0064
3891.00,0.0064
3890.00,0.0064
3889.00,0.0064
3888.00,0.0064
3887.00,0.0063
3886.00,0.0063
3885.00,0.0064
3884.00,0.0063
3883.00,0.0063
3882.00,0.0063
3881.00,0.0063
3880.00,0.0063
3879.00,0.0064
3878.00,0.0064
3877.00,0.0063
3876.00,0.0063
3875.00,0.0063
3874.00,0.0064
3873.00,0.0064
3872.00,0.0063
3871.00,0.0063
3870.00,0.0063
3869.00,0.0063
3868.00,0.0063
3867.00,0.0063
3866.00,0.0062
3865.00,0.0063
3864.00,0.0063
3863.00,0.0063
3862.00,0.0063
3861.00,0.0064
3860.00,0.0064
3859.00,0.0064
3858.00,0.0064
3857.00,0.0063
3856.00,0.0063
3855.00,0.0062
3854.00,0.0062
3853.00,0.0062
3852.00,0.0062
3851.00,0.0062
3850.00,0.0063
3849.00,0.0063
3848.00,0.0064
3847.00,0.0064
3846.00,0.0064
3845.00,0.0064
3844.00,0.0064
3843.00,0.0064
3842.00,0.0064
3841.00,0.0063
3840.00,0.0063
3839.00,0.0063
3838.00,0.0063
3837.00,0.0063
3836.00,0.0063
3835.00,0.0063
3834.00,0.0063
3833.00,0.0063
3832.00,0.0063
3831.00,0.0064
3830.00,0.0064
3829.00,0.0064
3828.00,0.0064
3827.00,0.0064
3826.00,0.0064
3825.00,0.0064
3824.00,0.0063
3823.00,0.0063
3822.00,0.0063
3821.00,0.0063
3820.00,0.0063
3819.00,0.0063
3818.00,0.0062
3817.00,0.0062
3816.00,0.0063
3815.00,0.0063
3814.00,0.0063
3813.00,0.0063
3812.00,0.0063
3811.00,0.0064
3810.00,0.0064
3809.00,0.0064
3808.00,0.0064
3807.00,0.0064
3806.00,0.0064
3805.00,0.0063
3804.00,0.0063
3803.00,0.0062
3802.00,0.0062
3801.00,0.0063
3800.00,0.0063
3799.00,0.0063
3798.00,0.0062
3797.00,0.0063
3796.00,0.0063
3795.00,0.0063
3794.00,0.0064
3793.00,0.0064
3792.00,0.0064
3791.00,0.0064
3790.00,0.0065
3789.00,0.0065
3788.00,0.0065
3787.00,0.0065
3786.00,0.0064
3785.00,0.0064
3784.00,0.0064
3783.00,0.0064
3782.00,0.0064
3781.00,0.0064
3780.00,0.0064
3779.00,0.0064
3778.00,0.0064
3777.00,0.0064
3776.00,0.0064
3775.00,0.0064
3774.00,0.0064
3773.00,0.0064
3772.00,0.0064
3771.00,0.0064
3770.00,0.0064
3769.00,0.0064
3768.00,0.0064
3767.00,0.0064
3766.00,0.0064
3765.00,0.0064
3764.00,0.0064
3763.00,0.0064
3762.00,0.0064
3761.00,0.0064
3760.00,0.0064
3759.00,0.0064
3758.00,0.0064
3757.00,0.0064
3756.00,0.0064
3755.00,0.0064
3754.00,0.0064
3753.00,0.0063
3752.00,0.0063
3751.00,0.0062
3750.00,0.0062
3749.00,0.0062
3748.00,0.0061
3747.00,0.0061
3746.00,0.0061
3745.00,0.0061
3744.00,0.0062
3743.00,0.0062
3742.00,0.0062
3741.00,0.0061
3740.00,0.0061
3739.00,0.0062
3738.00,0.0062
3737.00,0.0062
3736.00,0.0062
3735.00,0.0062
3734.00,0.0061
3733.00,0.0061
3732.00,0.0061
3731.00,0.0062
3730.00,0.0062
3729.00,0.0062
3728.00,0.0062
3727.00,0.0062
3726.00,0.0062
3725.00,0.0063
3724.00,0.0063
3723.00,0.0063
3722.00,0.0063
3721.00,0.0063
3720.00,0.0063
3719.00,0.0062
3718.00,0.0062
3717.00,0.0062
3716.00,0.0062
3715.00,0.0062
3714.00,0.0062
3713.00,0.0062
3712.00,0.0062
3711.00,0.0062
3710.00,0.0062
3709.00,0.0062
3708.00,0.0062
3707.00,0.0062
3706.00,0.0062
3705.00,0.0062
3704.00,0.0062
3703.00,0.0062
