Created as New Dataset,Sample 546 By YargerLab Date Thursday, February 19 2026
cm-1,A
4000.00,0.0039
3999.00,0.0039
3998.00,0.0038
3997.00,0.0038
3996.00,0.0038
3995.00,0.0038
3994.00,0.0038
3993.00,0.0038
3992.00,0.0039
3991.00,0.0039
3990.00,0.0038
3989.00,0.0038
3988.00,0.0038
3987.00,0.0038
3986.00,0.0038
3985.00,0.0038
3984.00,0.0038
3983.00,0.0039
3982.00,0.0039
3981.00,0.0039
3980.00,0.0039
3979.00,0.0039
3978.00,0.0038
3977.00,0.0038
3976.00,0.0038
3975.00,0.0038
3974.00,0.0038
3973.00,0.0038
3972.00,0.0038
3971.00,0.0038
3970.00,0.0038
3969.00,0.0038
3968.00,0.0038
3967.00,0.0038
3966.00,0.0038
3965.00,0.0038
3964.00,0.0038
3963.00,0.0038
3962.00,0.0038
3961.00,0.0038
3960.00,0.0038
3959.00,0.0038
3958.00,0.0038
3957.00,0.0038
3956.00,0.0038
3955.00,0.0038
3954.00,0.0038
3953.00,0.0038
3952.00,0.0038
3951.00,0.0038
3950.00,0.0038
3949.00,0.0039
3948.00,0.0039
3947.00,0.0038
3946.00,0.0038
3945.00,0.0038
3944.00,0.0038
3943.00,0.0038
3942.00,0.0038
3941.00,0.0038
3940.00,0.0038
3939.00,0.0038
3938.00,0.0038
3937.00,0.0038
3936.00,0.0038
3935.00,0.0038
3934.00,0.0038
3933.00,0.0038
3932.00,0.0038
3931.00,0.0038
3930.00,0.0038
3929.00,0.0038
3928.00,0.0038
3927.00,0.0038
3926.00,0.0038
3925.00,0.0038
3924.00,0.0038
3923.00,0.0038
3922.00,0.0038
3921.00,0.0038
3920.00,0.0038
3919.00,0.0038
3918.00,0.0038
3917.00,0.0038
3916.00,0.0038
3915.00,0.0038
3914.00,0.0038
3913.00,0.0038
3912.00,0.0038
3911.00,0.0037
3910.00,0.0037
3909.00,0.0037
3908.00,0.0038
3907.00,0.0038
3906.00,0.0038
3905.00,0.0038
3904.00,0.0038
3903.00,0.0038
3902.00,0.0038
3901.00,0.0037
3900.00,0.0037
3899.00,0.0037
3898.00,0.0037
3897.00,0.0037
3896.00,0.0037
3895.00,0.0037
3894.00,0.0037
3893.00,0.0038
3892.00,0.0038
3891.00,0.0038
3890.00,0.0037
3889.00,0.0037
3888.00,0.0037
3887.00,0.0037
3886.00,0.0037
3885.00,0.0037
3884.00,0.0037
3883.00,0.0037
3882.00,0.0037
3881.00,0.0038
3880.00,0.0038
3879.00,0.0038
3878.00,0.0037
3877.00,0.0037
3876.00,0.0037
3875.00,0.0037
3874.00,0.0037
3873.00,0.0037
3872.00,0.0037
3871.00,0.0037
3870.00,0.0037
3869.00,0.0037
3868.00,0.0037
3867.00,0.0037
3866.00,0.0037
3865.00,0.0037
3864.00,0.0037
3863.00,0.0036
3862.00,0.0036
3861.00,0.0036
3860.00,0.0036
3859.00,0.0036
3858.00,0.0036
3857.00,0.0036
3856.00,0.0036
3855.00,0.0036
3854.00,0.0036
3853.00,0.0036
3852.00,0.0036
3851.00,0.0036
3850.00,0.0037
3849.00,0.0037
3848.00,0.0037
3847.00,0.0038
3846.00,0.0038
3845.00,0.0038
3844.00,0.0038
3843.00,0.0037
3842.00,0.0037
3841.00,0.0036
3840.00,0.0036
3839.00,0.0036
3838.00,0.0036
3837.00,0.0036
3836.00,0.0037
3835.00,0.0037
3834.00,0.0037
3833.00,0.0037
3832.00,0.0037
3831.00,0.0037
3830.00,0.0037
3829.00,0.0037
3828.00,0.0038
3827.00,0.0038
3826.00,0.0038
3825.00,0.0038
3824.00,0.0038
3823.00,0.0037
3822.00,0.0037
3821.00,0.0037
3820.00,0.0037
3819.00,0.0036
3818.00,0.0036
3817.00,0.0037
3816.00,0.0037
3815.00,0.0037
3814.00,0.0037
3813.00,0.0037
3812.00,0.0038
3811.00,0.0038
3810.00,0.0038
3809.00,0.0038
3808.00,0.0038
3807.00,0.0038
3806.00,0.0037
3805.00,0.0037
3804.00,0.0036
3803.00,0.0036
3802.00,0.0036
3801.00,0.0037
3800.00,0.0037
3799.00,0.0037
3798.00,0.0037
3797.00,0.0037
3796.00,0.0037
3795.00,0.0037
3794.00,0.0037
3793.00,0.0037
3792.00,0.0038
3791.00,0.0038
3790.00,0.0038
3789.00,0.0038
3788.00,0.0038
3787.00,0.0038
3786.00,0.0038
3785.00,0.0038
3784.00,0.0038
3783.00,0.0038
3782.00,0.0037
3781.00,0.0037
3780.00,0.0037
3779.00,0.0038
3778.00,0.0038
3777.00,0.0038
3776.00,0.0038
3775.00,0.0038
3774.00,0.0038
3773.00,0.0037
3772.00,0.0037
3771.00,0.0037
3770.00,0.0037
3769.00,0.0037
3768.00,0.0037
3767.00,0.0037
3766.00,0.0037
3765.00,0.0038
3764.00,0.0038
3763.00,0.0038
3762.00,0.0038
3761.00,0.0038
3760.00,0.0038
3759.00,0.0037
3758.00,0.0037
3757.00,0.0037
3756.00,0.0037
3755.00,0.0036
3754.00,0.0036
3753.00,0.0036
3752.00,0.0035
3751.00,0.0035
3750.00,0.0035
3749.00,0.0034
3748.00,0.0034
3747.00,0.0034
3746.00,0.0035
3745.00,0.0035
3744.00,0.0036
3743.00,0.0036
3742.00,0.0036
3741.00,0.0036
3740.00,0.0036
3739.00,0.0036
3738.00,0.0036
3737.00,0.0036
3736.00,0.0036
3735.00,0.0036
3734.00,0.0036
3733.00,0.0035
3732.00,0.0035
3731.00,0.0035
3730.00,0.0036
3729.00,0.0036
3728.00,0.0037
3727.00,0.0037
3726.00,0.0037
3725.00,0.0037
3724.00,0.0036
3723.00,0.0036
3722.00,0.0036
3721.00,0.0036
3720.00,0.0036
3719.00,0.0036
3718.00,0.0037
3717.00,0.0037
3716.00,0.0037
3715.00,0.0037
3714.00,0.0036
3713.00,0.0036
3712.00,0.0036
3711.00,0.0036
3710.00,0.0036
3709.00,0.0036
3708.00,0.0036
3707.00,0.0036
3706.00,0.0036
3705.00,0.0036
3704.00,0.0036
3703.00,0.0037
3702.00,0.0037
3701.00,0.0037
3700.00,0.0037
3699.00,0.0036
3698.00,0.0036
3697.00,0.0036
3696.00,0.0036
3695.00,0.0036
3694.00,0.0036
3693.00,0.0036
3692.00,0.0036
3691.00,0.0036
3690.00,0.0036
3689.00,0.0037
3688.00,0.0037
3687.00,0.0037
3686.00,0.0037
3685.00,0.0038
3684.00,0.0039
3683.00,0.0039
3682.00,0.0039
3681.00,0.0040
3680.00,0.0040
3679.00,0.0040
3678.00,0.0039
3677.00,0.0039
3676.00,0.0039
3675.00,0.0039
3674.00,0.0039
3673.00,0.0039
3672.00,0.0039
3671.00,0.0040
3670.00,0.0040
3669.00,0.0040
3668.00,0.0040
3667.00,0.0041
3666.00,0.0041
3665.00,0.0041
3664.00,0.0041
3663.00,0.0042
3662.00,0.0042
3661.00,0.0042
3660.00,0.0042
3659.00,0.0042
3658.00,0.0042
3657.00,0.0042
3656.00,0.0043
3655.00,0.0043
3654.00,0.0043
3653.00,0.0043
3652.00,0.0043
3651.00,0.0043
3650.00,0.0043
3649.00,0.0043
3648.00,0.0044
3647.00,0.0044
3646.00,0.0044
3645.00,0.0045
3644.00,0.0045
3643.00,0.0045
3642.00,0.0045
3641.00,0.0046
3640.00,0.0046
3639.00,0.0046
3638.00,0.0047
3637.00,0.0047
3636.00,0.0047
3635.00,0.0047
3634.00,0.0047
3633.00,0.0047
3632.00,0.0047
3631.00,0.0048
3630.00,0.0048
3629.00,0.0048
3628.00,0.0048
3627.00,0.0049
3626.00,0.0049
3625.00,0.0050
3624.00,0.0050
3623.00,0.0051
3622.00,0.0051
3621.00,0.0052
3620.00,0.0052
3619.00,0.0052
3618.00,0.0053
3617.00,0.0053
3616.00,0.0054
3615.00,0.0054
3614.00,0.0054
3613.00,0.0055
3612.00,0.0056
3611.00,0.0056
3610.00,0.0057
3609.00,0.0058
3608.00,0.0058
3607.00,0.0059
3606.00,0.0059
3605.00,0.0059
3604.00,0.0059
3603.00,0.0060
3602.00,0.0060
3601.00,0.0061
3600.00,0.0061
3599.00,0.0062
3598.00,0.0063
3597.00,0.0063
3596.00,0.0064
3595.00,0.0065
3594.00,0.0065
3593.00,0.0066
3592.00,0.0066
3591.00,0.0066
3590.00,0.0067
3589.00,0.0068
3588.00,0.0069
3587.00,0.0069
3586.00,0.0070
3585.00,0.0071
3584.00,0.0071
3583.00,0.0072
3582.00,0.0073
3581.00,0.0073
3580.00,0.0074
3579.00,0.0075
3578.00,0.0075
3577.00,0.0076
3576.00,0.0077
3575.00,0.0078
3574.00,0.0078
3573.00,0.0079
3572.00,0.0080
3571.00,0.0080
3570.00,0.0081
3569.00,0.0082
3568.00,0.0083
3567.00,0.0084
3566.00,0.0084
3565.00,0.0085
3564.00,0.0085
3563.00,0.0086
3562.00,0.0087
3561.00,0.0088
3560.00,0.0088
3559.00,0.0089
3558.00,0.0090
3557.00,0.0090
3556.00,0.0091
3555.00,0.0092
3554.00,0.0092
3553.00,0.0093
3552.00,0.0094
3551.00,0.0094
3550.00,0.0095
3549.00,0.0095
3548.00,0.0096
3547.00,0.0097
3546.00,0.0097
3545.00,0.0098
3544.00,0.0098
3543.00,0.0098
3542.00,0.0098
3541.00,0.0099
3540.00,0.0099
3539.00,0.0100
3538.00,0.0101
3537.00,0.0101
3536.00,0.0102
3535.00,0.0102
3534.00,0.0103
3533.00,0.0103
3532.00,0.0104
3531.00,0.0105
3530.00,0.0105
3529.00,0.0105
3528.00,0.0105
3527.00,0.0105
3526.00,0.0106
3525.00,0.0107
3524.00,0.0107
3523.00,0.0108
3522.00,0.0108
3521.00,0.0109
3520.00,0.0109
3519.00,0.0109
3518.00,0.0110
3517.00,0.0111
3516.00,0.0111
3515.00,0.0112
3514.00,0.0112
3513.00,0.0112
3512.00,0.0113
3511.00,0.0113
3510.00,0.0114
3509.00,0.0114
3508.00,0.0114
3507.00,0.0115
3506.00,0.0115
3505.00,0.0116
3504.00,0.0116
3503.00,0.0117
3502.00,0.0118
3501.00,0.0118
3500.00,0.0119
3499.00,0.0119
3498.00,0.0120
3497.00,0.0120
3496.00,0.0121
3495.00,0.0122
3494.00,0.0122
3493.00,0.0122
3492.00,0.0123
3491.00,0.0123
3490.00,0.0123
3489.00,0.0124
3488.00,0.0125
3487.00,0.0125
3486.00,0.0125
3485.00,0.0126
3484.00,0.0126
3483.00,0.0127
3482.00,0.0127
3481.00,0.0128
3480.00,0.0128
3479.00,0.0129
3478.00,0.0129
3477.00,0.0130
3476.00,0.0130
3475.00,0.0131
3474.00,0.0131
3473.00,0.0131
3472.00,0.0132
3471.00,0.0132
3470.00,0.0133
3469.00,0.0134
3468.00,0.0134
3467.00,0.0135
3466.00,0.0135
3465.00,0.0135
3464.00,0.0135
3463.00,0.0135
3462.00,0.0136
3461.00,0.0136
3460.00,0.0137
3459.00,0.0137
3458.00,0.0138
3457.00,0.0139
3456.00,0.0139
3455.00,0.0139
3454.00,0.0140
3453.00,0.0140
3452.00,0.0140
3451.00,0.0140
3450.00,0.0140
3449.00,0.0141
3448.00,0.0141
3447.00,0.0142
3446.00,0.0142
3445.00,0.0142
3444.00,0.0142
3443.00,0.0143
3442.00,0.0143
3441.00,0.0143
3440.00,0.0144
3439.00,0.0144
3438.00,0.0144
3437.00,0.0144
3436.00,0.0145
3435.00,0.0145
3434.00,0.0145
3433.00,0.0146
3432.00,0.0146
3431.00,0.0146
3430.00,0.0147
3429.00,0.0147
3428.00,0.0147
3427.00,0.0148
3426.00,0.0148
3425.00,0.0148
3424.00,0.0148
3423.00,0.0148
3422.00,0.0148
3421.00,0.0149
3420.00,0.0149
3419.00,0.0149
3418.00,0.0149
3417.00,0.0150
3416.00,0.0150
3415.00,0.0151
3414.00,0.0151
3413.00,0.0151
3412.00,0.0152
3411.00,0.0152
3410.00,0.0153
3409.00,0.0153
3408.00,0.0153
3407.00,0.0153
3406.00,0.0153
3405.00,0.0154
3404.00,0.0154
3403.00,0.0154
3402.00,0.0154
3401.00,0.0154
3400.00,0.0155
3399.00,0.0156
3398.00,0.0156
3397.00,0.0157
3396.00,0.0157
3395.00,0.0157
3394.00,0.0157
3393.00,0.0157
3392.00,0.0158
3391.00,0.0158
3390.00,0.0159
3389.00,0.0160
3388.00,0.0161
3387.00,0.0162
3386.00,0.0162
3385.00,0.0163
3384.00,0.0163
3383.00,0.0163
3382.00,0.0164
3381.00,0.0164
3380.00,0.0164
3379.00,0.0165
3378.00,0.0165
3377.00,0.0166
3376.00,0.0166
3375.00,0.0166
3374.00,0.0167
3373.00,0.0166
3372.00,0.0166
3371.00,0.0166
3370.00,0.0166
3369.00,0.0166
3368.00,0.0167
3367.00,0.0169
3366.00,0.0170
3365.00,0.0171
3364.00,0.0172
3363.00,0.0172
3362.00,0.0173
3361.00,0.0173
3360.00,0.0174
3359.00,0.0175
3358.00,0.0175
3357.00,0.0176
3356.00,0.0176
3355.00,0.0176
3354.00,0.0176
3353.00,0.0176
3352.00,0.0175
3351.00,0.0175
3350.00,0.0176
3349.00,0.0178
3348.00,0.0179
3347.00,0.0180
3346.00,0.0180
3345.00,0.0180
3344.00,0.0180
3343.00,0.0180
3342.00,0.0180
3341.00,0.0180
3340.00,0.0180
3339.00,0.0180
3338.00,0.0180
3337.00,0.0181
3336.00,0.0182
3335.00,0.0183
3334.00,0.0184
3333.00,0.0184
3332.00,0.0185
3331.00,0.0185
3330.00,0.0185
3329.00,0.0185
3328.00,0.0184
3327.00,0.0184
3326.00,0.0183
3325.00,0.0184
3324.00,0.0185
3323.00,0.0185
3322.00,0.0186
3321.00,0.0187
3320.00,0.0187
3319.00,0.0187
3318.00,0.0187
3317.00,0.0187
3316.00,0.0188
3315.00,0.0188
3314.00,0.0188
3313.00,0.0188
3312.00,0.0187
3311.00,0.0186
3310.00,0.0185
3309.00,0.0184
3308.00,0.0183
3307.00,0.0183
3306.00,0.0184
3305.00,0.0185
3304.00,0.0187
3303.00,0.0188
3302.00,0.0189
3301.00,0.0190
3300.00,0.0190
3299.00,0.0189
3298.00,0.0189
3297.00,0.0188
3296.00,0.0188
3295.00,0.0188
3294.00,0.0188
3293.00,0.0188
3292.00,0.0188
3291.00,0.0189
3290.00,0.0190
3289.00,0.0190
3288.00,0.0191
3287.00,0.0191
3286.00,0.0190
3285.00,0.0190
3284.00,0.0190
3283.00,0.0191
3282.00,0.0191
3281.00,0.0191
3280.00,0.0191
3279.00,0.0191
3278.00,0.0190
3277.00,0.0190
3276.00,0.0189
3275.00,0.0189
3274.00,0.0188
3273.00,0.0188
3272.00,0.0187
3271.00,0.0187
3270.00,0.0188
3269.00,0.0188
3268.00,0.0189
3267.00,0.0189
3266.00,0.0189
3265.00,0.0189
3264.00,0.0189
3263.00,0.0189
3262.00,0.0188
3261.00,0.0188
3260.00,0.0188
3259.00,0.0188
3258.00,0.0187
3257.00,0.0187
3256.00,0.0187
3255.00,0.0187
3254.00,0.0187
3253.00,0.0187
3252.00,0.0187
3251.00,0.0186
3250.00,0.0186
3249.00,0.0185
3248.00,0.0185
3247.00,0.0185
3246.00,0.0185
3245.00,0.0186
3244.00,0.0186
3243.00,0.0186
3242.00,0.0186
3241.00,0.0186
3240.00,0.0185
3239.00,0.0185
3238.00,0.0185
3237.00,0.0184
3236.00,0.0184
3235.00,0.0183
3234.00,0.0183
3233.00,0.0183
3232.00,0.0183
3231.00,0.0183
3230.00,0.0183
3229.00,0.0183
3228.00,0.0182
3227.00,0.0182
3226.00,0.0182
3225.00,0.0181
3224.00,0.0181
3223.00,0.0181
3222.00,0.0181
3221.00,0.0180
3220.00,0.0180
3219.00,0.0180
3218.00,0.0180
3217.00,0.0180
3216.00,0.0180
3215.00,0.0180
3214.00,0.0179
3213.00,0.0179
3212.00,0.0179
3211.00,0.0178
3210.00,0.0178
3209.00,0.0178
3208.00,0.0178
3207.00,0.0178
3206.00,0.0178
3205.00,0.0178
3204.00,0.0178
3203.00,0.0178
3202.00,0.0178
3201.00,0.0177
3200.00,0.0177
3199.00,0.0177
3198.00,0.0176
3197.00,0.0176
3196.00,0.0176
3195.00,0.0176
3194.00,0.0175
3193.00,0.0175
3192.00,0.0174
3191.00,0.0174
3190.00,0.0174
3189.00,0.0173
3188.00,0.0173
3187.00,0.0173
3186.00,0.0172
3185.00,0.0172
3184.00,0.0171
3183.00,0.0171
3182.00,0.0170
3181.00,0.0170
3180.00,0.0170
3179.00,0.0169
3178.00,0.0169
3177.00,0.0168
3176.00,0.0168
3175.00,0.0167
3174.00,0.0167
3173.00,0.0167
3172.00,0.0166
3171.00,0.0166
3170.00,0.0165
3169.00,0.0165
3168.00,0.0164
3167.00,0.0163
3166.00,0.0163
3165.00,0.0162
3164.00,0.0162
3163.00,0.0161
3162.00,0.0161
3161.00,0.0160
3160.00,0.0160
3159.00,0.0160
3158.00,0.0159
3157.00,0.0159
3156.00,0.0158
3155.00,0.0157
3154.00,0.0156
3153.00,0.0156
3152.00,0.0156
3151.00,0.0155
3150.00,0.0155
3149.00,0.0155
3148.00,0.0154
3147.00,0.0153
3146.00,0.0153
3145.00,0.0152
3144.00,0.0152
3143.00,0.0151
3142.00,0.0151
3141.00,0.0151
3140.00,0.0150
3139.00,0.0150
3138.00,0.0150
3137.00,0.0150
3136.00,0.0150
3135.00,0.0149
3134.00,0.0149
3133.00,0.0149
3132.00,0.0148
3131.00,0.0148
3130.00,0.0148
3129.00,0.0147
3128.00,0.0147
3127.00,0.0146
3126.00,0.0146
3125.00,0.0145
3124.00,0.0144
3123.00,0.0144
3122.00,0.0143
3121.00,0.0143
3120.00,0.0143
3119.00,0.0142
3118.00,0.0142
3117.00,0.0141
3116.00,0.0141
3115.00,0.0141
3114.00,0.0140
3113.00,0.0139
3112.00,0.0139
3111.00,0.0138
3110.00,0.0138
3109.00,0.0137
3108.00,0.0137
3107.00,0.0137
3106.00,0.0136
3105.00,0.0136
3104.00,0.0135
3103.00,0.0134
3102.00,0.0133
3101.00,0.0133
3100.00,0.0132
3099.00,0.0131
3098.00,0.0131
3097.00,0.0130
3096.00,0.0130
3095.00,0.0129
3094.00,0.0129
3093.00,0.0128
3092.00,0.0128
3091.00,0.0127
3090.00,0.0126
3089.00,0.0126
3088.00,0.0126
3087.00,0.0125
3086.00,0.0125
3085.00,0.0124
3084.00,0.0124
3083.00,0.0123
3082.00,0.0122
3081.00,0.0122
3080.00,0.0121
3079.00,0.0121
3078.00,0.0121
3077.00,0.0121
3076.00,0.0121
3075.00,0.0120
3074.00,0.0120
3073.00,0.0119
3072.00,0.0119
3071.00,0.0119
3070.00,0.0118
3069.00,0.0118
3068.00,0.0118
3067.00,0.0117
3066.00,0.0117
3065.00,0.0117
3064.00,0.0116
3063.00,0.0116
3062.00,0.0115
3061.00,0.0115
3060.00,0.0115
3059.00,0.0115
3058.00,0.0115
3057.00,0.0115
3056.00,0.0114
3055.00,0.0114
3054.00,0.0114
3053.00,0.0114
3052.00,0.0114
3051.00,0.0113
3050.00,0.0113
3049.00,0.0113
3048.00,0.0112
3047.00,0.0112
3046.00,0.0111
3045.00,0.0111
3044.00,0.0111
3043.00,0.0110
3042.00,0.0110
3041.00,0.0110
3040.00,0.0110
3039.00,0.0110
3038.00,0.0110
3037.00,0.0110
3036.00,0.0110
3035.00,0.0109
3034.00,0.0109
3033.00,0.0110
3032.00,0.0110
3031.00,0.0110
3030.00,0.0110
3029.00,0.0110
3028.00,0.0110
3027.00,0.0110
3026.00,0.0110
3025.00,0.0111
3024.00,0.0111
3023.00,0.0111
3022.00,0.0111
3021.00,0.0112
3020.00,0.0113
3019.00,0.0113
3018.00,0.0114
3017.00,0.0115
3016.00,0.0116
3015.00,0.0116
3014.00,0.0117
3013.00,0.0118
3012.00,0.0119
3011.00,0.0121
3010.00,0.0123
3009.00,0.0126
3008.00,0.0128
3007.00,0.0130
3006.00,0.0132
3005.00,0.0135
3004.00,0.0138
3003.00,0.0141
3002.00,0.0144
3001.00,0.0148
3000.00,0.0152
2999.00,0.0156
2998.00,0.0160
2997.00,0.0164
2996.00,0.0169
2995.00,0.0174
2994.00,0.0178
2993.00,0.0183
2992.00,0.0189
2991.00,0.0195
2990.00,0.0200
2989.00,0.0206
2988.00,0.0211
2987.00,0.0217
2986.00,0.0222
2985.00,0.0227
2984.00,0.0233
2983.00,0.0239
2982.00,0.0244
2981.00,0.0249
2980.00,0.0253
2979.00,0.0257
2978.00,0.0260
2977.00,0.0264
2976.00,0.0267
2975.00,0.0270
2974.00,0.0274
2973.00,0.0278
2972.00,0.0282
2971.00,0.0286
2970.00,0.0291
2969.00,0.0295
2968.00,0.0299
2967.00,0.0303
2966.00,0.0308
2965.00,0.0312
2964.00,0.0317
2963.00,0.0321
2962.00,0.0325
2961.00,0.0329
2960.00,0.0332
2959.00,0.0335
2958.00,0.0338
2957.00,0.0340
2956.00,0.0341
2955.00,0.0343
2954.00,0.0343
2953.00,0.0344
2952.00,0.0343
2951.00,0.0343
2950.00,0.0342
2949.00,0.0341
2948.00,0.0340
2947.00,0.0338
2946.00,0.0337
2945.00,0.0336
2944.00,0.0335
2943.00,0.0335
2942.00,0.0336
2941.00,0.0337
2940.00,0.0339
2939.00,0.0341
2938.00,0.0343
2937.00,0.0347
2936.00,0.0350
2935.00,0.0354
2934.00,0.0358
2933.00,0.0362
2932.00,0.0366
2931.00,0.0370
2930.00,0.0374
2929.00,0.0378
2928.00,0.0381
2927.00,0.0384
2926.00,0.0387
2925.00,0.0389
2924.00,0.0390
2923.00,0.0391
2922.00,0.0391
2921.00,0.0391
2920.00,0.0390
2919.00,0.0388
2918.00,0.0386
2917.00,0.0383
2916.00,0.0379
2915.00,0.0375
2914.00,0.0371
2913.00,0.0366
2912.00,0.0361
2911.00,0.0356
2910.00,0.0350
2909.00,0.0344
2908.00,0.0339
2907.00,0.0334
2906.00,0.0329
2905.00,0.0325
2904.00,0.0320
2903.00,0.0317
2902.00,0.0314
2901.00,0.0311
2900.00,0.0309
2899.00,0.0307
2898.00,0.0306
2897.00,0.0305
2896.00,0.0304
2895.00,0.0303
2894.00,0.0302
2893.00,0.0302
2892.00,0.0301
2891.00,0.0300
2890.00,0.0299
2889.00,0.0298
2888.00,0.0297
2887.00,0.0296
2886.00,0.0295
2885.00,0.0295
2884.00,0.0294
2883.00,0.0293
2882.00,0.0293
2881.00,0.0293
2880.00,0.0292
2879.00,0.0292
2878.00,0.0292
2877.00,0.0292
2876.00,0.0291
2875.00,0.0291
2874.00,0.0291
2873.00,0.0291
2872.00,0.0291
2871.00,0.0291
2870.00,0.0290
2869.00,0.0289
2868.00,0.0288
2867.00,0.0286
2866.00,0.0285
2865.00,0.0285
2864.00,0.0285
2863.00,0.0285
2862.00,0.0285
2861.00,0.0285
2860.00,0.0286
2859.00,0.0286
2858.00,0.0286
2857.00,0.0285
2856.00,0.0283
2855.00,0.0281
2854.00,0.0277
2853.00,0.0273
2852.00,0.0268
2851.00,0.0262
2850.00,0.0256
2849.00,0.0249
2848.00,0.0243
2847.00,0.0236
2846.00,0.0230
2845.00,0.0224
2844.00,0.0218
2843.00,0.0212
2842.00,0.0206
2841.00,0.0201
2840.00,0.0195
2839.00,0.0190
2838.00,0.0186
2837.00,0.0183
2836.00,0.0179
2835.00,0.0176
2834.00,0.0172
2833.00,0.0169
2832.00,0.0165
2831.00,0.0162
2830.00,0.0159
2829.00,0.0156
2828.00,0.0152
2827.00,0.0149
2826.00,0.0146
2825.00,0.0143
2824.00,0.0140
2823.00,0.0138
2822.00,0.0135
2821.00,0.0132
2820.00,0.0130
2819.00,0.0128
2818.00,0.0125
2817.00,0.0123
2816.00,0.0121
2815.00,0.0119
2814.00,0.0117
2813.00,0.0116
2812.00,0.0114
2811.00,0.0113
2810.00,0.0111
2809.00,0.0110
2808.00,0.0109
2807.00,0.0107
2806.00,0.0106
2805.00,0.0105
2804.00,0.0104
2803.00,0.0103
2802.00,0.0102
2801.00,0.0101
2800.00,0.0100
2799.00,0.0099
2798.00,0.0099
2797.00,0.0098
2796.00,0.0097
2795.00,0.0097
2794.00,0.0096
2793.00,0.0096
2792.00,0.0095
2791.00,0.0095
2790.00,0.0094
2789.00,0.0094
2788.00,0.0093
2787.00,0.0093
