Created as New Dataset,Sample 310 By YargerLab Date Sunday, August 18 2024
cm-1,A
4000.00,0.0065
3999.00,0.0065
3998.00,0.0065
3997.00,0.0065
3996.00,0.0065
3995.00,0.0065
3994.00,0.0065
3993.00,0.0065
3992.00,0.0065
3991.00,0.0065
3990.00,0.0065
3989.00,0.0065
3988.00,0.0066
3987.00,0.0066
3986.00,0.0065
3985.00,0.0065
3984.00,0.0065
3983.00,0.0065
3982.00,0.0065
3981.00,0.0065
3980.00,0.0065
3979.00,0.0065
3978.00,0.0065
3977.00,0.0065
3976.00,0.0065
3975.00,0.0065
3974.00,0.0065
3973.00,0.0065
3972.00,0.0065
3971.00,0.0065
3970.00,0.0065
3969.00,0.0065
3968.00,0.0065
3967.00,0.0065
3966.00,0.0065
3965.00,0.0065
3964.00,0.0065
3963.00,0.0065
3962.00,0.0065
3961.00,0.0065
3960.00,0.0065
3959.00,0.0065
3958.00,0.0065
3957.00,0.0065
3956.00,0.0065
3955.00,0.0065
3954.00,0.0065
3953.00,0.0065
3952.00,0.0065
3951.00,0.0065
3950.00,0.0065
3949.00,0.0065
3948.00,0.0065
3947.00,0.0065
3946.00,0.0065
3945.00,0.0065
3944.00,0.0065
3943.00,0.0065
3942.00,0.0065
3941.00,0.0065
3940.00,0.0065
3939.00,0.0065
3938.00,0.0065
3937.00,0.0065
3936.00,0.0065
3935.00,0.0065
3934.00,0.0065
3933.00,0.0065
3932.00,0.0065
3931.00,0.0065
3930.00,0.0065
3929.00,0.0065
3928.00,0.0065
3927.00,0.0065
3926.00,0.0065
3925.00,0.0065
3924.00,0.0065
3923.00,0.0065
3922.00,0.0065
3921.00,0.0065
3920.00,0.0065
3919.00,0.0065
3918.00,0.0065
3917.00,0.0065
3916.00,0.0065
3915.00,0.0065
3914.00,0.0065
3913.00,0.0064
3912.00,0.0065
3911.00,0.0065
3910.00,0.0065
3909.00,0.0065
3908.00,0.0065
3907.00,0.0065
3906.00,0.0065
3905.00,0.0065
3904.00,0.0065
3903.00,0.0065
3902.00,0.0065
3901.00,0.0065
3900.00,0.0065
3899.00,0.0065
3898.00,0.0065
3897.00,0.0065
3896.00,0.0065
3895.00,0.0065
3894.00,0.0065
3893.00,0.0065
3892.00,0.0065
3891.00,0.0065
3890.00,0.0065
3889.00,0.0065
3888.00,0.0065
3887.00,0.0065
3886.00,0.0065
3885.00,0.0064
3884.00,0.0064
3883.00,0.0064
3882.00,0.0064
3881.00,0.0064
3880.00,0.0064
3879.00,0.0064
3878.00,0.0064
3877.00,0.0064
3876.00,0.0064
3875.00,0.0064
3874.00,0.0064
3873.00,0.0064
3872.00,0.0064
3871.00,0.0064
3870.00,0.0064
3869.00,0.0064
3868.00,0.0064
3867.00,0.0064
3866.00,0.0064
3865.00,0.0064
3864.00,0.0064
3863.00,0.0064
3862.00,0.0064
3861.00,0.0064
3860.00,0.0064
3859.00,0.0064
3858.00,0.0064
3857.00,0.0063
3856.00,0.0063
3855.00,0.0063
3854.00,0.0063
3853.00,0.0063
3852.00,0.0063
3851.00,0.0063
3850.00,0.0063
3849.00,0.0063
3848.00,0.0064
3847.00,0.0064
3846.00,0.0064
3845.00,0.0064
3844.00,0.0064
3843.00,0.0064
3842.00,0.0063
3841.00,0.0063
3840.00,0.0063
3839.00,0.0063
3838.00,0.0063
3837.00,0.0063
3836.00,0.0063
3835.00,0.0063
3834.00,0.0063
3833.00,0.0063
3832.00,0.0063
3831.00,0.0063
3830.00,0.0063
3829.00,0.0063
3828.00,0.0063
3827.00,0.0063
3826.00,0.0063
3825.00,0.0063
3824.00,0.0063
3823.00,0.0063
3822.00,0.0063
3821.00,0.0063
3820.00,0.0063
3819.00,0.0063
3818.00,0.0062
3817.00,0.0062
3816.00,0.0062
3815.00,0.0062
3814.00,0.0062
3813.00,0.0062
3812.00,0.0062
3811.00,0.0063
3810.00,0.0063
3809.00,0.0063
3808.00,0.0063
3807.00,0.0063
3806.00,0.0063
3805.00,0.0062
3804.00,0.0062
3803.00,0.0062
3802.00,0.0062
3801.00,0.0062
3800.00,0.0062
3799.00,0.0062
3798.00,0.0062
3797.00,0.0062
3796.00,0.0062
3795.00,0.0062
3794.00,0.0062
3793.00,0.0062
3792.00,0.0062
3791.00,0.0062
3790.00,0.0062
3789.00,0.0062
3788.00,0.0062
3787.00,0.0062
3786.00,0.0062
3785.00,0.0062
3784.00,0.0062
3783.00,0.0062
3782.00,0.0062
3781.00,0.0062
3780.00,0.0062
3779.00,0.0062
3778.00,0.0062
3777.00,0.0062
3776.00,0.0062
3775.00,0.0062
3774.00,0.0062
3773.00,0.0062
3772.00,0.0062
3771.00,0.0062
3770.00,0.0062
3769.00,0.0062
3768.00,0.0062
3767.00,0.0062
3766.00,0.0062
3765.00,0.0062
3764.00,0.0062
3763.00,0.0062
3762.00,0.0062
3761.00,0.0062
3760.00,0.0062
3759.00,0.0062
3758.00,0.0062
3757.00,0.0062
3756.00,0.0062
3755.00,0.0062
3754.00,0.0062
3753.00,0.0062
3752.00,0.0062
3751.00,0.0062
3750.00,0.0062
3749.00,0.0062
3748.00,0.0062
3747.00,0.0062
3746.00,0.0062
3745.00,0.0061
3744.00,0.0061
3743.00,0.0061
3742.00,0.0061
3741.00,0.0061
3740.00,0.0061
3739.00,0.0061
3738.00,0.0061
3737.00,0.0061
3736.00,0.0061
3735.00,0.0061
3734.00,0.0061
3733.00,0.0061
3732.00,0.0060
3731.00,0.0060
3730.00,0.0060
3729.00,0.0060
3728.00,0.0061
3727.00,0.0061
3726.00,0.0061
3725.00,0.0061
3724.00,0.0061
3723.00,0.0060
3722.00,0.0060
3721.00,0.0060
3720.00,0.0060
3719.00,0.0060
3718.00,0.0059
3717.00,0.0059
3716.00,0.0059
3715.00,0.0060
3714.00,0.0060
3713.00,0.0059
3712.00,0.0059
3711.00,0.0059
3710.00,0.0059
3709.00,0.0059
3708.00,0.0059
3707.00,0.0059
3706.00,0.0059
3705.00,0.0059
3704.00,0.0059
3703.00,0.0058
