Created as New Dataset,Sample 348 By YargerLab Date Monday, August 19 2024
cm-1,A
4000.00,0.0086
3999.00,0.0086
3998.00,0.0085
3997.00,0.0085
3996.00,0.0085
3995.00,0.0085
3994.00,0.0085
3993.00,0.0085
3992.00,0.0084
3991.00,0.0084
3990.00,0.0084
3989.00,0.0084
3988.00,0.0084
3987.00,0.0084
3986.00,0.0084
3985.00,0.0084
3984.00,0.0085
3983.00,0.0085
3982.00,0.0084
3981.00,0.0084
3980.00,0.0084
3979.00,0.0084
3978.00,0.0084
3977.00,0.0084
3976.00,0.0084
3975.00,0.0084
3974.00,0.0084
3973.00,0.0084
3972.00,0.0084
3971.00,0.0084
3970.00,0.0084
3969.00,0.0084
3968.00,0.0084
3967.00,0.0084
3966.00,0.0084
3965.00,0.0084
3964.00,0.0084
3963.00,0.0084
3962.00,0.0084
3961.00,0.0084
3960.00,0.0084
3959.00,0.0084
3958.00,0.0084
3957.00,0.0084
3956.00,0.0084
3955.00,0.0084
3954.00,0.0084
3953.00,0.0084
3952.00,0.0084
3951.00,0.0084
3950.00,0.0084
3949.00,0.0084
3948.00,0.0085
3947.00,0.0085
3946.00,0.0085
3945.00,0.0084
3944.00,0.0084
3943.00,0.0084
3942.00,0.0084
3941.00,0.0084
3940.00,0.0084
3939.00,0.0084
3938.00,0.0084
3937.00,0.0084
3936.00,0.0084
3935.00,0.0084
3934.00,0.0084
3933.00,0.0084
3932.00,0.0084
3931.00,0.0084
3930.00,0.0084
3929.00,0.0084
3928.00,0.0084
3927.00,0.0083
3926.00,0.0083
3925.00,0.0084
3924.00,0.0084
3923.00,0.0084
3922.00,0.0084
3921.00,0.0084
3920.00,0.0084
3919.00,0.0084
3918.00,0.0084
3917.00,0.0084
3916.00,0.0084
3915.00,0.0084
3914.00,0.0083
3913.00,0.0083
3912.00,0.0083
3911.00,0.0083
3910.00,0.0083
3909.00,0.0083
3908.00,0.0083
3907.00,0.0083
3906.00,0.0083
3905.00,0.0083
3904.00,0.0084
3903.00,0.0084
3902.00,0.0084
3901.00,0.0084
3900.00,0.0083
3899.00,0.0083
3898.00,0.0083
3897.00,0.0083
3896.00,0.0083
3895.00,0.0083
3894.00,0.0083
3893.00,0.0083
3892.00,0.0083
3891.00,0.0083
3890.00,0.0083
3889.00,0.0083
3888.00,0.0083
3887.00,0.0083
3886.00,0.0083
3885.00,0.0083
3884.00,0.0083
3883.00,0.0083
3882.00,0.0083
3881.00,0.0083
3880.00,0.0083
3879.00,0.0083
3878.00,0.0083
3877.00,0.0083
3876.00,0.0083
3875.00,0.0083
3874.00,0.0083
3873.00,0.0083
3872.00,0.0083
3871.00,0.0084
3870.00,0.0084
3869.00,0.0084
3868.00,0.0083
3867.00,0.0083
3866.00,0.0083
3865.00,0.0083
3864.00,0.0083
3863.00,0.0083
3862.00,0.0083
3861.00,0.0083
3860.00,0.0084
3859.00,0.0084
3858.00,0.0083
3857.00,0.0083
3856.00,0.0083
3855.00,0.0083
3854.00,0.0083
3853.00,0.0083
3852.00,0.0083
3851.00,0.0082
3850.00,0.0082
3849.00,0.0083
3848.00,0.0083
3847.00,0.0083
3846.00,0.0083
3845.00,0.0083
3844.00,0.0083
3843.00,0.0083
3842.00,0.0083
3841.00,0.0083
3840.00,0.0083
3839.00,0.0083
3838.00,0.0082
3837.00,0.0082
3836.00,0.0082
3835.00,0.0082
3834.00,0.0082
3833.00,0.0082
3832.00,0.0082
3831.00,0.0082
3830.00,0.0082
3829.00,0.0082
3828.00,0.0082
3827.00,0.0082
3826.00,0.0082
3825.00,0.0082
3824.00,0.0082
3823.00,0.0082
3822.00,0.0082
3821.00,0.0082
3820.00,0.0082
3819.00,0.0082
3818.00,0.0082
3817.00,0.0082
3816.00,0.0081
3815.00,0.0081
3814.00,0.0081
3813.00,0.0081
3812.00,0.0081
3811.00,0.0081
3810.00,0.0081
3809.00,0.0082
3808.00,0.0082
3807.00,0.0082
3806.00,0.0082
3805.00,0.0082
3804.00,0.0082
3803.00,0.0082
3802.00,0.0082
3801.00,0.0082
3800.00,0.0082
3799.00,0.0081
3798.00,0.0081
3797.00,0.0081
3796.00,0.0081
3795.00,0.0081
3794.00,0.0081
3793.00,0.0081
3792.00,0.0081
3791.00,0.0081
3790.00,0.0081
3789.00,0.0081
3788.00,0.0081
3787.00,0.0081
3786.00,0.0081
3785.00,0.0081
3784.00,0.0081
3783.00,0.0081
3782.00,0.0081
3781.00,0.0081
3780.00,0.0081
3779.00,0.0081
3778.00,0.0081
3777.00,0.0081
3776.00,0.0081
3775.00,0.0081
3774.00,0.0081
3773.00,0.0081
3772.00,0.0081
3771.00,0.0081
3770.00,0.0081
3769.00,0.0081
3768.00,0.0081
3767.00,0.0081
3766.00,0.0081
3765.00,0.0081
3764.00,0.0081
3763.00,0.0081
3762.00,0.0081
3761.00,0.0081
3760.00,0.0081
3759.00,0.0081
3758.00,0.0081
3757.00,0.0081
3756.00,0.0082
3755.00,0.0082
3754.00,0.0082
3753.00,0.0082
3752.00,0.0082
3751.00,0.0082
3750.00,0.0082
3749.00,0.0082
3748.00,0.0082
3747.00,0.0081
3746.00,0.0081
3745.00,0.0080
3744.00,0.0080
3743.00,0.0080
3742.00,0.0080
3741.00,0.0081
3740.00,0.0081
3739.00,0.0081
3738.00,0.0081
3737.00,0.0081
3736.00,0.0081
3735.00,0.0080
3734.00,0.0080
3733.00,0.0081
3732.00,0.0081
3731.00,0.0081
3730.00,0.0081
3729.00,0.0081
3728.00,0.0081
3727.00,0.0082
3726.00,0.0082
3725.00,0.0082
3724.00,0.0082
3723.00,0.0082
3722.00,0.0081
3721.00,0.0081
3720.00,0.0081
3719.00,0.0080
3718.00,0.0080
3717.00,0.0080
3716.00,0.0080
3715.00,0.0080
3714.00,0.0080
3713.00,0.0080
3712.00,0.0080
3711.00,0.0080
3710.00,0.0080
3709.00,0.0080
3708.00,0.0080
3707.00,0.0080
3706.00,0.0079
3705.00,0.0079
3704.00,0.0079
3703.00,0.0078
3702.00,0.0078
3701.00,0.0078
3700.00,0.0077
3699.00,0.0077
3698.00,0.0078
3697.00,0.0078
3696.00,0.0078
3695.00,0.0078
3694.00,0.0078
3693.00,0.0078
3692.00,0.0078
3691.00,0.0078
3690.00,0.0078
3689.00,0.0078
3688.00,0.0078
3687.00,0.0078
3686.00,0.0078
3685.00,0.0078
3684.00,0.0078
3683.00,0.0079
3682.00,0.0079
3681.00,0.0079
3680.00,0.0080
3679.00,0.0080
3678.00,0.0080
3677.00,0.0081
3676.00,0.0081
3675.00,0.0081
3674.00,0.0081
3673.00,0.0081
3672.00,0.0081
3671.00,0.0081
3670.00,0.0081
3669.00,0.0082
3668.00,0.0082
3667.00,0.0083
3666.00,0.0083
3665.00,0.0084
3664.00,0.0084
3663.00,0.0084
