Created as New Dataset,Sample 201 By YargerLab Date Saturday, October 04 2025
cm-1,A
4000.00,0.0027
3999.00,0.0027
3998.00,0.0027
3997.00,0.0027
3996.00,0.0026
3995.00,0.0026
3994.00,0.0026
3993.00,0.0026
3992.00,0.0027
3991.00,0.0027
3990.00,0.0027
3989.00,0.0027
3988.00,0.0026
3987.00,0.0026
3986.00,0.0026
3985.00,0.0026
3984.00,0.0026
3983.00,0.0026
3982.00,0.0026
3981.00,0.0026
3980.00,0.0026
3979.00,0.0027
3978.00,0.0027
3977.00,0.0027
3976.00,0.0027
3975.00,0.0027
3974.00,0.0027
3973.00,0.0027
3972.00,0.0027
3971.00,0.0027
3970.00,0.0027
3969.00,0.0027
3968.00,0.0027
3967.00,0.0026
3966.00,0.0026
3965.00,0.0026
3964.00,0.0026
3963.00,0.0026
3962.00,0.0026
3961.00,0.0026
3960.00,0.0027
3959.00,0.0027
3958.00,0.0027
3957.00,0.0027
3956.00,0.0027
3955.00,0.0027
3954.00,0.0027
3953.00,0.0027
3952.00,0.0027
3951.00,0.0026
3950.00,0.0026
3949.00,0.0026
3948.00,0.0026
3947.00,0.0026
3946.00,0.0026
3945.00,0.0026
3944.00,0.0026
3943.00,0.0026
3942.00,0.0027
3941.00,0.0027
3940.00,0.0027
3939.00,0.0027
3938.00,0.0027
3937.00,0.0027
3936.00,0.0026
3935.00,0.0026
3934.00,0.0026
3933.00,0.0026
3932.00,0.0026
3931.00,0.0026
3930.00,0.0027
3929.00,0.0026
3928.00,0.0026
3927.00,0.0026
3926.00,0.0026
3925.00,0.0026
3924.00,0.0026
3923.00,0.0026
3922.00,0.0026
3921.00,0.0026
3920.00,0.0026
3919.00,0.0026
3918.00,0.0026
3917.00,0.0026
3916.00,0.0026
3915.00,0.0027
3914.00,0.0027
3913.00,0.0027
3912.00,0.0027
3911.00,0.0027
3910.00,0.0027
3909.00,0.0027
3908.00,0.0026
3907.00,0.0026
3906.00,0.0026
3905.00,0.0026
3904.00,0.0026
3903.00,0.0026
3902.00,0.0026
3901.00,0.0026
3900.00,0.0026
3899.00,0.0026
3898.00,0.0027
3897.00,0.0027
3896.00,0.0027
3895.00,0.0027
3894.00,0.0026
3893.00,0.0026
3892.00,0.0026
3891.00,0.0027
3890.00,0.0027
3889.00,0.0027
3888.00,0.0027
3887.00,0.0026
3886.00,0.0026
3885.00,0.0026
3884.00,0.0027
3883.00,0.0026
3882.00,0.0026
3881.00,0.0026
3880.00,0.0027
3879.00,0.0027
3878.00,0.0027
3877.00,0.0027
3876.00,0.0026
3875.00,0.0026
3874.00,0.0026
3873.00,0.0026
3872.00,0.0026
3871.00,0.0026
3870.00,0.0026
3869.00,0.0026
3868.00,0.0026
3867.00,0.0026
3866.00,0.0026
3865.00,0.0026
3864.00,0.0026
3863.00,0.0026
3862.00,0.0026
3861.00,0.0026
3860.00,0.0026
3859.00,0.0026
3858.00,0.0027
3857.00,0.0027
3856.00,0.0027
3855.00,0.0027
3854.00,0.0026
3853.00,0.0026
3852.00,0.0026
3851.00,0.0026
3850.00,0.0026
3849.00,0.0026
3848.00,0.0026
3847.00,0.0026
3846.00,0.0026
3845.00,0.0026
3844.00,0.0026
3843.00,0.0026
3842.00,0.0026
3841.00,0.0026
3840.00,0.0026
3839.00,0.0026
3838.00,0.0026
3837.00,0.0026
3836.00,0.0026
3835.00,0.0026
3834.00,0.0026
3833.00,0.0026
3832.00,0.0026
3831.00,0.0026
3830.00,0.0026
3829.00,0.0026
3828.00,0.0026
3827.00,0.0026
3826.00,0.0026
3825.00,0.0026
3824.00,0.0026
3823.00,0.0026
3822.00,0.0025
3821.00,0.0025
3820.00,0.0026
3819.00,0.0026
3818.00,0.0026
3817.00,0.0025
3816.00,0.0025
3815.00,0.0026
3814.00,0.0026
3813.00,0.0026
3812.00,0.0026
3811.00,0.0026
3810.00,0.0026
3809.00,0.0026
3808.00,0.0026
3807.00,0.0026
3806.00,0.0027
3805.00,0.0026
3804.00,0.0026
3803.00,0.0025
3802.00,0.0025
3801.00,0.0026
3800.00,0.0026
3799.00,0.0026
3798.00,0.0026
3797.00,0.0025
3796.00,0.0026
3795.00,0.0026
3794.00,0.0026
3793.00,0.0026
3792.00,0.0027
3791.00,0.0027
3790.00,0.0027
3789.00,0.0027
3788.00,0.0027
3787.00,0.0027
3786.00,0.0027
3785.00,0.0027
3784.00,0.0027
3783.00,0.0027
3782.00,0.0027
3781.00,0.0027
3780.00,0.0027
3779.00,0.0027
3778.00,0.0027
3777.00,0.0027
3776.00,0.0027
3775.00,0.0027
3774.00,0.0027
