Created as New Dataset,Sample 234 By YargerLab Date Sunday, October 05 2025
cm-1,A
4000.00,0.0034
3999.00,0.0034
3998.00,0.0034
3997.00,0.0034
3996.00,0.0034
3995.00,0.0034
3994.00,0.0034
3993.00,0.0034
3992.00,0.0034
3991.00,0.0034
3990.00,0.0034
3989.00,0.0034
3988.00,0.0034
3987.00,0.0034
3986.00,0.0034
3985.00,0.0034
3984.00,0.0034
3983.00,0.0034
3982.00,0.0034
3981.00,0.0034
3980.00,0.0034
3979.00,0.0034
3978.00,0.0034
3977.00,0.0034
3976.00,0.0034
3975.00,0.0034
3974.00,0.0034
3973.00,0.0034
3972.00,0.0034
3971.00,0.0034
3970.00,0.0034
3969.00,0.0034
3968.00,0.0034
3967.00,0.0034
3966.00,0.0034
3965.00,0.0034
3964.00,0.0034
3963.00,0.0034
3962.00,0.0034
3961.00,0.0034
3960.00,0.0034
3959.00,0.0034
3958.00,0.0034
3957.00,0.0034
3956.00,0.0034
3955.00,0.0034
3954.00,0.0034
3953.00,0.0034
3952.00,0.0034
3951.00,0.0034
3950.00,0.0034
3949.00,0.0034
3948.00,0.0034
3947.00,0.0034
3946.00,0.0034
3945.00,0.0034
3944.00,0.0034
3943.00,0.0034
3942.00,0.0034
3941.00,0.0034
3940.00,0.0034
3939.00,0.0033
3938.00,0.0033
3937.00,0.0033
3936.00,0.0033
3935.00,0.0034
3934.00,0.0034
3933.00,0.0033
3932.00,0.0033
3931.00,0.0033
3930.00,0.0033
3929.00,0.0033
3928.00,0.0033
3927.00,0.0033
3926.00,0.0033
3925.00,0.0033
3924.00,0.0033
3923.00,0.0033
3922.00,0.0033
3921.00,0.0033
3920.00,0.0033
3919.00,0.0033
3918.00,0.0033
3917.00,0.0033
3916.00,0.0033
3915.00,0.0033
3914.00,0.0033
3913.00,0.0033
3912.00,0.0033
3911.00,0.0033
3910.00,0.0033
3909.00,0.0033
3908.00,0.0033
3907.00,0.0033
3906.00,0.0034
3905.00,0.0034
3904.00,0.0034
3903.00,0.0034
3902.00,0.0034
3901.00,0.0034
3900.00,0.0034
3899.00,0.0034
3898.00,0.0034
3897.00,0.0034
3896.00,0.0033
3895.00,0.0033
3894.00,0.0033
3893.00,0.0033
3892.00,0.0033
3891.00,0.0033
3890.00,0.0033
3889.00,0.0033
3888.00,0.0033
3887.00,0.0033
3886.00,0.0033
3885.00,0.0033
3884.00,0.0033
3883.00,0.0033
3882.00,0.0033
3881.00,0.0033
3880.00,0.0033
3879.00,0.0033
3878.00,0.0033
3877.00,0.0033
3876.00,0.0033
3875.00,0.0033
3874.00,0.0033
3873.00,0.0034
3872.00,0.0034
3871.00,0.0033
3870.00,0.0033
3869.00,0.0033
3868.00,0.0033
3867.00,0.0034
3866.00,0.0033
3865.00,0.0033
3864.00,0.0033
3863.00,0.0033
3862.00,0.0033
3861.00,0.0033
3860.00,0.0033
3859.00,0.0033
3858.00,0.0034
3857.00,0.0035
3856.00,0.0035
3855.00,0.0036
3854.00,0.0036
3853.00,0.0036
3852.00,0.0036
3851.00,0.0035
3850.00,0.0034
3849.00,0.0033
3848.00,0.0033
3847.00,0.0033
3846.00,0.0033
3845.00,0.0033
3844.00,0.0033
