Created as New Dataset,Sample 413 By YargerLab Date Thursday, December 04 2025
cm-1,A
4000.00,0.0046
3999.00,0.0046
3998.00,0.0046
3997.00,0.0046
3996.00,0.0045
3995.00,0.0045
3994.00,0.0046
3993.00,0.0046
3992.00,0.0046
3991.00,0.0046
3990.00,0.0046
3989.00,0.0046
3988.00,0.0046
3987.00,0.0046
3986.00,0.0046
3985.00,0.0046
3984.00,0.0046
3983.00,0.0046
3982.00,0.0046
3981.00,0.0046
3980.00,0.0046
3979.00,0.0046
3978.00,0.0046
3977.00,0.0046
3976.00,0.0046
3975.00,0.0046
3974.00,0.0046
3973.00,0.0046
3972.00,0.0046
3971.00,0.0046
3970.00,0.0046
3969.00,0.0046
3968.00,0.0046
3967.00,0.0046
3966.00,0.0046
3965.00,0.0046
3964.00,0.0046
3963.00,0.0046
3962.00,0.0046
3961.00,0.0046
3960.00,0.0046
3959.00,0.0046
3958.00,0.0046
3957.00,0.0046
3956.00,0.0046
3955.00,0.0046
3954.00,0.0046
3953.00,0.0046
3952.00,0.0046
3951.00,0.0046
3950.00,0.0045
3949.00,0.0046
3948.00,0.0046
3947.00,0.0046
3946.00,0.0046
3945.00,0.0046
3944.00,0.0046
3943.00,0.0046
3942.00,0.0046
3941.00,0.0046
3940.00,0.0045
3939.00,0.0045
3938.00,0.0045
3937.00,0.0045
3936.00,0.0046
3935.00,0.0046
3934.00,0.0046
3933.00,0.0045
3932.00,0.0045
3931.00,0.0045
3930.00,0.0045
3929.00,0.0045
3928.00,0.0045
3927.00,0.0045
3926.00,0.0046
3925.00,0.0045
3924.00,0.0045
3923.00,0.0046
3922.00,0.0046
3921.00,0.0046
3920.00,0.0046
3919.00,0.0046
3918.00,0.0046
3917.00,0.0046
3916.00,0.0045
3915.00,0.0045
3914.00,0.0045
3913.00,0.0045
3912.00,0.0045
3911.00,0.0045
3910.00,0.0045
3909.00,0.0045
3908.00,0.0045
3907.00,0.0046
3906.00,0.0046
3905.00,0.0046
3904.00,0.0046
3903.00,0.0046
3902.00,0.0046
3901.00,0.0046
3900.00,0.0046
3899.00,0.0045
3898.00,0.0045
3897.00,0.0045
3896.00,0.0045
3895.00,0.0045
3894.00,0.0045
3893.00,0.0045
3892.00,0.0045
3891.00,0.0045
3890.00,0.0046
3889.00,0.0046
3888.00,0.0046
3887.00,0.0046
3886.00,0.0046
3885.00,0.0046
3884.00,0.0046
3883.00,0.0046
3882.00,0.0046
3881.00,0.0046
3880.00,0.0045
3879.00,0.0045
3878.00,0.0045
3877.00,0.0046
3876.00,0.0046
3875.00,0.0045
3874.00,0.0045
3873.00,0.0046
3872.00,0.0046
3871.00,0.0046
3870.00,0.0046
3869.00,0.0046
3868.00,0.0046
3867.00,0.0046
3866.00,0.0046
3865.00,0.0046
3864.00,0.0046
3863.00,0.0045
3862.00,0.0045
3861.00,0.0045
3860.00,0.0045
3859.00,0.0045
3858.00,0.0046
3857.00,0.0047
3856.00,0.0048
3855.00,0.0048
3854.00,0.0048
3853.00,0.0047
3852.00,0.0047
3851.00,0.0047
3850.00,0.0047
3849.00,0.0047
3848.00,0.0047
3847.00,0.0046
3846.00,0.0046
3845.00,0.0046
3844.00,0.0046
3843.00,0.0046
3842.00,0.0046
3841.00,0.0046
3840.00,0.0046
3839.00,0.0046
3838.00,0.0046
3837.00,0.0046
3836.00,0.0047
3835.00,0.0047
3834.00,0.0047
3833.00,0.0047
3832.00,0.0046
3831.00,0.0046
3830.00,0.0046
3829.00,0.0046
3828.00,0.0046
3827.00,0.0046
3826.00,0.0046
3825.00,0.0046
3824.00,0.0046
3823.00,0.0046
3822.00,0.0046
3821.00,0.0046
3820.00,0.0046
3819.00,0.0047
3818.00,0.0047
3817.00,0.0047
3816.00,0.0047
3815.00,0.0047
3814.00,0.0047
3813.00,0.0046
3812.00,0.0046
3811.00,0.0046
3810.00,0.0046
3809.00,0.0046
3808.00,0.0046
3807.00,0.0046
3806.00,0.0046
3805.00,0.0047
3804.00,0.0047
3803.00,0.0047
3802.00,0.0047
3801.00,0.0046
3800.00,0.0047
3799.00,0.0047
3798.00,0.0047
3797.00,0.0046
3796.00,0.0046
3795.00,0.0046
3794.00,0.0046
3793.00,0.0046
3792.00,0.0045
3791.00,0.0045
3790.00,0.0045
3789.00,0.0045
3788.00,0.0045
3787.00,0.0045
3786.00,0.0045
3785.00,0.0045
3784.00,0.0045
3783.00,0.0046
3782.00,0.0046
3781.00,0.0046
3780.00,0.0046
3779.00,0.0046
3778.00,0.0046
3777.00,0.0046
3776.00,0.0046
3775.00,0.0046
3774.00,0.0045
3773.00,0.0045
3772.00,0.0046
3771.00,0.0046
3770.00,0.0046
3769.00,0.0046
3768.00,0.0046
3767.00,0.0046
3766.00,0.0045
3765.00,0.0045
3764.00,0.0045
3763.00,0.0045
3762.00,0.0045
3761.00,0.0045
3760.00,0.0045
3759.00,0.0045
3758.00,0.0045
3757.00,0.0045
3756.00,0.0046
3755.00,0.0046
3754.00,0.0047
3753.00,0.0047
3752.00,0.0047
3751.00,0.0047
3750.00,0.0047
3749.00,0.0047
3748.00,0.0047
3747.00,0.0047
3746.00,0.0047
3745.00,0.0047
3744.00,0.0047
3743.00,0.0047
3742.00,0.0047
3741.00,0.0046
3740.00,0.0046
3739.00,0.0046
3738.00,0.0045
3737.00,0.0045
3736.00,0.0045
3735.00,0.0045
3734.00,0.0045
3733.00,0.0044
3732.00,0.0044
3731.00,0.0044
3730.00,0.0045
3729.00,0.0045
3728.00,0.0045
3727.00,0.0044
3726.00,0.0044
3725.00,0.0044
3724.00,0.0044
3723.00,0.0044
3722.00,0.0044
3721.00,0.0043
3720.00,0.0043
3719.00,0.0044
3718.00,0.0044
3717.00,0.0044
