Created as New Dataset,Sample 186 By YargerLab Date Saturday, October 04 2025
cm-1,A
4000.00,0.0059
3999.00,0.0059
3998.00,0.0059
3997.00,0.0059
3996.00,0.0059
3995.00,0.0059
3994.00,0.0059
3993.00,0.0059
3992.00,0.0059
3991.00,0.0059
3990.00,0.0059
3989.00,0.0059
3988.00,0.0058
3987.00,0.0058
3986.00,0.0058
3985.00,0.0058
3984.00,0.0058
3983.00,0.0058
3982.00,0.0059
3981.00,0.0059
3980.00,0.0059
3979.00,0.0059
3978.00,0.0059
3977.00,0.0059
3976.00,0.0059
3975.00,0.0059
3974.00,0.0059
3973.00,0.0059
3972.00,0.0060
3971.00,0.0060
3970.00,0.0060
3969.00,0.0060
3968.00,0.0060
3967.00,0.0060
3966.00,0.0060
3965.00,0.0060
3964.00,0.0060
3963.00,0.0060
3962.00,0.0060
3961.00,0.0060
3960.00,0.0060
3959.00,0.0060
3958.00,0.0060
3957.00,0.0060
3956.00,0.0060
3955.00,0.0060
3954.00,0.0060
3953.00,0.0060
3952.00,0.0060
3951.00,0.0060
3950.00,0.0061
3949.00,0.0061
3948.00,0.0060
3947.00,0.0060
3946.00,0.0060
3945.00,0.0059
3944.00,0.0059
3943.00,0.0059
3942.00,0.0059
3941.00,0.0060
3940.00,0.0060
3939.00,0.0060
3938.00,0.0059
3937.00,0.0059
3936.00,0.0059
3935.00,0.0059
3934.00,0.0059
3933.00,0.0059
3932.00,0.0059
3931.00,0.0059
3930.00,0.0060
3929.00,0.0060
3928.00,0.0060
3927.00,0.0060
3926.00,0.0060
3925.00,0.0060
3924.00,0.0060
3923.00,0.0060
3922.00,0.0061
3921.00,0.0061
3920.00,0.0061
3919.00,0.0061
3918.00,0.0061
3917.00,0.0060
3916.00,0.0060
3915.00,0.0060
3914.00,0.0060
3913.00,0.0060
3912.00,0.0060
3911.00,0.0060
3910.00,0.0060
3909.00,0.0060
3908.00,0.0059
3907.00,0.0059
3906.00,0.0059
3905.00,0.0059
3904.00,0.0059
3903.00,0.0059
3902.00,0.0059
3901.00,0.0059
3900.00,0.0058
3899.00,0.0058
3898.00,0.0058
3897.00,0.0058
3896.00,0.0058
3895.00,0.0058
3894.00,0.0058
3893.00,0.0058
3892.00,0.0058
3891.00,0.0059
3890.00,0.0058
3889.00,0.0058
3888.00,0.0058
3887.00,0.0058
3886.00,0.0058
3885.00,0.0058
3884.00,0.0057
3883.00,0.0057
3882.00,0.0057
3881.00,0.0057
3880.00,0.0057
3879.00,0.0058
3878.00,0.0058
3877.00,0.0057
3876.00,0.0057
3875.00,0.0057
3874.00,0.0057
3873.00,0.0057
3872.00,0.0057
3871.00,0.0057
3870.00,0.0057
3869.00,0.0057
3868.00,0.0057
3867.00,0.0057
3866.00,0.0057
3865.00,0.0057
3864.00,0.0057
3863.00,0.0057
3862.00,0.0057
3861.00,0.0057
3860.00,0.0057
3859.00,0.0057
3858.00,0.0057
3857.00,0.0057
3856.00,0.0057
3855.00,0.0057
3854.00,0.0057
3853.00,0.0057
3852.00,0.0057
3851.00,0.0056
3850.00,0.0056
3849.00,0.0056
3848.00,0.0056
3847.00,0.0056
3846.00,0.0057
3845.00,0.0057
3844.00,0.0057
3843.00,0.0057
3842.00,0.0056
3841.00,0.0056
3840.00,0.0056
3839.00,0.0056
3838.00,0.0056
3837.00,0.0057
3836.00,0.0057
3835.00,0.0057
3834.00,0.0056
3833.00,0.0056
3832.00,0.0056
3831.00,0.0056
3830.00,0.0056
3829.00,0.0056
3828.00,0.0056
3827.00,0.0056
3826.00,0.0056
3825.00,0.0056
3824.00,0.0056
3823.00,0.0056
3822.00,0.0056
3821.00,0.0056
3820.00,0.0056
3819.00,0.0055
3818.00,0.0055
3817.00,0.0055
3816.00,0.0055
3815.00,0.0055
3814.00,0.0055
3813.00,0.0056
3812.00,0.0056
3811.00,0.0056
3810.00,0.0056
3809.00,0.0056
3808.00,0.0056
3807.00,0.0056
3806.00,0.0056
3805.00,0.0056
3804.00,0.0055
3803.00,0.0055
3802.00,0.0055
3801.00,0.0055
3800.00,0.0055
3799.00,0.0055
3798.00,0.0055
3797.00,0.0055
3796.00,0.0055
3795.00,0.0055
3794.00,0.0056
3793.00,0.0056
3792.00,0.0056
3791.00,0.0056
3790.00,0.0057
3789.00,0.0057
3788.00,0.0056
3787.00,0.0056
3786.00,0.0056
3785.00,0.0056
3784.00,0.0056
3783.00,0.0056
3782.00,0.0056
3781.00,0.0056
3780.00,0.0056
3779.00,0.0056
3778.00,0.0056
3777.00,0.0056
3776.00,0.0056
3775.00,0.0056
3774.00,0.0056
3773.00,0.0056
3772.00,0.0056
3771.00,0.0056
3770.00,0.0056
3769.00,0.0056
3768.00,0.0056
3767.00,0.0055
3766.00,0.0056
3765.00,0.0056
3764.00,0.0056
3763.00,0.0056
3762.00,0.0056
3761.00,0.0056
3760.00,0.0056
3759.00,0.0056
3758.00,0.0056
3757.00,0.0056
3756.00,0.0055
3755.00,0.0055
3754.00,0.0055
3753.00,0.0054
3752.00,0.0054
3751.00,0.0054
3750.00,0.0054
3749.00,0.0054
3748.00,0.0054
3747.00,0.0054
3746.00,0.0054
3745.00,0.0054
