Created as New Dataset,Sample 298 By YargerLab Date Saturday, October 18 2025
cm-1,A
4000.00,0.0028
3999.00,0.0028
3998.00,0.0028
3997.00,0.0028
3996.00,0.0028
3995.00,0.0028
3994.00,0.0028
3993.00,0.0028
3992.00,0.0028
3991.00,0.0028
3990.00,0.0028
3989.00,0.0028
3988.00,0.0027
3987.00,0.0028
3986.00,0.0028
3985.00,0.0028
3984.00,0.0028
3983.00,0.0028
3982.00,0.0028
3981.00,0.0028
3980.00,0.0028
3979.00,0.0028
3978.00,0.0028
3977.00,0.0028
3976.00,0.0028
3975.00,0.0027
3974.00,0.0027
3973.00,0.0028
3972.00,0.0028
3971.00,0.0028
3970.00,0.0028
3969.00,0.0028
3968.00,0.0028
3967.00,0.0028
3966.00,0.0028
3965.00,0.0028
3964.00,0.0028
3963.00,0.0028
3962.00,0.0028
3961.00,0.0028
3960.00,0.0028
3959.00,0.0028
3958.00,0.0028
3957.00,0.0028
3956.00,0.0027
3955.00,0.0027
3954.00,0.0027
3953.00,0.0027
3952.00,0.0027
3951.00,0.0027
3950.00,0.0027
3949.00,0.0027
3948.00,0.0027
3947.00,0.0027
3946.00,0.0027
3945.00,0.0027
3944.00,0.0027
3943.00,0.0027
3942.00,0.0027
3941.00,0.0027
3940.00,0.0027
3939.00,0.0027
3938.00,0.0027
3937.00,0.0027
3936.00,0.0027
3935.00,0.0027
3934.00,0.0027
3933.00,0.0027
3932.00,0.0027
3931.00,0.0027
3930.00,0.0027
3929.00,0.0027
3928.00,0.0027
3927.00,0.0027
3926.00,0.0027
3925.00,0.0027
3924.00,0.0027
3923.00,0.0027
3922.00,0.0027
3921.00,0.0027
3920.00,0.0027
3919.00,0.0027
3918.00,0.0027
3917.00,0.0027
3916.00,0.0027
3915.00,0.0027
3914.00,0.0027
3913.00,0.0027
3912.00,0.0027
3911.00,0.0027
3910.00,0.0027
3909.00,0.0027
3908.00,0.0027
3907.00,0.0027
3906.00,0.0027
3905.00,0.0027
3904.00,0.0027
3903.00,0.0026
3902.00,0.0026
3901.00,0.0026
3900.00,0.0026
3899.00,0.0026
3898.00,0.0026
3897.00,0.0026
3896.00,0.0027
3895.00,0.0027
3894.00,0.0027
3893.00,0.0027
3892.00,0.0027
3891.00,0.0027
3890.00,0.0027
3889.00,0.0027
3888.00,0.0026
3887.00,0.0026
3886.00,0.0026
3885.00,0.0027
3884.00,0.0026
3883.00,0.0026
3882.00,0.0026
3881.00,0.0026
3880.00,0.0026
3879.00,0.0026
3878.00,0.0026
3877.00,0.0026
3876.00,0.0026
3875.00,0.0026
3874.00,0.0027
3873.00,0.0026
3872.00,0.0026
3871.00,0.0026
3870.00,0.0026
3869.00,0.0026
3868.00,0.0026
3867.00,0.0026
3866.00,0.0026
3865.00,0.0026
3864.00,0.0026
3863.00,0.0026
3862.00,0.0026
3861.00,0.0026
3860.00,0.0026
3859.00,0.0026
3858.00,0.0026
3857.00,0.0026
3856.00,0.0025
3855.00,0.0025
3854.00,0.0026
3853.00,0.0026
3852.00,0.0025
3851.00,0.0025
3850.00,0.0025
3849.00,0.0025
3848.00,0.0026
3847.00,0.0026
3846.00,0.0027
3845.00,0.0027
3844.00,0.0027
3843.00,0.0027
3842.00,0.0026
3841.00,0.0026
3840.00,0.0026
3839.00,0.0025
3838.00,0.0025
3837.00,0.0025
3836.00,0.0025
3835.00,0.0025
3834.00,0.0025
3833.00,0.0026
3832.00,0.0026
3831.00,0.0026
3830.00,0.0026
3829.00,0.0026
3828.00,0.0026
3827.00,0.0026
3826.00,0.0026
3825.00,0.0026
3824.00,0.0026
3823.00,0.0026
3822.00,0.0026
3821.00,0.0026
3820.00,0.0026
3819.00,0.0025
3818.00,0.0025
3817.00,0.0025
3816.00,0.0026
3815.00,0.0026
3814.00,0.0026
3813.00,0.0026
3812.00,0.0026
3811.00,0.0027
3810.00,0.0027
3809.00,0.0027
3808.00,0.0027
3807.00,0.0027
3806.00,0.0027
3805.00,0.0026
3804.00,0.0026
3803.00,0.0025
3802.00,0.0025
3801.00,0.0025
3800.00,0.0025
3799.00,0.0025
3798.00,0.0025
3797.00,0.0025
3796.00,0.0026
3795.00,0.0026
3794.00,0.0026
3793.00,0.0026
3792.00,0.0026
3791.00,0.0026
3790.00,0.0027
3789.00,0.0027
3788.00,0.0027
3787.00,0.0026
3786.00,0.0026
3785.00,0.0026
3784.00,0.0026
3783.00,0.0026
3782.00,0.0026
3781.00,0.0026
3780.00,0.0026
3779.00,0.0026
3778.00,0.0026
3777.00,0.0026
3776.00,0.0026
3775.00,0.0026
3774.00,0.0026
3773.00,0.0026
3772.00,0.0026
3771.00,0.0025
3770.00,0.0025
3769.00,0.0025
3768.00,0.0026
3767.00,0.0026
3766.00,0.0026
3765.00,0.0026
3764.00,0.0026
3763.00,0.0026
3762.00,0.0026
3761.00,0.0026
3760.00,0.0025
3759.00,0.0025
3758.00,0.0025
3757.00,0.0025
3756.00,0.0025
3755.00,0.0025
3754.00,0.0025
3753.00,0.0025
3752.00,0.0025
3751.00,0.0025
3750.00,0.0024
3749.00,0.0024
3748.00,0.0023
3747.00,0.0023
3746.00,0.0022
3745.00,0.0023
3744.00,0.0023
3743.00,0.0024
3742.00,0.0023
3741.00,0.0023
3740.00,0.0023
3739.00,0.0023
3738.00,0.0023
3737.00,0.0023
3736.00,0.0023
3735.00,0.0023
3734.00,0.0023
3733.00,0.0023
3732.00,0.0024
3731.00,0.0025
3730.00,0.0025
3729.00,0.0025
3728.00,0.0025
3727.00,0.0025
3726.00,0.0025
3725.00,0.0025
3724.00,0.0025
3723.00,0.0025
3722.00,0.0025
3721.00,0.0025
3720.00,0.0025
3719.00,0.0025
3718.00,0.0025
3717.00,0.0025
3716.00,0.0025
3715.00,0.0025
3714.00,0.0025
3713.00,0.0024
3712.00,0.0024
3711.00,0.0023
3710.00,0.0023
3709.00,0.0023
3708.00,0.0023
3707.00,0.0024
3706.00,0.0024
3705.00,0.0024
3704.00,0.0025
3703.00,0.0025
3702.00,0.0024
3701.00,0.0024
3700.00,0.0024
3699.00,0.0024
3698.00,0.0024
3697.00,0.0025
3696.00,0.0025
3695.00,0.0026
3694.00,0.0026
3693.00,0.0025
3692.00,0.0025
3691.00,0.0025
3690.00,0.0025
3689.00,0.0025
3688.00,0.0025
3687.00,0.0025
3686.00,0.0026
3685.00,0.0026
3684.00,0.0026
3683.00,0.0027
3682.00,0.0027
3681.00,0.0027
3680.00,0.0027
3679.00,0.0027
3678.00,0.0026
3677.00,0.0026
3676.00,0.0025
3675.00,0.0026
3674.00,0.0026
3673.00,0.0026
3672.00,0.0026
3671.00,0.0026
3670.00,0.0027
3669.00,0.0026
3668.00,0.0026
3667.00,0.0026
3666.00,0.0027
3665.00,0.0028
3664.00,0.0028
3663.00,0.0029
3662.00,0.0029
3661.00,0.0029
3660.00,0.0028
3659.00,0.0028
3658.00,0.0028
3657.00,0.0028
3656.00,0.0028
3655.00,0.0028
3654.00,0.0028
3653.00,0.0027
3652.00,0.0027
3651.00,0.0027
3650.00,0.0027
3649.00,0.0027
3648.00,0.0027
3647.00,0.0027
3646.00,0.0027
3645.00,0.0027
3644.00,0.0028
3643.00,0.0028
3642.00,0.0029
3641.00,0.0029
3640.00,0.0029
3639.00,0.0030
3638.00,0.0030
3637.00,0.0030
3636.00,0.0030
3635.00,0.0030
3634.00,0.0031
3633.00,0.0030
3632.00,0.0030
3631.00,0.0030
3630.00,0.0030
3629.00,0.0030
3628.00,0.0031
3627.00,0.0031
3626.00,0.0031
3625.00,0.0031
3624.00,0.0032
3623.00,0.0032
3622.00,0.0033
3621.00,0.0032
3620.00,0.0032
3619.00,0.0033
3618.00,0.0033
3617.00,0.0033
3616.00,0.0033
3615.00,0.0034
3614.00,0.0034
3613.00,0.0034
3612.00,0.0035
3611.00,0.0035
3610.00,0.0035
3609.00,0.0035
3608.00,0.0035
3607.00,0.0035
3606.00,0.0035
3605.00,0.0036
3604.00,0.0036
3603.00,0.0036
3602.00,0.0037
3601.00,0.0037
3600.00,0.0037
3599.00,0.0038
3598.00,0.0038
3597.00,0.0038
3596.00,0.0038
3595.00,0.0038
3594.00,0.0038
3593.00,0.0038
3592.00,0.0039
3591.00,0.0039
3590.00,0.0039
3589.00,0.0039
3588.00,0.0039
3587.00,0.0039
3586.00,0.0040
3585.00,0.0040
3584.00,0.0040
3583.00,0.0041
3582.00,0.0041
3581.00,0.0042
3580.00,0.0042
3579.00,0.0042
3578.00,0.0043
3577.00,0.0043
3576.00,0.0043
3575.00,0.0043
3574.00,0.0043
3573.00,0.0043
3572.00,0.0044
3571.00,0.0044
3570.00,0.0045
3569.00,0.0045
3568.00,0.0045
3567.00,0.0045
3566.00,0.0045
3565.00,0.0045
3564.00,0.0046
3563.00,0.0046
3562.00,0.0047
3561.00,0.0047
3560.00,0.0048
3559.00,0.0048
3558.00,0.0048
3557.00,0.0049
3556.00,0.0049
3555.00,0.0049
3554.00,0.0050
3553.00,0.0050
3552.00,0.0050
3551.00,0.0050
3550.00,0.0051
3549.00,0.0051
3548.00,0.0051
3547.00,0.0052
3546.00,0.0052
3545.00,0.0053
3544.00,0.0053
3543.00,0.0054
3542.00,0.0054
3541.00,0.0055
3540.00,0.0055
3539.00,0.0056
3538.00,0.0056
3537.00,0.0056
3536.00,0.0057
3535.00,0.0057
3534.00,0.0057
3533.00,0.0057
3532.00,0.0058
3531.00,0.0058
3530.00,0.0059
3529.00,0.0059
3528.00,0.0060
3527.00,0.0060
3526.00,0.0061
3525.00,0.0061
3524.00,0.0062
3523.00,0.0062
3522.00,0.0062
3521.00,0.0063
3520.00,0.0064
3519.00,0.0064
3518.00,0.0065
3517.00,0.0065
3516.00,0.0066
3515.00,0.0066
3514.00,0.0067
3513.00,0.0067
3512.00,0.0067
3511.00,0.0068
3510.00,0.0068
3509.00,0.0069
3508.00,0.0069
3507.00,0.0070
3506.00,0.0070
3505.00,0.0071
3504.00,0.0071
3503.00,0.0072
3502.00,0.0072
3501.00,0.0072
3500.00,0.0073
3499.00,0.0073
3498.00,0.0074
3497.00,0.0074
3496.00,0.0075
3495.00,0.0075
3494.00,0.0076
3493.00,0.0076
3492.00,0.0077
3491.00,0.0078
3490.00,0.0078
3489.00,0.0079
3488.00,0.0079
3487.00,0.0080
3486.00,0.0080
3485.00,0.0081
3484.00,0.0081
3483.00,0.0082
3482.00,0.0082
3481.00,0.0083
3480.00,0.0083
3479.00,0.0084
3478.00,0.0085
3477.00,0.0086
3476.00,0.0086
3475.00,0.0087
3474.00,0.0087
3473.00,0.0088
3472.00,0.0088
3471.00,0.0089
3470.00,0.0090
3469.00,0.0091
3468.00,0.0092
3467.00,0.0092
3466.00,0.0093
3465.00,0.0093
3464.00,0.0094
3463.00,0.0095
3462.00,0.0095
3461.00,0.0096
3460.00,0.0096
3459.00,0.0097
3458.00,0.0098
3457.00,0.0098
3456.00,0.0099
3455.00,0.0100
3454.00,0.0100
3453.00,0.0101
3452.00,0.0101
3451.00,0.0102
3450.00,0.0102
3449.00,0.0103
3448.00,0.0104
3447.00,0.0105
3446.00,0.0105
3445.00,0.0106
3444.00,0.0106
3443.00,0.0107
3442.00,0.0108
3441.00,0.0109
3440.00,0.0110
3439.00,0.0110
3438.00,0.0111
3437.00,0.0112
3436.00,0.0113
3435.00,0.0114
3434.00,0.0114
3433.00,0.0115
3432.00,0.0116
3431.00,0.0117
3430.00,0.0118
3429.00,0.0118
3428.00,0.0119
3427.00,0.0120
3426.00,0.0121
3425.00,0.0122
3424.00,0.0122
3423.00,0.0123
3422.00,0.0124
3421.00,0.0125
3420.00,0.0126
3419.00,0.0127
3418.00,0.0128
3417.00,0.0129
3416.00,0.0130
3415.00,0.0131
3414.00,0.0132
3413.00,0.0133
3412.00,0.0134
3411.00,0.0135
3410.00,0.0136
3409.00,0.0137
3408.00,0.0138
3407.00,0.0139
3406.00,0.0141
3405.00,0.0141
3404.00,0.0142
3403.00,0.0143
3402.00,0.0145
3401.00,0.0146
3400.00,0.0147
3399.00,0.0148
3398.00,0.0149
3397.00,0.0150
3396.00,0.0152
3395.00,0.0153
3394.00,0.0154
3393.00,0.0155
3392.00,0.0156
3391.00,0.0157
3390.00,0.0158
3389.00,0.0159
3388.00,0.0161
3387.00,0.0162
3386.00,0.0164
3385.00,0.0165
3384.00,0.0166
3383.00,0.0167
3382.00,0.0168
3381.00,0.0170
3380.00,0.0171
3379.00,0.0172
3378.00,0.0173
3377.00,0.0174
3376.00,0.0175
3375.00,0.0177
3374.00,0.0178
3373.00,0.0179
3372.00,0.0180
3371.00,0.0181
3370.00,0.0182
3369.00,0.0183
3368.00,0.0184
3367.00,0.0186
3366.00,0.0187
3365.00,0.0189
3364.00,0.0190
3363.00,0.0191
3362.00,0.0192
3361.00,0.0193
3360.00,0.0194
3359.00,0.0195
3358.00,0.0196
3357.00,0.0197
3356.00,0.0198
3355.00,0.0199
3354.00,0.0200
3353.00,0.0201
3352.00,0.0202
3351.00,0.0203
3350.00,0.0204
3349.00,0.0205
3348.00,0.0207
3347.00,0.0208
3346.00,0.0209
3345.00,0.0210
3344.00,0.0211
3343.00,0.0211
3342.00,0.0212
3341.00,0.0213
3340.00,0.0213
3339.00,0.0214
3338.00,0.0215
3337.00,0.0216
3336.00,0.0217
3335.00,0.0218
3334.00,0.0219
3333.00,0.0220
3332.00,0.0221
3331.00,0.0222
3330.00,0.0223
3329.00,0.0224
3328.00,0.0224
3327.00,0.0225
3326.00,0.0225
3325.00,0.0226
3324.00,0.0227
3323.00,0.0228
3322.00,0.0229
3321.00,0.0229
3320.00,0.0230
3319.00,0.0231
3318.00,0.0232
3317.00,0.0232
3316.00,0.0233
3315.00,0.0234
3314.00,0.0235
3313.00,0.0235
3312.00,0.0235
3311.00,0.0235
3310.00,0.0235
3309.00,0.0235
3308.00,0.0235
3307.00,0.0236
3306.00,0.0236
3305.00,0.0237
3304.00,0.0239
3303.00,0.0240
3302.00,0.0241
3301.00,0.0242
3300.00,0.0242
3299.00,0.0243
3298.00,0.0243
3297.00,0.0243
3296.00,0.0243
3295.00,0.0243
3294.00,0.0244
3293.00,0.0244
3292.00,0.0245
3291.00,0.0245
3290.00,0.0246
3289.00,0.0246
3288.00,0.0246
3287.00,0.0247
3286.00,0.0247
3285.00,0.0247
3284.00,0.0248
3283.00,0.0248
3282.00,0.0248
3281.00,0.0248
3280.00,0.0248
3279.00,0.0248
3278.00,0.0248
3277.00,0.0248
3276.00,0.0248
3275.00,0.0249
3274.00,0.0249
3273.00,0.0249
3272.00,0.0249
3271.00,0.0249
3270.00,0.0249
3269.00,0.0249
3268.00,0.0250
3267.00,0.0250
3266.00,0.0250
3265.00,0.0250
3264.00,0.0250
3263.00,0.0250
3262.00,0.0250
3261.00,0.0250
3260.00,0.0250
3259.00,0.0250
3258.00,0.0250
3257.00,0.0250
3256.00,0.0250
3255.00,0.0250
3254.00,0.0250
3253.00,0.0250
3252.00,0.0251
3251.00,0.0251
3250.00,0.0251
3249.00,0.0251
3248.00,0.0251
3247.00,0.0251
3246.00,0.0251
3245.00,0.0250
3244.00,0.0250
3243.00,0.0250
3242.00,0.0250
3241.00,0.0250
3240.00,0.0250
3239.00,0.0250
3238.00,0.0250
3237.00,0.0250
3236.00,0.0250
3235.00,0.0250
3234.00,0.0250
3233.00,0.0250
3232.00,0.0249
3231.00,0.0249
3230.00,0.0249
3229.00,0.0248
3228.00,0.0248
3227.00,0.0248
3226.00,0.0247
3225.00,0.0247
3224.00,0.0247
3223.00,0.0247
3222.00,0.0247
3221.00,0.0247
3220.00,0.0247
3219.00,0.0247
3218.00,0.0247
3217.00,0.0247
3216.00,0.0247
3215.00,0.0247
3214.00,0.0247
3213.00,0.0247
3212.00,0.0247
3211.00,0.0247
3210.00,0.0246
3209.00,0.0246
3208.00,0.0246
3207.00,0.0246
3206.00,0.0246
3205.00,0.0246
3204.00,0.0246
3203.00,0.0246
3202.00,0.0246
3201.00,0.0246
3200.00,0.0246
3199.00,0.0245
3198.00,0.0245
3197.00,0.0244
