Created as New Dataset,Sample 403 By YargerLab Date Thursday, December 04 2025
cm-1,A
4000.00,0.0061
3999.00,0.0061
3998.00,0.0061
3997.00,0.0062
3996.00,0.0062
3995.00,0.0062
3994.00,0.0062
3993.00,0.0062
3992.00,0.0062
3991.00,0.0062
3990.00,0.0062
3989.00,0.0062
3988.00,0.0061
3987.00,0.0061
3986.00,0.0061
3985.00,0.0061
3984.00,0.0061
3983.00,0.0061
3982.00,0.0061
3981.00,0.0061
3980.00,0.0061
3979.00,0.0061
3978.00,0.0061
3977.00,0.0062
3976.00,0.0062
3975.00,0.0062
3974.00,0.0061
3973.00,0.0061
3972.00,0.0061
3971.00,0.0061
3970.00,0.0061
3969.00,0.0061
3968.00,0.0061
3967.00,0.0061
3966.00,0.0061
3965.00,0.0061
3964.00,0.0062
3963.00,0.0062
3962.00,0.0062
3961.00,0.0062
3960.00,0.0061
3959.00,0.0061
3958.00,0.0061
3957.00,0.0061
3956.00,0.0061
3955.00,0.0061
3954.00,0.0061
3953.00,0.0061
3952.00,0.0061
3951.00,0.0061
3950.00,0.0061
3949.00,0.0061
3948.00,0.0061
3947.00,0.0061
3946.00,0.0061
3945.00,0.0061
3944.00,0.0061
3943.00,0.0061
3942.00,0.0061
3941.00,0.0061
3940.00,0.0061
3939.00,0.0061
3938.00,0.0061
3937.00,0.0061
3936.00,0.0061
3935.00,0.0061
3934.00,0.0061
3933.00,0.0061
3932.00,0.0061
3931.00,0.0061
3930.00,0.0061
3929.00,0.0061
3928.00,0.0061
3927.00,0.0061
3926.00,0.0061
3925.00,0.0061
3924.00,0.0061
3923.00,0.0061
3922.00,0.0061
3921.00,0.0061
3920.00,0.0061
3919.00,0.0061
3918.00,0.0061
3917.00,0.0061
3916.00,0.0061
3915.00,0.0061
3914.00,0.0061
3913.00,0.0061
3912.00,0.0061
3911.00,0.0061
3910.00,0.0061
3909.00,0.0061
3908.00,0.0061
3907.00,0.0061
3906.00,0.0061
3905.00,0.0062
3904.00,0.0061
3903.00,0.0061
3902.00,0.0061
3901.00,0.0060
3900.00,0.0060
3899.00,0.0060
3898.00,0.0060
3897.00,0.0060
3896.00,0.0060
3895.00,0.0061
3894.00,0.0061
3893.00,0.0061
3892.00,0.0061
3891.00,0.0061
3890.00,0.0061
3889.00,0.0061
3888.00,0.0061
3887.00,0.0061
3886.00,0.0061
3885.00,0.0061
3884.00,0.0060
3883.00,0.0060
3882.00,0.0060
3881.00,0.0061
3880.00,0.0061
3879.00,0.0061
3878.00,0.0061
3877.00,0.0061
3876.00,0.0061
3875.00,0.0061
3874.00,0.0061
3873.00,0.0061
3872.00,0.0061
3871.00,0.0061
3870.00,0.0061
3869.00,0.0061
3868.00,0.0061
3867.00,0.0061
3866.00,0.0061
3865.00,0.0061
3864.00,0.0061
3863.00,0.0061
3862.00,0.0061
3861.00,0.0061
3860.00,0.0061
3859.00,0.0061
3858.00,0.0061
3857.00,0.0061
3856.00,0.0062
3855.00,0.0062
3854.00,0.0062
3853.00,0.0061
3852.00,0.0061
3851.00,0.0061
3850.00,0.0061
3849.00,0.0061
3848.00,0.0061
3847.00,0.0061
3846.00,0.0061
3845.00,0.0061
3844.00,0.0061
3843.00,0.0061
3842.00,0.0061
3841.00,0.0061
3840.00,0.0061
3839.00,0.0061
3838.00,0.0061
3837.00,0.0061
3836.00,0.0061
3835.00,0.0061
3834.00,0.0061
3833.00,0.0061
3832.00,0.0061
3831.00,0.0061
3830.00,0.0061
3829.00,0.0061
3828.00,0.0061
3827.00,0.0061
3826.00,0.0061
3825.00,0.0061
3824.00,0.0061
3823.00,0.0061
3822.00,0.0062
3821.00,0.0062
3820.00,0.0062
3819.00,0.0062
3818.00,0.0062
3817.00,0.0062
3816.00,0.0061
3815.00,0.0061
3814.00,0.0061
3813.00,0.0061
3812.00,0.0062
3811.00,0.0061
3810.00,0.0061
3809.00,0.0061
3808.00,0.0061
3807.00,0.0061
3806.00,0.0061
3805.00,0.0061
3804.00,0.0061
3803.00,0.0061
3802.00,0.0061
3801.00,0.0061
3800.00,0.0061
3799.00,0.0061
3798.00,0.0061
3797.00,0.0061
3796.00,0.0061
3795.00,0.0061
3794.00,0.0061
3793.00,0.0061
3792.00,0.0061
3791.00,0.0061
3790.00,0.0061
3789.00,0.0061
3788.00,0.0061
3787.00,0.0061
3786.00,0.0061
3785.00,0.0061
3784.00,0.0061
3783.00,0.0061
3782.00,0.0061
