Created as New Dataset,Sample 144 By YargerLab Date Wednesday, June 05 2024
cm-1,A
4000.00,0.0088
3999.00,0.0088
3998.00,0.0088
3997.00,0.0087
3996.00,0.0087
3995.00,0.0087
3994.00,0.0087
3993.00,0.0087
3992.00,0.0087
3991.00,0.0087
3990.00,0.0087
3989.00,0.0087
3988.00,0.0088
3987.00,0.0088
3986.00,0.0088
3985.00,0.0087
3984.00,0.0087
3983.00,0.0087
3982.00,0.0087
3981.00,0.0087
3980.00,0.0088
3979.00,0.0088
3978.00,0.0088
3977.00,0.0088
3976.00,0.0088
3975.00,0.0088
3974.00,0.0088
3973.00,0.0088
3972.00,0.0088
3971.00,0.0088
3970.00,0.0088
3969.00,0.0087
3968.00,0.0087
3967.00,0.0087
3966.00,0.0088
3965.00,0.0088
3964.00,0.0088
3963.00,0.0088
3962.00,0.0088
3961.00,0.0087
3960.00,0.0087
3959.00,0.0087
3958.00,0.0087
3957.00,0.0087
3956.00,0.0087
3955.00,0.0087
3954.00,0.0087
3953.00,0.0087
3952.00,0.0087
3951.00,0.0087
3950.00,0.0087
3949.00,0.0087
3948.00,0.0087
3947.00,0.0087
3946.00,0.0087
3945.00,0.0087
3944.00,0.0087
3943.00,0.0087
3942.00,0.0087
3941.00,0.0087
3940.00,0.0087
3939.00,0.0087
3938.00,0.0087
3937.00,0.0087
3936.00,0.0087
3935.00,0.0087
3934.00,0.0087
3933.00,0.0087
3932.00,0.0087
3931.00,0.0087
3930.00,0.0087
3929.00,0.0087
3928.00,0.0087
3927.00,0.0087
3926.00,0.0087
3925.00,0.0087
3924.00,0.0087
3923.00,0.0087
3922.00,0.0087
3921.00,0.0087
3920.00,0.0087
3919.00,0.0087
3918.00,0.0087
3917.00,0.0087
3916.00,0.0087
3915.00,0.0087
3914.00,0.0086
3913.00,0.0086
3912.00,0.0086
3911.00,0.0086
3910.00,0.0086
3909.00,0.0086
3908.00,0.0086
3907.00,0.0086
3906.00,0.0086
3905.00,0.0086
3904.00,0.0086
3903.00,0.0086
3902.00,0.0086
3901.00,0.0086
3900.00,0.0086
3899.00,0.0086
3898.00,0.0086
3897.00,0.0086
3896.00,0.0086
3895.00,0.0086
3894.00,0.0086
3893.00,0.0086
3892.00,0.0086
3891.00,0.0086
3890.00,0.0086
3889.00,0.0086
3888.00,0.0086
3887.00,0.0086
3886.00,0.0085
3885.00,0.0085
3884.00,0.0085
3883.00,0.0085
3882.00,0.0085
3881.00,0.0085
3880.00,0.0085
3879.00,0.0086
3878.00,0.0086
3877.00,0.0086
3876.00,0.0086
3875.00,0.0086
3874.00,0.0086
3873.00,0.0086
3872.00,0.0086
3871.00,0.0085
3870.00,0.0085
3869.00,0.0085
3868.00,0.0085
3867.00,0.0085
3866.00,0.0085
3865.00,0.0085
3864.00,0.0085
3863.00,0.0085
3862.00,0.0086
3861.00,0.0086
3860.00,0.0086
3859.00,0.0086
3858.00,0.0086
3857.00,0.0086
3856.00,0.0086
3855.00,0.0086
3854.00,0.0086
3853.00,0.0086
3852.00,0.0086
3851.00,0.0085
3850.00,0.0085
3849.00,0.0085
3848.00,0.0085
3847.00,0.0085
3846.00,0.0085
3845.00,0.0085
3844.00,0.0085
3843.00,0.0085
3842.00,0.0085
3841.00,0.0085
3840.00,0.0085
3839.00,0.0085
3838.00,0.0085
3837.00,0.0085
3836.00,0.0085
3835.00,0.0085
3834.00,0.0085
3833.00,0.0084
3832.00,0.0084
3831.00,0.0084
3830.00,0.0084
3829.00,0.0084
3828.00,0.0084
3827.00,0.0084
3826.00,0.0084
3825.00,0.0084
3824.00,0.0084
3823.00,0.0085
3822.00,0.0084
3821.00,0.0084
3820.00,0.0085
3819.00,0.0085
3818.00,0.0085
3817.00,0.0084
3816.00,0.0085
3815.00,0.0085
3814.00,0.0085
3813.00,0.0085
3812.00,0.0085
3811.00,0.0085
3810.00,0.0085
3809.00,0.0085
3808.00,0.0085
3807.00,0.0085
3806.00,0.0085
3805.00,0.0085
3804.00,0.0085
3803.00,0.0085
3802.00,0.0084
3801.00,0.0084
3800.00,0.0084
3799.00,0.0084
3798.00,0.0084
3797.00,0.0084
3796.00,0.0084
3795.00,0.0084
3794.00,0.0084
3793.00,0.0084
3792.00,0.0084
3791.00,0.0084
3790.00,0.0084
3789.00,0.0084
3788.00,0.0084
3787.00,0.0084
3786.00,0.0084
3785.00,0.0084
3784.00,0.0084
3783.00,0.0084
3782.00,0.0084
3781.00,0.0084
3780.00,0.0084
3779.00,0.0084
3778.00,0.0084
3777.00,0.0084
3776.00,0.0084
3775.00,0.0084
3774.00,0.0084
3773.00,0.0084
3772.00,0.0084
3771.00,0.0084
3770.00,0.0084
3769.00,0.0084
3768.00,0.0084
3767.00,0.0084
3766.00,0.0084
3765.00,0.0084
3764.00,0.0084
3763.00,0.0084
3762.00,0.0084
3761.00,0.0084
3760.00,0.0084
3759.00,0.0084
3758.00,0.0084
3757.00,0.0084
3756.00,0.0084
3755.00,0.0084
3754.00,0.0084
3753.00,0.0084
3752.00,0.0084
3751.00,0.0084
3750.00,0.0084
3749.00,0.0084
3748.00,0.0084
3747.00,0.0084
3746.00,0.0083
3745.00,0.0083
3744.00,0.0084
3743.00,0.0084
3742.00,0.0084
3741.00,0.0084
3740.00,0.0084
3739.00,0.0084
3738.00,0.0084
3737.00,0.0084
3736.00,0.0084
3735.00,0.0084
3734.00,0.0083
3733.00,0.0083
3732.00,0.0083
3731.00,0.0083
3730.00,0.0083
3729.00,0.0084
3728.00,0.0084
3727.00,0.0084
3726.00,0.0084
3725.00,0.0084
3724.00,0.0083
3723.00,0.0083
3722.00,0.0083
3721.00,0.0083
3720.00,0.0083
3719.00,0.0083
3718.00,0.0083
3717.00,0.0083
3716.00,0.0083
3715.00,0.0084
3714.00,0.0084
3713.00,0.0084
3712.00,0.0084
3711.00,0.0083
3710.00,0.0083
3709.00,0.0083
3708.00,0.0083
3707.00,0.0084
3706.00,0.0084
3705.00,0.0084
3704.00,0.0084
3703.00,0.0083
3702.00,0.0083
3701.00,0.0083
3700.00,0.0083
3699.00,0.0084
3698.00,0.0084
3697.00,0.0084
3696.00,0.0084
3695.00,0.0084
3694.00,0.0084
3693.00,0.0084
3692.00,0.0084
3691.00,0.0084
3690.00,0.0084
3689.00,0.0085
3688.00,0.0085
3687.00,0.0085
3686.00,0.0085
3685.00,0.0085
3684.00,0.0085
3683.00,0.0085
3682.00,0.0085
3681.00,0.0086
3680.00,0.0086
3679.00,0.0087
3678.00,0.0087
3677.00,0.0088
3676.00,0.0088
3675.00,0.0088
3674.00,0.0088
3673.00,0.0088
3672.00,0.0088
3671.00,0.0088
3670.00,0.0088
3669.00,0.0088
3668.00,0.0088
3667.00,0.0089
3666.00,0.0089
3665.00,0.0089
3664.00,0.0090
3663.00,0.0090
3662.00,0.0090
3661.00,0.0090
3660.00,0.0090
3659.00,0.0091
3658.00,0.0091
3657.00,0.0091
3656.00,0.0091
3655.00,0.0092
3654.00,0.0092
3653.00,0.0092
3652.00,0.0093
3651.00,0.0093
3650.00,0.0093
3649.00,0.0094
3648.00,0.0094
3647.00,0.0095
3646.00,0.0095
3645.00,0.0096
3644.00,0.0096
3643.00,0.0096
3642.00,0.0097
3641.00,0.0097
3640.00,0.0097
3639.00,0.0098
3638.00,0.0098
3637.00,0.0099
3636.00,0.0099
3635.00,0.0100
3634.00,0.0100
3633.00,0.0100
3632.00,0.0101
3631.00,0.0101
3630.00,0.0102
3629.00,0.0103
3628.00,0.0103
3627.00,0.0104
3626.00,0.0104
3625.00,0.0104
3624.00,0.0105
3623.00,0.0105
3622.00,0.0106
3621.00,0.0106
3620.00,0.0107
3619.00,0.0108
3618.00,0.0108
3617.00,0.0109
3616.00,0.0109
3615.00,0.0110
3614.00,0.0110
3613.00,0.0111
3612.00,0.0111
3611.00,0.0112
3610.00,0.0113
3609.00,0.0113
3608.00,0.0114
