################################################################################
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# BIO_SYSTEM_CONF_TXT             WAXSRES
# Center_1                        606.9810
# Center_2                        651.0160
# Comment                         gamma_1X - gamma_1X_WAXS_HI_600s
# DDummy                          0.6
# Date                            2023-10-10T19:31:53
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           9.91088
# Gamma                           0
# Intensity1                      1.08521e-07
# JawsDistance                    4.54563
# JawsVelocity                    0.358589
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# Pressure                        0.0967999
# SampleDistance                  0.0500003
# SampleEnvKind                   saxs
# SampleEnvPN                     Solids
# SampleEnvSN                     1012
# Strain                          0
# Stress                          0
# Thickness                       0
# WaveLength                      1.541891e-10
# Wavelength                      1.54189e-10
# anaB                            0
# anaB_dial                       -0.0012015
# anaPark                         -175.125
# anaPark_dial                    175.169
# anaXi                           0
# anaXi_dial                      0
# anaZ                            -9.13123e-08
# anaZ_dial                       6.2299
# aux                             0
# aux_dial                        -0.000125
# b2c                             0
# b2c_dial                        0
# beamx                           603.62
# beamx_dial                      603.62
# beamz                           653.016
# beamz_dial                      653.016
# bioZ                            -2.90461e-08
# bioZ_dial                       -0.546695
# det0x                           0
# det0x_dial                      6.05631
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           50.0003
# det0y_dial                      893.512
# det0z                           0
# det0z_dial                      6.3358
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# mag                             1.091
# mag_dial                        1.091
# mono1B                          1.00136e-08
# mono1B_dial                     -0.277
# mono2B                          1.75476e-07
# mono2B_dial                     -4.366
# mono2X                          -1
# mono2X_dial                     3.96031
# mono2Xi                         0
# mono2Xi_dial                    0
# monoZ                           -11
# monoZ_dial                      -10.6609
# om                              1.30741e-08
# om_dial                         -0.939898
# phi                             -4.9295e-08
# phi_dial                        -7.01716
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149998
# s1bot                           1.45
# s1bot_dial                      -2.02906
# s1hl                            0.55
# s1hl_dial                       -0.47125
# s1hr                            1.95
# s1hr_dial                       2.31625
# s1top                           1.05
# s1top_dial                      1.23391
# s2bot                           1.2
# s2bot_dial                      -2.09531
# s2hl                            0.6
# s2hl_dial                       -1.365
# s2hr                            0.8
# s2hr_dial                       -0.0153125
# s2top                           0.2
# s2top_dial                      -1.18281
# ttdeg                           0
# ttdeg_dial                      0
# wind                            72.0045
# wind_dial                       72.0233
# x                               -19.9
# x_dial                          -19.1903
# z                               -13.5
# z_dial                          5.60906
# CountCutoff                     15302352
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0357
# ThresholdSetting                4023.88989258
# Saturation                      0
# FlatField                       Corrected
# BackgroundReductionExtra        0.02
# Detector                        0
# Monitor                         0
# Pil_Roi0                        6.51142e+10
# SumForIntensity1                6.51126e+10
# TransmittedFlux                 1.08521e+08
# det                             0
# mon                             0
# pilai0                          6.51126e+10
# pilai1                          0
# pilct0                          6.51147e+10
# pilct1                          0
# pilroi0                         6.51142e+10
# pilroi1                         0
# sec                             0.099
# title                           10_10_2023_0_00013.edf
# usaxs0                          0
################################################################################
q(A-1)                    I(q)                      Sig(q)                    
0.0030562210859526916     1909.1029167367685        0.05707735898910424       
0.009168663257858074      1911.5594557985605        0.04038588203339621       
0.015281105429763455      1870.380913716308         0.025265850285080636      
0.02139354760166884       1794.1949818112573        0.02474619303573552       
0.027505989773574224      1692.8113696996427        0.020315126852559384      
0.0336184319454796        1556.6266776471641        0.01822293916802655       
0.03973087411738499       1352.0304089391275        0.014483615880280716      
0.04584331628929037       1068.5594657803838        0.01184455667984545       
0.05195575846119575       743.6243619693732         0.010284640597182489      
0.058068200633101134      544.4611979230896         0.007871427073996183      
0.0641806428050065        352.61193590456895        0.005994754467756096      
0.07029308497691189       247.9659050298431         0.0049901970321130544     
0.07640552714881728       151.9505430920048         0.003434028551408033      
0.08251796932072265       81.27295776869967         0.0026849810974158617     
0.08863041149262804       47.58394516072312         0.0018211728246036818     
0.09474285366453342       17.796549067649984        0.001113810889616168      
0.1008552958364388        8.361626249865553         0.0007635053999600122     
0.1069677380083442        1.6593896407821498        0.0003210565802617744     
0.11308018018024958       0.33770776150138426       0.0001489644671140587     
0.11919262235215496       0.08735844031410865       6.43915533366978e-05      
0.12530506452406032       0.006146637350711367      1.8188885109181432e-05    
0.13141750669596572       0.001580317916995056      9.012932996860925e-06     
0.1375299488678711        0.0007333187841828271     6.0277875232648095e-06    
0.14364239103977647       0.0005678697275955606     5.229547845952722e-06     
0.14975483321168187       0.0004940151689678205     4.4981245436458075e-06    
0.15586727538358724       0.00043443227357385915    4.407297088872233e-06     
0.16197971755549262       0.0003956455873400493     4.0627994916008854e-06    
0.168092159727398         0.00035686714222291646    3.6834171185274824e-06    
0.1742046018993034        0.00032592282994538203    3.540163205365444e-06     
0.18031704407120877       0.00030202556736693174    3.3431335681214836e-06    
0.18642948624311415       0.00027947383816819845    3.182007905754427e-06     
0.19254192841501955       0.00026087125846215085    2.9450118857897735e-06    
0.19865437058692492       0.0002465438027557638     2.863311272378815e-06     
0.2047668127588303        0.00023153580659575167    2.735554427166842e-06     
0.2108792549307357        0.00022144889340396505    2.7275577727549343e-06    
0.21699169710264107       0.00021183542019402102    2.563334752784829e-06     
0.22310413927454648       0.00019899458340171612    2.3598997832739578e-06    
0.22921658144645185       0.00019196710575590599    2.3770969869661507e-06    
0.23532902361835722       0.000183650957022974      2.2676755801326113e-06    
0.2414414657902626        0.00017824701657494164    2.229809781725673e-06     
0.24755390796216797       0.00017710683568859898    2.162291474237293e-06     
0.25366635013407335       0.00017015095453319385    2.1196973081929962e-06    
0.2597787923059788        0.00016227796278766533    2.078373829600161e-06     
0.26589123447788415       0.00016302020920535342    1.978812848211176e-06     
0.2720036766497895        0.00015995116896512225    1.988398951462529e-06     
0.2781161188216949        0.00015471709951383884    1.908430567942076e-06     
0.2842285609936003        0.00015342804890094777    1.923956976828131e-06     
0.29034100316550565       0.00014896659823398744    1.8573755376917115e-06    
0.2964534453374111        0.00014788865944728093    1.7613102583618727e-06    
0.30256588750931646       0.00014728120915077157    1.817120518830981e-06     
0.30867832968122183       0.00014335200713323342    1.7701010154346704e-06    
0.3147907718531272        0.00014502162252647176    1.7612205006027175e-06    
0.3209032140250326        0.00014329488833866467    1.7040336997838276e-06    
0.32701565619693795       0.0001433557425270494     1.7047023476704676e-06    
0.33312809836884333       0.00014301829146036476    1.7182317078865623e-06    
0.33924054054074876       0.0001403222677798463     1.637378986245379e-06     
0.34535298271265413       0.00014144357937655782    1.6329562837712207e-06    
