################################################################################
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4637784
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1038
# Dim_2                           1117
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4637784
# BIO_SYSTEM_CONF_TXT             WAXSRES
# Center_1                        606.981
# Center_2                        651.016
# Comment                         BW_EC - BW_EC_WAXS_HI_600s
# DDummy                          0.6
# Date                            2023-10-10T17:43:52
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           9.91088
# Gamma                           0
# Intensity1                      1.09594e-07
# JawsDistance                    4.54563
# JawsVelocity                    0.358589
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# Pressure                        0.120327
# SampleDistance                  0.0500003
# SampleEnvKind                   saxs
# SampleEnvPN                     Solids
# SampleEnvSN                     1012
# Strain                          0
# Stress                          0
# Thickness                       0
# WaveLength                      1.541891e-10
# Wavelength                      1.54189e-10
# anaB                            0
# anaB_dial                       -0.0012015
# anaPark                         -175.125
# anaPark_dial                    175.169
# anaXi                           0
# anaXi_dial                      0
# anaZ                            -9.13123e-08
# anaZ_dial                       6.2299
# aux                             0
# aux_dial                        -0.000125
# b2c                             0
# b2c_dial                        0
# beamx                           603.62
# beamx_dial                      603.62
# beamz                           653.016
# beamz_dial                      653.016
# bioZ                            -2.90461e-08
# bioZ_dial                       -0.546695
# det0x                           0
# det0x_dial                      6.05631
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           50.0003
# det0y_dial                      893.512
# det0z                           0
# det0z_dial                      6.3358
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# mag                             1.091
# mag_dial                        1.091
# mono1B                          1.00136e-08
# mono1B_dial                     -0.277
# mono2B                          1.75476e-07
# mono2B_dial                     -4.366
# mono2X                          -1
# mono2X_dial                     3.96031
# mono2Xi                         0
# mono2Xi_dial                    0
# monoZ                           -11
# monoZ_dial                      -10.6609
# om                              1.30741e-08
# om_dial                         -0.939898
# phi                             -4.9295e-08
# phi_dial                        -7.01716
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149998
# s1bot                           1.45
# s1bot_dial                      -2.02906
# s1hl                            0.55
# s1hl_dial                       -0.47125
# s1hr                            1.95
# s1hr_dial                       2.31625
# s1top                           1.05
# s1top_dial                      1.23391
# s2bot                           1.2
# s2bot_dial                      -2.09531
# s2hl                            0.6
# s2hl_dial                       -1.365
# s2hr                            0.8
# s2hr_dial                       -0.0153125
# s2top                           0.2
# s2top_dial                      -1.18281
# ttdeg                           0
# ttdeg_dial                      0
# wind                            72.0045
# wind_dial                       72.0233
# x                               -11.9
# x_dial                          -11.1903
# z                               -32.8
# z_dial                          -13.6909
# CountCutoff                     15302352
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0357
# ThresholdSetting                4023.88989258
# Saturation                      0
# FlatField                       Corrected
# BackgroundReductionExtra        0.02
# Detector                        0
# Monitor                         0
# Pil_Roi0                        6.57569e+10
# SumForIntensity1                6.57564e+10
# TransmittedFlux                 1.09594e+08
# det                             0
# mon                             0
# pilai0                          6.57564e+10
# pilai1                          0
# pilct0                          6.5757e+10
# pilct1                          0
# pilroi0                         6.57569e+10
# pilroi1                         0
# sec                             0.099
# title                           10_10_2023_0_00003.edf
# usaxs0                          0
################################################################################
q(A-1)                    I(q)                      Sig(q)                    
0.0030562210859526916     1858.9066648521066        0.0560455965120224        
0.009168663257858074      1866.7382511099624        0.03971374883322561       
0.015281105429763455      1840.1153620040857        0.024937615082234573      
0.02139354760166884       1768.3250292943383        0.024446580996703923      
0.027505989773574224      1676.84509467999          0.020119872842037662      
0.0336184319454796        1550.4024638077033        0.01809722225864312       
0.03973087411738499       1360.943934088274         0.014459969939306004      
0.04584331628929037       1087.5130648595139        0.011890502498923275      
0.05195575846119575       760.6223926344472         0.010350477194048554      
0.058068200633101134      557.2272074474308         0.007924094937268962      
0.0641806428050065        357.0773684794936         0.006002989208926542      
0.07029308497691189       247.01671109690267        0.004956194945559677      
0.07640552714881728       149.810889079668          0.003393032100997773      
0.08251796932072265       78.42997545283244         0.0026246581338486667     
0.08863041149262804       45.491191340160434        0.0017719362690515076     
0.09474285366453342       16.78942636152174         0.0010765271689788852     
0.1008552958364388        7.787810800768809         0.0007332261370728537     
0.1069677380083442        1.5485946520876381        0.0003086311593074896     
0.11308018018024958       0.31623575534149273       0.00014344359358695375    
0.11919262235215496       0.08155742531267487       6.191155669298237e-05     
0.12530506452406032       0.005285828067300384      1.6784457360821003e-05    
0.13141750669596572       0.0009890169132759487     7.095112306608208e-06     
0.1375299488678711        0.00024122756891447122    3.4402381278684024e-06    
0.14364239103977647       0.00014031377795821934    2.586743970567171e-06     
0.14975483321168187       0.00010954997822901064    2.1078076965897144e-06    
0.15586727538358724       9.048114224558386e-05     2.0014918577964132e-06    
0.16197971755549262       8.188047673927156e-05     1.8391870992044437e-06    
0.168092159727398         7.071830534766054e-05     1.6316501584750318e-06    
0.1742046018993034        6.76114016810671e-05      1.6044986898969779e-06    
0.18031704407120877       6.282997799312094e-05     1.5173257637260822e-06    
0.18642948624311415       6.106068787975621e-05     1.4800453585480951e-06    
0.19254192841501955       5.886289615638446e-05     1.3920609563707883e-06    
0.19865437058692492       5.377490968549221e-05     1.3306837918340805e-06    
0.2047668127588303        5.2979637169446466e-05    1.302129783401553e-06     
0.2108792549307357        5.2371385652346175e-05    1.319920389661984e-06     
0.21699169710264107       4.790520173957448e-05     1.213000213745905e-06     
0.22310413927454648       4.6421061264425724e-05    1.1342112997157546e-06    
0.22921658144645185       4.5690851980087545e-05    1.154015456083704e-06     
0.23532902361835722       4.3729964036333605e-05    1.1011269443838686e-06    
0.2414414657902626        4.475969356599109e-05     1.1118948999654328e-06    
0.24755390796216797       4.059796555483672e-05     1.0301778642900887e-06    
0.25366635013407335       3.9985255167497325e-05    1.022515955937014e-06     
0.2597787923059788        4.112627136746334e-05     1.0411590166293663e-06    
0.26589123447788415       4.114858240125389e-05     9.8929301310657e-07       
0.2720036766497895        4.131267397235795e-05     1.0055761712998817e-06    
0.2781161188216949        4.123131080906231e-05     9.803570628458923e-07     
0.2842285609936003        4.0339579582376844e-05    9.816850185648248e-07     
0.29034100316550565       4.009937961072722e-05     9.589315383625914e-07     
0.2964534453374111        3.9099158448714516e-05    9.011884931907147e-07     
0.30256588750931646       3.8652866952158766e-05    9.263272122059829e-07     
0.30867832968122183       3.905121965897501e-05     9.193417175059904e-07     
0.3147907718531272        3.782434836307139e-05     8.950485305277966e-07     
0.3209032140250326        4.0532991066118194e-05    9.018424234225038e-07     
0.32701565619693795       3.8278629689396296e-05    8.765621372806118e-07     
0.33312809836884333       3.902225490942643e-05     8.93111376732283e-07      
0.33924054054074876       3.9461165657184924e-05    8.640410467811621e-07     
