Created as New Dataset,Sample 693 By YargerLab Date Wednesday, June 18 2025
cm-1,A
4000.00,0.0019
3999.00,0.0019
3998.00,0.0019
3997.00,0.0019
3996.00,0.0019
3995.00,0.0019
3994.00,0.0019
3993.00,0.0018
3992.00,0.0018
3991.00,0.0018
3990.00,0.0018
3989.00,0.0019
3988.00,0.0019
3987.00,0.0019
3986.00,0.0018
3985.00,0.0018
3984.00,0.0018
3983.00,0.0018
3982.00,0.0018
3981.00,0.0018
3980.00,0.0018
3979.00,0.0019
3978.00,0.0019
3977.00,0.0019
3976.00,0.0019
3975.00,0.0019
3974.00,0.0019
3973.00,0.0019
3972.00,0.0019
3971.00,0.0019
3970.00,0.0019
3969.00,0.0019
3968.00,0.0019
3967.00,0.0019
3966.00,0.0019
3965.00,0.0018
3964.00,0.0018
3963.00,0.0018
3962.00,0.0018
3961.00,0.0018
3960.00,0.0018
3959.00,0.0018
3958.00,0.0018
3957.00,0.0018
3956.00,0.0018
3955.00,0.0018
3954.00,0.0018
3953.00,0.0018
3952.00,0.0018
3951.00,0.0018
3950.00,0.0018
3949.00,0.0018
3948.00,0.0018
3947.00,0.0018
3946.00,0.0018
3945.00,0.0018
3944.00,0.0018
3943.00,0.0018
3942.00,0.0018
3941.00,0.0018
3940.00,0.0018
3939.00,0.0018
3938.00,0.0018
3937.00,0.0018
3936.00,0.0018
3935.00,0.0018
3934.00,0.0018
3933.00,0.0019
3932.00,0.0019
3931.00,0.0019
3930.00,0.0019
3929.00,0.0019
3928.00,0.0019
3927.00,0.0019
3926.00,0.0019
3925.00,0.0019
3924.00,0.0018
3923.00,0.0018
3922.00,0.0018
3921.00,0.0018
3920.00,0.0018
3919.00,0.0018
3918.00,0.0018
3917.00,0.0018
3916.00,0.0018
3915.00,0.0018
3914.00,0.0018
3913.00,0.0018
3912.00,0.0018
3911.00,0.0018
3910.00,0.0018
3909.00,0.0018
3908.00,0.0019
3907.00,0.0019
3906.00,0.0019
3905.00,0.0019
3904.00,0.0020
3903.00,0.0020
3902.00,0.0019
3901.00,0.0019
3900.00,0.0018
3899.00,0.0018
3898.00,0.0018
3897.00,0.0018
3896.00,0.0018
3895.00,0.0018
3894.00,0.0019
3893.00,0.0019
3892.00,0.0018
3891.00,0.0019
3890.00,0.0019
3889.00,0.0019
3888.00,0.0019
3887.00,0.0019
3886.00,0.0019
3885.00,0.0019
3884.00,0.0019
3883.00,0.0019
3882.00,0.0018
3881.00,0.0018
3880.00,0.0018
3879.00,0.0018
3878.00,0.0018
3877.00,0.0018
3876.00,0.0018
3875.00,0.0018
3874.00,0.0019
3873.00,0.0019
3872.00,0.0020
3871.00,0.0019
3870.00,0.0019
3869.00,0.0019
3868.00,0.0019
3867.00,0.0019
3866.00,0.0019
3865.00,0.0018
3864.00,0.0018
3863.00,0.0018
3862.00,0.0018
3861.00,0.0018
3860.00,0.0018
3859.00,0.0019
3858.00,0.0020
3857.00,0.0020
3856.00,0.0021
3855.00,0.0021
3854.00,0.0020
3853.00,0.0020
3852.00,0.0020
3851.00,0.0020
3850.00,0.0019
3849.00,0.0018
3848.00,0.0018
3847.00,0.0018
3846.00,0.0018
3845.00,0.0018
3844.00,0.0019
3843.00,0.0019
3842.00,0.0020
3841.00,0.0020
3840.00,0.0020
3839.00,0.0020
3838.00,0.0020
3837.00,0.0020
3836.00,0.0020
3835.00,0.0020
3834.00,0.0020
3833.00,0.0019
3832.00,0.0019
3831.00,0.0019
3830.00,0.0019
3829.00,0.0019
3828.00,0.0018
3827.00,0.0019
3826.00,0.0019
3825.00,0.0020
3824.00,0.0020
3823.00,0.0020
3822.00,0.0020
3821.00,0.0020
3820.00,0.0021
3819.00,0.0021
3818.00,0.0021
3817.00,0.0020
3816.00,0.0019
3815.00,0.0019
3814.00,0.0020
3813.00,0.0019
3812.00,0.0019
3811.00,0.0019
3810.00,0.0019
3809.00,0.0019
3808.00,0.0019
3807.00,0.0019
3806.00,0.0020
3805.00,0.0021
3804.00,0.0021
3803.00,0.0020
3802.00,0.0020
3801.00,0.0020
3800.00,0.0020
3799.00,0.0020
3798.00,0.0019
3797.00,0.0019
3796.00,0.0019
3795.00,0.0019
3794.00,0.0019
3793.00,0.0019
3792.00,0.0018
3791.00,0.0018
3790.00,0.0018
3789.00,0.0018
3788.00,0.0018
3787.00,0.0018
3786.00,0.0018
3785.00,0.0019
3784.00,0.0019
3783.00,0.0019
3782.00,0.0019
3781.00,0.0019
3780.00,0.0018
3779.00,0.0018
3778.00,0.0018
3777.00,0.0018
3776.00,0.0018
3775.00,0.0018
3774.00,0.0018
3773.00,0.0019
3772.00,0.0019
3771.00,0.0019
3770.00,0.0019
3769.00,0.0019
3768.00,0.0019
3767.00,0.0019
3766.00,0.0018
3765.00,0.0018
3764.00,0.0018
3763.00,0.0019
3762.00,0.0019
3761.00,0.0019
3760.00,0.0019
3759.00,0.0019
3758.00,0.0019
3757.00,0.0019
3756.00,0.0019
3755.00,0.0019
3754.00,0.0020
3753.00,0.0020
3752.00,0.0020
3751.00,0.0020
3750.00,0.0020
3749.00,0.0020
3748.00,0.0021
3747.00,0.0020
3746.00,0.0020
3745.00,0.0019
3744.00,0.0018
3743.00,0.0019
3742.00,0.0019
3741.00,0.0019
3740.00,0.0019
3739.00,0.0019
3738.00,0.0019
3737.00,0.0019
3736.00,0.0019
3735.00,0.0019
3734.00,0.0019
3733.00,0.0019
3732.00,0.0018
3731.00,0.0018
3730.00,0.0018
3729.00,0.0018
3728.00,0.0017
3727.00,0.0017
3726.00,0.0017
3725.00,0.0017
3724.00,0.0017
3723.00,0.0017
3722.00,0.0017
3721.00,0.0017
3720.00,0.0017
3719.00,0.0017
3718.00,0.0017
3717.00,0.0017
3716.00,0.0018
3715.00,0.0018
3714.00,0.0018
3713.00,0.0018
3712.00,0.0018
3711.00,0.0018
3710.00,0.0018
3709.00,0.0018
3708.00,0.0018
3707.00,0.0017
3706.00,0.0017
3705.00,0.0017
3704.00,0.0017
3703.00,0.0017
3702.00,0.0017
3701.00,0.0017
3700.00,0.0017
