Created as New Dataset,Sample 076 By YargerLab Date Thursday, August 14 2025
cm-1,A
4000.00,0.0096
3999.00,0.0096
3998.00,0.0096
3997.00,0.0096
3996.00,0.0096
3995.00,0.0096
3994.00,0.0096
3993.00,0.0096
3992.00,0.0096
3991.00,0.0096
3990.00,0.0096
3989.00,0.0096
3988.00,0.0095
3987.00,0.0096
3986.00,0.0096
3985.00,0.0096
3984.00,0.0096
3983.00,0.0096
3982.00,0.0096
3981.00,0.0096
3980.00,0.0096
3979.00,0.0096
3978.00,0.0097
3977.00,0.0097
3976.00,0.0097
3975.00,0.0097
3974.00,0.0097
3973.00,0.0096
3972.00,0.0096
3971.00,0.0096
3970.00,0.0097
3969.00,0.0097
3968.00,0.0097
3967.00,0.0097
3966.00,0.0098
3965.00,0.0098
3964.00,0.0098
3963.00,0.0098
3962.00,0.0098
3961.00,0.0098
3960.00,0.0098
3959.00,0.0098
3958.00,0.0098
3957.00,0.0098
3956.00,0.0098
3955.00,0.0098
3954.00,0.0098
3953.00,0.0098
3952.00,0.0098
3951.00,0.0098
3950.00,0.0098
3949.00,0.0098
3948.00,0.0097
3947.00,0.0097
3946.00,0.0097
3945.00,0.0097
3944.00,0.0097
3943.00,0.0097
3942.00,0.0098
3941.00,0.0098
3940.00,0.0098
3939.00,0.0098
3938.00,0.0098
3937.00,0.0098
3936.00,0.0098
3935.00,0.0098
3934.00,0.0097
3933.00,0.0097
3932.00,0.0098
3931.00,0.0098
3930.00,0.0098
3929.00,0.0098
3928.00,0.0098
3927.00,0.0098
3926.00,0.0098
3925.00,0.0099
3924.00,0.0099
3923.00,0.0099
3922.00,0.0099
3921.00,0.0099
3920.00,0.0099
3919.00,0.0098
3918.00,0.0098
3917.00,0.0098
3916.00,0.0098
3915.00,0.0098
3914.00,0.0097
3913.00,0.0097
3912.00,0.0097
3911.00,0.0097
3910.00,0.0097
3909.00,0.0097
3908.00,0.0097
3907.00,0.0097
3906.00,0.0097
3905.00,0.0096
3904.00,0.0096
3903.00,0.0096
3902.00,0.0096
3901.00,0.0095
3900.00,0.0096
3899.00,0.0096
3898.00,0.0096
3897.00,0.0096
3896.00,0.0096
3895.00,0.0096
3894.00,0.0096
3893.00,0.0096
3892.00,0.0096
3891.00,0.0095
3890.00,0.0095
3889.00,0.0095
3888.00,0.0095
3887.00,0.0095
3886.00,0.0095
3885.00,0.0095
3884.00,0.0095
3883.00,0.0095
3882.00,0.0095
3881.00,0.0095
3880.00,0.0095
3879.00,0.0095
3878.00,0.0095
3877.00,0.0095
3876.00,0.0095
3875.00,0.0095
3874.00,0.0095
3873.00,0.0095
3872.00,0.0094
3871.00,0.0094
3870.00,0.0094
3869.00,0.0094
3868.00,0.0094
3867.00,0.0094
3866.00,0.0094
3865.00,0.0094
3864.00,0.0095
3863.00,0.0094
3862.00,0.0094
3861.00,0.0094
3860.00,0.0095
3859.00,0.0095
3858.00,0.0095
3857.00,0.0095
3856.00,0.0095
3855.00,0.0094
3854.00,0.0094
3853.00,0.0094
3852.00,0.0094
3851.00,0.0094
3850.00,0.0094
3849.00,0.0094
3848.00,0.0094
3847.00,0.0094
3846.00,0.0094
3845.00,0.0094
3844.00,0.0095
3843.00,0.0095
3842.00,0.0095
3841.00,0.0095
3840.00,0.0095
3839.00,0.0095
3838.00,0.0094
3837.00,0.0094
3836.00,0.0093
3835.00,0.0093
3834.00,0.0093
3833.00,0.0093
3832.00,0.0093
3831.00,0.0094
3830.00,0.0094
3829.00,0.0094
3828.00,0.0094
3827.00,0.0094
3826.00,0.0094
3825.00,0.0094
3824.00,0.0094
3823.00,0.0093
3822.00,0.0093
3821.00,0.0094
3820.00,0.0093
3819.00,0.0093
3818.00,0.0093
3817.00,0.0093
3816.00,0.0093
3815.00,0.0093
3814.00,0.0093
3813.00,0.0093
3812.00,0.0093
3811.00,0.0093
3810.00,0.0093
3809.00,0.0093
3808.00,0.0093
3807.00,0.0093
3806.00,0.0093
3805.00,0.0093
3804.00,0.0093
3803.00,0.0093
3802.00,0.0093
3801.00,0.0093
3800.00,0.0093
3799.00,0.0093
3798.00,0.0093
3797.00,0.0092
3796.00,0.0092
3795.00,0.0092
3794.00,0.0092
3793.00,0.0092
3792.00,0.0092
3791.00,0.0092
3790.00,0.0093
3789.00,0.0093
3788.00,0.0093
3787.00,0.0093
3786.00,0.0093
3785.00,0.0093
3784.00,0.0093
3783.00,0.0093
3782.00,0.0093
3781.00,0.0093
3780.00,0.0093
3779.00,0.0093
3778.00,0.0093
3777.00,0.0093
3776.00,0.0093
3775.00,0.0093
3774.00,0.0093
3773.00,0.0093
3772.00,0.0092
3771.00,0.0092
3770.00,0.0092
3769.00,0.0092
3768.00,0.0092
3767.00,0.0092
3766.00,0.0092
3765.00,0.0092
3764.00,0.0092
3763.00,0.0093
3762.00,0.0093
3761.00,0.0092
3760.00,0.0092
3759.00,0.0092
3758.00,0.0092
3757.00,0.0092
3756.00,0.0092
3755.00,0.0092
3754.00,0.0092
3753.00,0.0092
3752.00,0.0091
3751.00,0.0091
3750.00,0.0091
3749.00,0.0091
3748.00,0.0090
3747.00,0.0090
3746.00,0.0090
3745.00,0.0090
3744.00,0.0090
3743.00,0.0090
3742.00,0.0090
3741.00,0.0090
3740.00,0.0090
3739.00,0.0090
3738.00,0.0090
3737.00,0.0090
3736.00,0.0090
3735.00,0.0089
3734.00,0.0089
3733.00,0.0089
3732.00,0.0089
3731.00,0.0089
3730.00,0.0089
3729.00,0.0089
3728.00,0.0089
3727.00,0.0089
3726.00,0.0089
3725.00,0.0089
3724.00,0.0089
3723.00,0.0090
3722.00,0.0090
3721.00,0.0090
3720.00,0.0090
3719.00,0.0090
3718.00,0.0090
3717.00,0.0090
3716.00,0.0089
3715.00,0.0089
3714.00,0.0089
3713.00,0.0089
3712.00,0.0089
3711.00,0.0089
3710.00,0.0089
3709.00,0.0088
3708.00,0.0088
3707.00,0.0088
3706.00,0.0088
3705.00,0.0089
3704.00,0.0089
3703.00,0.0089
3702.00,0.0088
3701.00,0.0088
3700.00,0.0088
3699.00,0.0088
3698.00,0.0088
3697.00,0.0088
3696.00,0.0088
3695.00,0.0088
3694.00,0.0088
3693.00,0.0088
3692.00,0.0088
3691.00,0.0088
3690.00,0.0088
3689.00,0.0089
3688.00,0.0088
3687.00,0.0088
3686.00,0.0088
3685.00,0.0087
3684.00,0.0087
3683.00,0.0087
3682.00,0.0088
3681.00,0.0088
3680.00,0.0088
3679.00,0.0088
3678.00,0.0088
3677.00,0.0088
3676.00,0.0088
3675.00,0.0087
3674.00,0.0087
3673.00,0.0086
3672.00,0.0086
3671.00,0.0086
3670.00,0.0086
3669.00,0.0086
3668.00,0.0086
3667.00,0.0086
3666.00,0.0087
3665.00,0.0087
3664.00,0.0087
3663.00,0.0087
3662.00,0.0087
3661.00,0.0087
3660.00,0.0087
3659.00,0.0086
3658.00,0.0086
3657.00,0.0086
3656.00,0.0086
3655.00,0.0086
3654.00,0.0086
3653.00,0.0086
3652.00,0.0086
3651.00,0.0086
3650.00,0.0086
3649.00,0.0086
3648.00,0.0086
3647.00,0.0086
3646.00,0.0086
3645.00,0.0086
3644.00,0.0086
3643.00,0.0086
3642.00,0.0086
3641.00,0.0085
3640.00,0.0085
3639.00,0.0085
3638.00,0.0085
3637.00,0.0085
3636.00,0.0085
3635.00,0.0086
3634.00,0.0086
3633.00,0.0086
3632.00,0.0086
3631.00,0.0086
3630.00,0.0086
3629.00,0.0086
3628.00,0.0086
3627.00,0.0085
3626.00,0.0085
3625.00,0.0086
3624.00,0.0086
3623.00,0.0086
3622.00,0.0087
3621.00,0.0087
3620.00,0.0087
3619.00,0.0087
3618.00,0.0087
3617.00,0.0087
3616.00,0.0086
3615.00,0.0086
3614.00,0.0086
3613.00,0.0087
3612.00,0.0087
3611.00,0.0087
3610.00,0.0087
3609.00,0.0087
3608.00,0.0087
3607.00,0.0087
3606.00,0.0087
3605.00,0.0087
3604.00,0.0087
3603.00,0.0088
3602.00,0.0088
3601.00,0.0088
3600.00,0.0088
3599.00,0.0088
3598.00,0.0089
3597.00,0.0089
3596.00,0.0088
3595.00,0.0088
3594.00,0.0088
3593.00,0.0089
3592.00,0.0089
3591.00,0.0089
3590.00,0.0089
3589.00,0.0089
3588.00,0.0089
3587.00,0.0089
3586.00,0.0090
3585.00,0.0090
3584.00,0.0091
3583.00,0.0091
3582.00,0.0091
3581.00,0.0092
3580.00,0.0092
3579.00,0.0092
3578.00,0.0092
3577.00,0.0093
3576.00,0.0093
3575.00,0.0094
3574.00,0.0094
3573.00,0.0095
3572.00,0.0095
3571.00,0.0096
3570.00,0.0096
3569.00,0.0097
3568.00,0.0097
3567.00,0.0098
3566.00,0.0099
3565.00,0.0099
3564.00,0.0100
3563.00,0.0101
3562.00,0.0102
3561.00,0.0103
3560.00,0.0104
3559.00,0.0105
3558.00,0.0106
3557.00,0.0107
3556.00,0.0108
3555.00,0.0110
3554.00,0.0111
3553.00,0.0113
3552.00,0.0115
3551.00,0.0117
3550.00,0.0119
3549.00,0.0121
3548.00,0.0123
3547.00,0.0126
3546.00,0.0130
3545.00,0.0133
3544.00,0.0137
3543.00,0.0141
3542.00,0.0146
3541.00,0.0150
3540.00,0.0156
3539.00,0.0162
3538.00,0.0169
3537.00,0.0177
3536.00,0.0187
3535.00,0.0198
3534.00,0.0210
3533.00,0.0224
3532.00,0.0240
3531.00,0.0260
