Created as New Dataset,Sample 005 By YargerLab Date Wednesday, August 06 2025
cm-1,A
4000.00,0.0007
3999.00,0.0007
3998.00,0.0007
3997.00,0.0007
3996.00,0.0007
3995.00,0.0007
3994.00,0.0007
3993.00,0.0007
3992.00,0.0006
3991.00,0.0006
3990.00,0.0006
3989.00,0.0006
3988.00,0.0007
3987.00,0.0007
3986.00,0.0007
3985.00,0.0007
3984.00,0.0007
3983.00,0.0007
3982.00,0.0007
3981.00,0.0007
3980.00,0.0007
3979.00,0.0007
3978.00,0.0007
3977.00,0.0007
3976.00,0.0007
3975.00,0.0007
3974.00,0.0007
3973.00,0.0007
3972.00,0.0006
3971.00,0.0006
3970.00,0.0007
3969.00,0.0007
3968.00,0.0007
3967.00,0.0007
3966.00,0.0007
3965.00,0.0007
3964.00,0.0006
3963.00,0.0006
3962.00,0.0006
3961.00,0.0006
3960.00,0.0007
3959.00,0.0007
3958.00,0.0007
3957.00,0.0007
3956.00,0.0007
3955.00,0.0007
3954.00,0.0007
3953.00,0.0007
3952.00,0.0007
3951.00,0.0007
3950.00,0.0007
3949.00,0.0006
3948.00,0.0006
3947.00,0.0006
3946.00,0.0006
3945.00,0.0006
3944.00,0.0006
3943.00,0.0006
3942.00,0.0006
3941.00,0.0006
3940.00,0.0006
3939.00,0.0006
3938.00,0.0007
3937.00,0.0006
3936.00,0.0006
3935.00,0.0006
3934.00,0.0006
3933.00,0.0006
3932.00,0.0006
3931.00,0.0006
3930.00,0.0006
3929.00,0.0006
3928.00,0.0006
3927.00,0.0006
3926.00,0.0006
3925.00,0.0006
3924.00,0.0006
3923.00,0.0006
3922.00,0.0006
3921.00,0.0006
3920.00,0.0006
3919.00,0.0005
3918.00,0.0006
3917.00,0.0006
3916.00,0.0006
3915.00,0.0006
3914.00,0.0006
3913.00,0.0007
3912.00,0.0007
3911.00,0.0007
3910.00,0.0007
3909.00,0.0006
3908.00,0.0006
3907.00,0.0005
3906.00,0.0005
3905.00,0.0004
3904.00,0.0004
3903.00,0.0003
3902.00,0.0003
3901.00,0.0003
3900.00,0.0004
3899.00,0.0005
3898.00,0.0005
3897.00,0.0005
3896.00,0.0005
3895.00,0.0005
3894.00,0.0005
3893.00,0.0005
3892.00,0.0005
3891.00,0.0005
3890.00,0.0005
3889.00,0.0005
3888.00,0.0004
3887.00,0.0004
3886.00,0.0005
3885.00,0.0005
3884.00,0.0004
3883.00,0.0004
3882.00,0.0004
3881.00,0.0004
3880.00,0.0005
3879.00,0.0005
3878.00,0.0004
3877.00,0.0004
3876.00,0.0004
3875.00,0.0005
3874.00,0.0005
3873.00,0.0005
3872.00,0.0004
3871.00,0.0004
3870.00,0.0004
3869.00,0.0004
3868.00,0.0004
3867.00,0.0004
3866.00,0.0004
3865.00,0.0004
3864.00,0.0005
3863.00,0.0005
3862.00,0.0005
3861.00,0.0005
3860.00,0.0005
3859.00,0.0005
3858.00,0.0005
3857.00,0.0004
3856.00,0.0004
3855.00,0.0004
3854.00,0.0004
3853.00,0.0004
3852.00,0.0003
3851.00,0.0003
3850.00,0.0004
3849.00,0.0004
3848.00,0.0005
3847.00,0.0005
3846.00,0.0005
3845.00,0.0005
3844.00,0.0005
3843.00,0.0005
3842.00,0.0005
3841.00,0.0004
3840.00,0.0004
3839.00,0.0004
3838.00,0.0004
3837.00,0.0004
3836.00,0.0004
3835.00,0.0004
3834.00,0.0005
3833.00,0.0005
3832.00,0.0006
3831.00,0.0006
3830.00,0.0006
3829.00,0.0006
3828.00,0.0006
3827.00,0.0006
3826.00,0.0006
3825.00,0.0006
3824.00,0.0005
3823.00,0.0005
3822.00,0.0004
3821.00,0.0004
3820.00,0.0004
3819.00,0.0004
3818.00,0.0004
3817.00,0.0005
3816.00,0.0005
3815.00,0.0006
3814.00,0.0006
3813.00,0.0006
3812.00,0.0007
3811.00,0.0007
3810.00,0.0007
3809.00,0.0006
3808.00,0.0006
3807.00,0.0006
3806.00,0.0006
3805.00,0.0005
3804.00,0.0004
3803.00,0.0004
3802.00,0.0005
3801.00,0.0005
3800.00,0.0005
3799.00,0.0004
3798.00,0.0005
3797.00,0.0005
3796.00,0.0006
3795.00,0.0006
3794.00,0.0006
3793.00,0.0007
3792.00,0.0007
3791.00,0.0007
3790.00,0.0007
3789.00,0.0007
3788.00,0.0007
3787.00,0.0007
3786.00,0.0007
3785.00,0.0007
3784.00,0.0007
3783.00,0.0007
3782.00,0.0006
3781.00,0.0007
3780.00,0.0007
3779.00,0.0007
3778.00,0.0007
3777.00,0.0007
3776.00,0.0007
3775.00,0.0007
3774.00,0.0007
3773.00,0.0007
3772.00,0.0007
3771.00,0.0007
3770.00,0.0007
3769.00,0.0006
3768.00,0.0006
3767.00,0.0006
3766.00,0.0006
3765.00,0.0006
3764.00,0.0006
3763.00,0.0006
3762.00,0.0006
3761.00,0.0006
3760.00,0.0006
3759.00,0.0006
3758.00,0.0006
3757.00,0.0006
3756.00,0.0006
3755.00,0.0006
3754.00,0.0005
3753.00,0.0005
3752.00,0.0004
3751.00,0.0003
3750.00,0.0003
3749.00,0.0002
3748.00,0.0002
3747.00,0.0001
3746.00,0.0001
3745.00,0.0002
3744.00,0.0003
3743.00,0.0003
3742.00,0.0004
3741.00,0.0004
3740.00,0.0004
3739.00,0.0004
3738.00,0.0003
3737.00,0.0003
3736.00,0.0003
3735.00,0.0003
3734.00,0.0003
3733.00,0.0003
3732.00,0.0004
3731.00,0.0004
3730.00,0.0005
3729.00,0.0005
3728.00,0.0005
3727.00,0.0005
3726.00,0.0005
3725.00,0.0005
3724.00,0.0005
3723.00,0.0005
3722.00,0.0005
3721.00,0.0005
3720.00,0.0005
3719.00,0.0006
3718.00,0.0006
3717.00,0.0006
3716.00,0.0006
3715.00,0.0006
3714.00,0.0005
3713.00,0.0005
3712.00,0.0005
3711.00,0.0005
3710.00,0.0005
3709.00,0.0005
3708.00,0.0006
3707.00,0.0006
3706.00,0.0006
3705.00,0.0006
3704.00,0.0006
3703.00,0.0006
3702.00,0.0007
3701.00,0.0007
3700.00,0.0007
3699.00,0.0007
3698.00,0.0007
3697.00,0.0007
3696.00,0.0006
3695.00,0.0006
3694.00,0.0006
3693.00,0.0006
3692.00,0.0006
3691.00,0.0006
3690.00,0.0006
3689.00,0.0006
3688.00,0.0006
3687.00,0.0006
3686.00,0.0006
3685.00,0.0007
3684.00,0.0007
3683.00,0.0008
3682.00,0.0008
3681.00,0.0008
3680.00,0.0008
3679.00,0.0008
3678.00,0.0007
3677.00,0.0007
3676.00,0.0007
3675.00,0.0006
3674.00,0.0006
3673.00,0.0005
3672.00,0.0006
3671.00,0.0006
3670.00,0.0007
3669.00,0.0008
3668.00,0.0008
3667.00,0.0009
3666.00,0.0009
3665.00,0.0010
3664.00,0.0011
3663.00,0.0012
3662.00,0.0012
3661.00,0.0012
3660.00,0.0012
3659.00,0.0012
3658.00,0.0012
3657.00,0.0012
3656.00,0.0012
3655.00,0.0012
3654.00,0.0011
3653.00,0.0011
3652.00,0.0011
3651.00,0.0011
3650.00,0.0011
3649.00,0.0011
3648.00,0.0010
3647.00,0.0010
3646.00,0.0011
3645.00,0.0012
3644.00,0.0014
3643.00,0.0015
3642.00,0.0016
3641.00,0.0016
3640.00,0.0017
3639.00,0.0017
3638.00,0.0017
3637.00,0.0017
3636.00,0.0017
3635.00,0.0017
3634.00,0.0018
3633.00,0.0017
3632.00,0.0017
3631.00,0.0017
3630.00,0.0018
3629.00,0.0018
3628.00,0.0018
3627.00,0.0018
3626.00,0.0018
3625.00,0.0019
3624.00,0.0021
3623.00,0.0021
3622.00,0.0022
3621.00,0.0022
3620.00,0.0022
3619.00,0.0022
3618.00,0.0022
3617.00,0.0022
3616.00,0.0022
3615.00,0.0023
3614.00,0.0024
3613.00,0.0024
3612.00,0.0025
3611.00,0.0025
3610.00,0.0025
3609.00,0.0026
3608.00,0.0026
3607.00,0.0027
3606.00,0.0028
3605.00,0.0029
3604.00,0.0030
3603.00,0.0030
3602.00,0.0031
3601.00,0.0032
3600.00,0.0032
3599.00,0.0033
3598.00,0.0033
3597.00,0.0033
3596.00,0.0034
3595.00,0.0034
3594.00,0.0034
3593.00,0.0035
3592.00,0.0036
3591.00,0.0036
3590.00,0.0037
3589.00,0.0037
3588.00,0.0037
3587.00,0.0037
3586.00,0.0037
3585.00,0.0038
3584.00,0.0039
3583.00,0.0041
3582.00,0.0042
3581.00,0.0043
3580.00,0.0044
3579.00,0.0045
3578.00,0.0046
3577.00,0.0047
3576.00,0.0047
3575.00,0.0048
3574.00,0.0048
3573.00,0.0048
3572.00,0.0049
3571.00,0.0050
3570.00,0.0050
3569.00,0.0051
3568.00,0.0051
3567.00,0.0051
3566.00,0.0051
3565.00,0.0051
3564.00,0.0052
3563.00,0.0053
3562.00,0.0055
3561.00,0.0056
3560.00,0.0057
3559.00,0.0058
3558.00,0.0059
3557.00,0.0060
3556.00,0.0061
3555.00,0.0062
3554.00,0.0063
3553.00,0.0063
3552.00,0.0063
3551.00,0.0063
3550.00,0.0064
3549.00,0.0064
3548.00,0.0065
3547.00,0.0066
3546.00,0.0067
3545.00,0.0067
3544.00,0.0068
3543.00,0.0069
3542.00,0.0070
3541.00,0.0071
3540.00,0.0072
3539.00,0.0073
3538.00,0.0073
3537.00,0.0074
3536.00,0.0074
3535.00,0.0075
3534.00,0.0076
3533.00,0.0076
3532.00,0.0077
3531.00,0.0078
3530.00,0.0079
3529.00,0.0079
3528.00,0.0080
3527.00,0.0080
3526.00,0.0080
3525.00,0.0081
3524.00,0.0081
3523.00,0.0082
3522.00,0.0083
3521.00,0.0083
3520.00,0.0084
3519.00,0.0084
3518.00,0.0085
3517.00,0.0085
3516.00,0.0086
3515.00,0.0087
3514.00,0.0087
3513.00,0.0088
3512.00,0.0088
3511.00,0.0088
3510.00,0.0089
3509.00,0.0089
3508.00,0.0089
3507.00,0.0090
3506.00,0.0091
3505.00,0.0091
3504.00,0.0092
3503.00,0.0092
3502.00,0.0091
3501.00,0.0092
3500.00,0.0092
3499.00,0.0093
3498.00,0.0093
3497.00,0.0094
3496.00,0.0094
3495.00,0.0095
3494.00,0.0095
3493.00,0.0096
3492.00,0.0096
3491.00,0.0097
3490.00,0.0097
3489.00,0.0097
3488.00,0.0097
3487.00,0.0098
3486.00,0.0098
3485.00,0.0098
3484.00,0.0099
3483.00,0.0099
3482.00,0.0099
3481.00,0.0099
3480.00,0.0099
3479.00,0.0100
3478.00,0.0100
3477.00,0.0101
3476.00,0.0101
3475.00,0.0101
3474.00,0.0102
3473.00,0.0102
3472.00,0.0103
3471.00,0.0103
3470.00,0.0104
3469.00,0.0104
3468.00,0.0105
3467.00,0.0105
3466.00,0.0105
3465.00,0.0105
3464.00,0.0105
3463.00,0.0105
3462.00,0.0105
3461.00,0.0106
3460.00,0.0106
3459.00,0.0107
3458.00,0.0107
3457.00,0.0108
3456.00,0.0108
3455.00,0.0108
3454.00,0.0109
3453.00,0.0109
3452.00,0.0109
3451.00,0.0109
3450.00,0.0110
3449.00,0.0110
3448.00,0.0111
3447.00,0.0111
3446.00,0.0111
3445.00,0.0111
3444.00,0.0112
3443.00,0.0112
3442.00,0.0112
3441.00,0.0112
3440.00,0.0112
3439.00,0.0113
3438.00,0.0113
3437.00,0.0114
3436.00,0.0114
3435.00,0.0114
3434.00,0.0114
3433.00,0.0114
3432.00,0.0114
3431.00,0.0115
3430.00,0.0115
3429.00,0.0115
3428.00,0.0115
3427.00,0.0116
3426.00,0.0116
3425.00,0.0116
3424.00,0.0116
3423.00,0.0116
3422.00,0.0116
3421.00,0.0116
3420.00,0.0116
3419.00,0.0116
3418.00,0.0117
3417.00,0.0117
3416.00,0.0118
3415.00,0.0118
3414.00,0.0119
3413.00,0.0119
3412.00,0.0120
3411.00,0.0120
3410.00,0.0120
3409.00,0.0121
3408.00,0.0121
3407.00,0.0121
3406.00,0.0121
3405.00,0.0121
3404.00,0.0122
3403.00,0.0122
3402.00,0.0122
3401.00,0.0123
3400.00,0.0123
3399.00,0.0123
3398.00,0.0124
3397.00,0.0124
3396.00,0.0124
3395.00,0.0124
3394.00,0.0124
3393.00,0.0124
3392.00,0.0124
3391.00,0.0123
3390.00,0.0123
3389.00,0.0123
3388.00,0.0123
3387.00,0.0123
3386.00,0.0123
3385.00,0.0123
3384.00,0.0123
3383.00,0.0123
3382.00,0.0122
3381.00,0.0122
3380.00,0.0121
3379.00,0.0121
3378.00,0.0121
3377.00,0.0120
3376.00,0.0120
3375.00,0.0120
3374.00,0.0119
3373.00,0.0119
3372.00,0.0118
3371.00,0.0118
3370.00,0.0117
3369.00,0.0117
3368.00,0.0116
3367.00,0.0116
3366.00,0.0115
3365.00,0.0115
3364.00,0.0114
3363.00,0.0113
3362.00,0.0112
3361.00,0.0112
3360.00,0.0112
3359.00,0.0111
3358.00,0.0111
3357.00,0.0110
3356.00,0.0110
3355.00,0.0109
3354.00,0.0109
3353.00,0.0108
3352.00,0.0108
3351.00,0.0108
3350.00,0.0107
3349.00,0.0107
3348.00,0.0107
3347.00,0.0106
3346.00,0.0105
3345.00,0.0105
3344.00,0.0104
3343.00,0.0104
3342.00,0.0103
3341.00,0.0103
3340.00,0.0102
3339.00,0.0102
3338.00,0.0102
3337.00,0.0101
3336.00,0.0101
3335.00,0.0101
3334.00,0.0101
3333.00,0.0100
3332.00,0.0100
3331.00,0.0100
3330.00,0.0099
3329.00,0.0099
3328.00,0.0098
3327.00,0.0098
3326.00,0.0098
3325.00,0.0097
3324.00,0.0097
3323.00,0.0097
3322.00,0.0097
3321.00,0.0097
3320.00,0.0097
3319.00,0.0096
3318.00,0.0096
3317.00,0.0096
3316.00,0.0096
3315.00,0.0095
3314.00,0.0095
3313.00,0.0095
3312.00,0.0095
3311.00,0.0095
3310.00,0.0095
3309.00,0.0094
3308.00,0.0094
3307.00,0.0094
3306.00,0.0093
3305.00,0.0093
3304.00,0.0093
3303.00,0.0093
3302.00,0.0093
3301.00,0.0093
3300.00,0.0093
3299.00,0.0093
3298.00,0.0093
3297.00,0.0092
3296.00,0.0092
3295.00,0.0092
3294.00,0.0092
3293.00,0.0092
3292.00,0.0092
3291.00,0.0092
3290.00,0.0093
3289.00,0.0093
3288.00,0.0093
3287.00,0.0093
3286.00,0.0093
3285.00,0.0092
3284.00,0.0092
3283.00,0.0092
3282.00,0.0093
3281.00,0.0093
3280.00,0.0093
3279.00,0.0093
3278.00,0.0092
3277.00,0.0092
3276.00,0.0092
3275.00,0.0091
3274.00,0.0091
3273.00,0.0090
3272.00,0.0090
3271.00,0.0090
3270.00,0.0089
3269.00,0.0089
3268.00,0.0089
3267.00,0.0090
3266.00,0.0090
3265.00,0.0090
3264.00,0.0089
3263.00,0.0089
3262.00,0.0089
3261.00,0.0089
3260.00,0.0089
3259.00,0.0088
3258.00,0.0088
3257.00,0.0088
3256.00,0.0088
3255.00,0.0088
3254.00,0.0087
