Created as New Dataset,Sample 984 By YargerLab Date Wednesday, July 30 2025
cm-1,A
4000.00,0.0034
3999.00,0.0034
3998.00,0.0034
3997.00,0.0034
3996.00,0.0034
3995.00,0.0034
3994.00,0.0034
3993.00,0.0034
3992.00,0.0034
3991.00,0.0034
3990.00,0.0034
3989.00,0.0034
3988.00,0.0034
3987.00,0.0034
3986.00,0.0034
3985.00,0.0034
3984.00,0.0034
3983.00,0.0034
3982.00,0.0034
3981.00,0.0034
3980.00,0.0034
3979.00,0.0034
3978.00,0.0034
3977.00,0.0034
3976.00,0.0034
3975.00,0.0034
3974.00,0.0034
3973.00,0.0034
3972.00,0.0034
3971.00,0.0034
3970.00,0.0034
3969.00,0.0034
3968.00,0.0034
3967.00,0.0034
3966.00,0.0034
3965.00,0.0034
3964.00,0.0034
3963.00,0.0034
3962.00,0.0034
3961.00,0.0034
3960.00,0.0034
3959.00,0.0034
3958.00,0.0034
3957.00,0.0034
3956.00,0.0034
3955.00,0.0034
3954.00,0.0035
3953.00,0.0035
3952.00,0.0035
3951.00,0.0034
3950.00,0.0034
3949.00,0.0034
3948.00,0.0034
3947.00,0.0034
3946.00,0.0033
3945.00,0.0033
3944.00,0.0033
3943.00,0.0033
3942.00,0.0033
3941.00,0.0034
3940.00,0.0034
3939.00,0.0034
3938.00,0.0034
3937.00,0.0034
3936.00,0.0034
3935.00,0.0034
3934.00,0.0034
3933.00,0.0034
3932.00,0.0034
3931.00,0.0034
3930.00,0.0034
3929.00,0.0034
3928.00,0.0034
3927.00,0.0034
3926.00,0.0034
3925.00,0.0034
3924.00,0.0034
3923.00,0.0034
3922.00,0.0034
3921.00,0.0033
3920.00,0.0033
3919.00,0.0033
3918.00,0.0033
3917.00,0.0033
3916.00,0.0033
3915.00,0.0033
3914.00,0.0033
3913.00,0.0033
3912.00,0.0034
3911.00,0.0034
3910.00,0.0034
3909.00,0.0034
3908.00,0.0034
3907.00,0.0034
3906.00,0.0033
3905.00,0.0033
3904.00,0.0033
3903.00,0.0033
3902.00,0.0032
3901.00,0.0032
3900.00,0.0032
3899.00,0.0032
3898.00,0.0032
3897.00,0.0033
3896.00,0.0033
3895.00,0.0033
3894.00,0.0033
3893.00,0.0033
3892.00,0.0033
3891.00,0.0033
3890.00,0.0033
3889.00,0.0033
3888.00,0.0033
3887.00,0.0033
3886.00,0.0033
3885.00,0.0033
3884.00,0.0033
3883.00,0.0032
3882.00,0.0032
3881.00,0.0032
3880.00,0.0032
3879.00,0.0032
3878.00,0.0032
3877.00,0.0032
3876.00,0.0032
3875.00,0.0032
3874.00,0.0033
3873.00,0.0033
3872.00,0.0032
3871.00,0.0032
3870.00,0.0032
3869.00,0.0032
3868.00,0.0032
3867.00,0.0031
3866.00,0.0031
3865.00,0.0031
3864.00,0.0032
3863.00,0.0032
3862.00,0.0032
3861.00,0.0032
3860.00,0.0032
3859.00,0.0032
3858.00,0.0032
3857.00,0.0032
3856.00,0.0031
3855.00,0.0031
3854.00,0.0031
3853.00,0.0031
3852.00,0.0031
3851.00,0.0031
3850.00,0.0031
3849.00,0.0031
3848.00,0.0032
3847.00,0.0032
3846.00,0.0032
3845.00,0.0032
3844.00,0.0032
