Created as New Dataset,Sample 063 By YargerLab Date Wednesday, August 13 2025
cm-1,A
4000.00,0.0034
3999.00,0.0034
3998.00,0.0034
3997.00,0.0034
3996.00,0.0034
3995.00,0.0034
3994.00,0.0034
3993.00,0.0034
3992.00,0.0034
3991.00,0.0034
3990.00,0.0034
3989.00,0.0034
3988.00,0.0034
3987.00,0.0034
3986.00,0.0034
3985.00,0.0034
3984.00,0.0034
3983.00,0.0033
3982.00,0.0033
3981.00,0.0033
3980.00,0.0033
3979.00,0.0033
3978.00,0.0034
3977.00,0.0034
3976.00,0.0034
3975.00,0.0034
3974.00,0.0033
3973.00,0.0033
3972.00,0.0033
3971.00,0.0033
3970.00,0.0033
3969.00,0.0033
3968.00,0.0033
3967.00,0.0034
3966.00,0.0034
3965.00,0.0034
3964.00,0.0034
3963.00,0.0034
3962.00,0.0034
3961.00,0.0033
3960.00,0.0033
3959.00,0.0033
3958.00,0.0033
3957.00,0.0033
3956.00,0.0033
3955.00,0.0033
3954.00,0.0033
3953.00,0.0033
3952.00,0.0033
3951.00,0.0033
3950.00,0.0033
3949.00,0.0033
3948.00,0.0033
3947.00,0.0033
3946.00,0.0033
3945.00,0.0033
3944.00,0.0033
3943.00,0.0033
3942.00,0.0033
3941.00,0.0032
3940.00,0.0032
3939.00,0.0032
3938.00,0.0032
3937.00,0.0032
3936.00,0.0033
3935.00,0.0033
3934.00,0.0033
3933.00,0.0033
3932.00,0.0033
3931.00,0.0033
3930.00,0.0033
3929.00,0.0033
3928.00,0.0033
3927.00,0.0033
3926.00,0.0033
3925.00,0.0033
3924.00,0.0034
3923.00,0.0033
3922.00,0.0033
3921.00,0.0033
3920.00,0.0033
3919.00,0.0033
3918.00,0.0032
3917.00,0.0032
3916.00,0.0032
3915.00,0.0032
3914.00,0.0032
3913.00,0.0032
3912.00,0.0032
3911.00,0.0032
3910.00,0.0032
3909.00,0.0032
3908.00,0.0032
3907.00,0.0032
3906.00,0.0032
3905.00,0.0032
3904.00,0.0031
3903.00,0.0031
3902.00,0.0031
3901.00,0.0031
3900.00,0.0031
3899.00,0.0031
3898.00,0.0031
3897.00,0.0032
3896.00,0.0032
3895.00,0.0032
3894.00,0.0032
3893.00,0.0032
3892.00,0.0032
3891.00,0.0032
3890.00,0.0032
3889.00,0.0032
3888.00,0.0032
3887.00,0.0032
3886.00,0.0032
3885.00,0.0032
3884.00,0.0031
3883.00,0.0031
3882.00,0.0031
3881.00,0.0031
3880.00,0.0031
3879.00,0.0031
3878.00,0.0031
3877.00,0.0031
3876.00,0.0031
3875.00,0.0031
3874.00,0.0031
3873.00,0.0031
3872.00,0.0031
3871.00,0.0031
3870.00,0.0031
3869.00,0.0030
3868.00,0.0030
3867.00,0.0030
3866.00,0.0030
3865.00,0.0031
3864.00,0.0031
3863.00,0.0031
3862.00,0.0031
3861.00,0.0031
3860.00,0.0031
3859.00,0.0031
3858.00,0.0031
3857.00,0.0030
3856.00,0.0030
3855.00,0.0029
3854.00,0.0029
3853.00,0.0028
3852.00,0.0028
3851.00,0.0029
3850.00,0.0030
3849.00,0.0031
3848.00,0.0031
3847.00,0.0032
3846.00,0.0032
3845.00,0.0032
3844.00,0.0032
