Created as New Dataset,Sample 876 By YargerLab Date Monday, July 21 2025
cm-1,A
4000.00,0.0046
3999.00,0.0046
3998.00,0.0046
3997.00,0.0046
3996.00,0.0046
3995.00,0.0046
3994.00,0.0045
3993.00,0.0045
3992.00,0.0045
3991.00,0.0045
3990.00,0.0045
3989.00,0.0045
3988.00,0.0046
3987.00,0.0046
3986.00,0.0045
3985.00,0.0045
3984.00,0.0045
3983.00,0.0045
3982.00,0.0045
3981.00,0.0045
3980.00,0.0045
3979.00,0.0046
3978.00,0.0045
3977.00,0.0045
3976.00,0.0045
3975.00,0.0045
3974.00,0.0045
3973.00,0.0045
3972.00,0.0045
3971.00,0.0045
3970.00,0.0046
3969.00,0.0046
3968.00,0.0046
3967.00,0.0046
3966.00,0.0046
3965.00,0.0046
3964.00,0.0046
3963.00,0.0046
3962.00,0.0046
3961.00,0.0046
3960.00,0.0046
3959.00,0.0046
3958.00,0.0046
3957.00,0.0046
3956.00,0.0046
3955.00,0.0046
3954.00,0.0046
3953.00,0.0046
3952.00,0.0046
3951.00,0.0046
3950.00,0.0046
3949.00,0.0046
3948.00,0.0046
3947.00,0.0046
3946.00,0.0046
3945.00,0.0046
3944.00,0.0046
3943.00,0.0046
3942.00,0.0046
3941.00,0.0046
3940.00,0.0046
3939.00,0.0045
3938.00,0.0045
3937.00,0.0045
3936.00,0.0045
3935.00,0.0045
3934.00,0.0045
3933.00,0.0045
3932.00,0.0046
3931.00,0.0046
3930.00,0.0046
3929.00,0.0046
3928.00,0.0046
3927.00,0.0046
3926.00,0.0046
3925.00,0.0046
3924.00,0.0046
3923.00,0.0046
3922.00,0.0046
3921.00,0.0046
3920.00,0.0046
3919.00,0.0046
3918.00,0.0046
3917.00,0.0046
3916.00,0.0046
3915.00,0.0046
3914.00,0.0045
3913.00,0.0045
3912.00,0.0045
3911.00,0.0046
3910.00,0.0046
3909.00,0.0046
3908.00,0.0046
3907.00,0.0045
3906.00,0.0045
3905.00,0.0045
3904.00,0.0045
3903.00,0.0046
3902.00,0.0046
3901.00,0.0045
3900.00,0.0045
3899.00,0.0045
3898.00,0.0045
3897.00,0.0045
3896.00,0.0045
3895.00,0.0045
3894.00,0.0045
3893.00,0.0045
3892.00,0.0045
3891.00,0.0045
3890.00,0.0045
3889.00,0.0045
3888.00,0.0045
3887.00,0.0045
3886.00,0.0045
3885.00,0.0045
3884.00,0.0045
3883.00,0.0044
3882.00,0.0044
3881.00,0.0044
3880.00,0.0044
3879.00,0.0044
3878.00,0.0044
3877.00,0.0045
3876.00,0.0044
3875.00,0.0044
3874.00,0.0045
3873.00,0.0045
3872.00,0.0045
3871.00,0.0045
3870.00,0.0045
3869.00,0.0045
3868.00,0.0045
3867.00,0.0045
3866.00,0.0045
3865.00,0.0045
3864.00,0.0045
3863.00,0.0045
3862.00,0.0045
3861.00,0.0045
3860.00,0.0044
3859.00,0.0044
3858.00,0.0045
3857.00,0.0045
3856.00,0.0045
3855.00,0.0045
3854.00,0.0045
3853.00,0.0045
3852.00,0.0044
3851.00,0.0044
3850.00,0.0044
3849.00,0.0044
3848.00,0.0044
3847.00,0.0045
3846.00,0.0045
3845.00,0.0045
3844.00,0.0045
3843.00,0.0045
3842.00,0.0045
3841.00,0.0045
3840.00,0.0045
3839.00,0.0045
3838.00,0.0045
3837.00,0.0045
3836.00,0.0045
3835.00,0.0045
3834.00,0.0045
3833.00,0.0045
3832.00,0.0045
3831.00,0.0045
3830.00,0.0045
3829.00,0.0044
3828.00,0.0044
3827.00,0.0044
3826.00,0.0045
3825.00,0.0045
3824.00,0.0045
3823.00,0.0045
3822.00,0.0045
3821.00,0.0045
3820.00,0.0045
3819.00,0.0045
3818.00,0.0045
3817.00,0.0045
3816.00,0.0045
3815.00,0.0045
3814.00,0.0045
3813.00,0.0045
3812.00,0.0045
3811.00,0.0045
3810.00,0.0045
3809.00,0.0045
3808.00,0.0045
3807.00,0.0045
3806.00,0.0045
3805.00,0.0045
3804.00,0.0045
3803.00,0.0045
3802.00,0.0044
3801.00,0.0044
3800.00,0.0044
3799.00,0.0044
3798.00,0.0044
3797.00,0.0044
3796.00,0.0044
3795.00,0.0044
3794.00,0.0044
3793.00,0.0044
3792.00,0.0044
3791.00,0.0044
3790.00,0.0044
3789.00,0.0044
3788.00,0.0044
3787.00,0.0044
3786.00,0.0044
3785.00,0.0044
3784.00,0.0044
3783.00,0.0045
3782.00,0.0045
3781.00,0.0045
3780.00,0.0044
3779.00,0.0044
3778.00,0.0044
3777.00,0.0044
3776.00,0.0045
3775.00,0.0045
3774.00,0.0045
3773.00,0.0045
3772.00,0.0045
3771.00,0.0045
3770.00,0.0045
3769.00,0.0045
3768.00,0.0045
3767.00,0.0045
3766.00,0.0045
3765.00,0.0044
3764.00,0.0044
3763.00,0.0044
3762.00,0.0045
3761.00,0.0045
3760.00,0.0045
3759.00,0.0045
3758.00,0.0045
3757.00,0.0045
3756.00,0.0045
3755.00,0.0045
3754.00,0.0044
3753.00,0.0044
3752.00,0.0044
3751.00,0.0045
3750.00,0.0045
3749.00,0.0045
3748.00,0.0046
3747.00,0.0046
3746.00,0.0045
3745.00,0.0045
3744.00,0.0045
3743.00,0.0045
3742.00,0.0044
3741.00,0.0044
3740.00,0.0044
3739.00,0.0044
3738.00,0.0044
3737.00,0.0043
3736.00,0.0043
3735.00,0.0043
3734.00,0.0042
3733.00,0.0042
3732.00,0.0042
3731.00,0.0043
3730.00,0.0043
3729.00,0.0043
3728.00,0.0043
3727.00,0.0042
3726.00,0.0042
3725.00,0.0042
3724.00,0.0042
3723.00,0.0042
3722.00,0.0043
3721.00,0.0043
3720.00,0.0043
3719.00,0.0043
3718.00,0.0044
3717.00,0.0044
