Created as New Dataset,Sample 820 By YargerLab Date Tuesday, July 15 2025
cm-1,A
4000.00,0.0019
3999.00,0.0019
3998.00,0.0019
3997.00,0.0019
3996.00,0.0019
3995.00,0.0019
3994.00,0.0018
3993.00,0.0018
3992.00,0.0018
3991.00,0.0018
3990.00,0.0018
3989.00,0.0018
3988.00,0.0017
3987.00,0.0017
3986.00,0.0017
3985.00,0.0017
3984.00,0.0017
3983.00,0.0017
3982.00,0.0018
3981.00,0.0018
3980.00,0.0018
3979.00,0.0017
3978.00,0.0017
3977.00,0.0017
3976.00,0.0017
3975.00,0.0018
3974.00,0.0018
3973.00,0.0018
3972.00,0.0018
3971.00,0.0018
3970.00,0.0018
3969.00,0.0018
3968.00,0.0018
3967.00,0.0017
3966.00,0.0017
3965.00,0.0017
3964.00,0.0017
3963.00,0.0017
3962.00,0.0017
3961.00,0.0017
3960.00,0.0017
3959.00,0.0017
3958.00,0.0018
3957.00,0.0018
3956.00,0.0018
3955.00,0.0017
3954.00,0.0017
3953.00,0.0017
3952.00,0.0017
3951.00,0.0017
3950.00,0.0016
3949.00,0.0017
3948.00,0.0017
3947.00,0.0017
3946.00,0.0017
3945.00,0.0017
3944.00,0.0017
3943.00,0.0017
3942.00,0.0017
3941.00,0.0017
3940.00,0.0017
3939.00,0.0017
3938.00,0.0017
3937.00,0.0017
3936.00,0.0017
3935.00,0.0017
3934.00,0.0017
3933.00,0.0016
3932.00,0.0016
3931.00,0.0016
3930.00,0.0016
3929.00,0.0016
3928.00,0.0016
3927.00,0.0016
3926.00,0.0016
3925.00,0.0016
3924.00,0.0016
3923.00,0.0016
3922.00,0.0016
3921.00,0.0016
3920.00,0.0016
3919.00,0.0016
3918.00,0.0016
3917.00,0.0016
3916.00,0.0016
3915.00,0.0016
3914.00,0.0016
3913.00,0.0016
3912.00,0.0016
3911.00,0.0017
3910.00,0.0017
3909.00,0.0016
3908.00,0.0016
3907.00,0.0016
3906.00,0.0015
3905.00,0.0015
3904.00,0.0015
3903.00,0.0014
3902.00,0.0014
3901.00,0.0014
3900.00,0.0014
3899.00,0.0014
3898.00,0.0015
3897.00,0.0015
3896.00,0.0015
3895.00,0.0015
3894.00,0.0015
3893.00,0.0016
3892.00,0.0016
3891.00,0.0016
3890.00,0.0016
3889.00,0.0016
3888.00,0.0015
3887.00,0.0015
3886.00,0.0015
3885.00,0.0015
3884.00,0.0015
3883.00,0.0014
3882.00,0.0014
3881.00,0.0014
3880.00,0.0015
3879.00,0.0015
3878.00,0.0015
3877.00,0.0015
3876.00,0.0015
3875.00,0.0015
3874.00,0.0015
3873.00,0.0015
3872.00,0.0014
3871.00,0.0014
3870.00,0.0014
3869.00,0.0014
3868.00,0.0014
3867.00,0.0013
3866.00,0.0013
3865.00,0.0014
3864.00,0.0014
3863.00,0.0015
3862.00,0.0015
3861.00,0.0015
3860.00,0.0016
3859.00,0.0016
3858.00,0.0016
3857.00,0.0015
3856.00,0.0015
3855.00,0.0014
3854.00,0.0015
3853.00,0.0015
3852.00,0.0015
3851.00,0.0014
3850.00,0.0014
3849.00,0.0015
3848.00,0.0015
3847.00,0.0015
3846.00,0.0015
3845.00,0.0015
3844.00,0.0015
3843.00,0.0015
3842.00,0.0015
3841.00,0.0014
3840.00,0.0014
3839.00,0.0014
3838.00,0.0014
3837.00,0.0014
3836.00,0.0013
3835.00,0.0013
3834.00,0.0014
3833.00,0.0014
3832.00,0.0015
3831.00,0.0016
3830.00,0.0016
3829.00,0.0016
3828.00,0.0015
3827.00,0.0015
3826.00,0.0016
3825.00,0.0015
3824.00,0.0015
3823.00,0.0014
3822.00,0.0014
3821.00,0.0015
3820.00,0.0015
3819.00,0.0015
3818.00,0.0015
3817.00,0.0015
3816.00,0.0015
3815.00,0.0016
3814.00,0.0016
3813.00,0.0016
3812.00,0.0016
3811.00,0.0016
3810.00,0.0016
3809.00,0.0016
3808.00,0.0016
3807.00,0.0016
3806.00,0.0016
3805.00,0.0015
3804.00,0.0014
3803.00,0.0014
3802.00,0.0014
3801.00,0.0015
3800.00,0.0015
3799.00,0.0014
3798.00,0.0014
3797.00,0.0015
3796.00,0.0016
3795.00,0.0016
3794.00,0.0016
3793.00,0.0017
3792.00,0.0017
3791.00,0.0017
3790.00,0.0017
3789.00,0.0017
3788.00,0.0017
3787.00,0.0017
3786.00,0.0017
3785.00,0.0017
3784.00,0.0016
3783.00,0.0016
3782.00,0.0016
3781.00,0.0017
3780.00,0.0017
3779.00,0.0017
3778.00,0.0017
3777.00,0.0017
3776.00,0.0017
3775.00,0.0017
3774.00,0.0017
3773.00,0.0017
3772.00,0.0017
3771.00,0.0016
3770.00,0.0016
3769.00,0.0016
3768.00,0.0016
3767.00,0.0016
3766.00,0.0016
3765.00,0.0016
3764.00,0.0016
3763.00,0.0016
3762.00,0.0016
3761.00,0.0016
3760.00,0.0016
3759.00,0.0016
3758.00,0.0015
3757.00,0.0015
3756.00,0.0015
3755.00,0.0015
3754.00,0.0015
3753.00,0.0015
3752.00,0.0015
3751.00,0.0015
3750.00,0.0015
3749.00,0.0014
3748.00,0.0014
3747.00,0.0013
3746.00,0.0013
3745.00,0.0014
3744.00,0.0014
3743.00,0.0014
3742.00,0.0014
3741.00,0.0014
3740.00,0.0015
3739.00,0.0015
3738.00,0.0014
3737.00,0.0014
3736.00,0.0014
3735.00,0.0013
3734.00,0.0012
3733.00,0.0012
3732.00,0.0013
3731.00,0.0014
3730.00,0.0014
3729.00,0.0015
3728.00,0.0015
3727.00,0.0015
3726.00,0.0015
3725.00,0.0015
3724.00,0.0014
3723.00,0.0014
3722.00,0.0015
3721.00,0.0015
3720.00,0.0015
3719.00,0.0015
3718.00,0.0015
3717.00,0.0016
3716.00,0.0015
3715.00,0.0015
3714.00,0.0014
3713.00,0.0014
3712.00,0.0013
3711.00,0.0013
3710.00,0.0013
3709.00,0.0014
3708.00,0.0014
3707.00,0.0015
3706.00,0.0015
3705.00,0.0016
3704.00,0.0016
3703.00,0.0016
3702.00,0.0016
3701.00,0.0016
3700.00,0.0016
