Created as New Dataset,Sample 704 By YargerLab Date Wednesday, June 18 2025
cm-1,A
4000.00,0.0033
3999.00,0.0033
3998.00,0.0032
3997.00,0.0032
3996.00,0.0032
3995.00,0.0032
3994.00,0.0032
3993.00,0.0032
3992.00,0.0033
3991.00,0.0033
3990.00,0.0033
3989.00,0.0032
3988.00,0.0032
3987.00,0.0032
3986.00,0.0032
3985.00,0.0032
3984.00,0.0032
3983.00,0.0032
3982.00,0.0032
3981.00,0.0032
3980.00,0.0032
3979.00,0.0032
3978.00,0.0032
3977.00,0.0033
3976.00,0.0033
3975.00,0.0032
3974.00,0.0032
3973.00,0.0032
3972.00,0.0032
3971.00,0.0032
3970.00,0.0032
3969.00,0.0032
3968.00,0.0032
3967.00,0.0033
3966.00,0.0033
3965.00,0.0033
3964.00,0.0033
3963.00,0.0032
3962.00,0.0032
3961.00,0.0032
3960.00,0.0032
3959.00,0.0032
3958.00,0.0032
3957.00,0.0032
3956.00,0.0032
3955.00,0.0032
3954.00,0.0032
3953.00,0.0032
3952.00,0.0032
3951.00,0.0032
3950.00,0.0032
3949.00,0.0032
3948.00,0.0032
3947.00,0.0032
3946.00,0.0032
3945.00,0.0032
3944.00,0.0032
3943.00,0.0032
3942.00,0.0032
3941.00,0.0032
3940.00,0.0032
3939.00,0.0032
3938.00,0.0032
3937.00,0.0032
3936.00,0.0032
3935.00,0.0032
3934.00,0.0032
3933.00,0.0032
3932.00,0.0032
3931.00,0.0032
3930.00,0.0032
3929.00,0.0032
3928.00,0.0032
3927.00,0.0032
3926.00,0.0032
3925.00,0.0032
3924.00,0.0032
3923.00,0.0032
3922.00,0.0032
3921.00,0.0032
3920.00,0.0032
3919.00,0.0032
3918.00,0.0032
3917.00,0.0032
3916.00,0.0032
3915.00,0.0032
3914.00,0.0032
3913.00,0.0032
3912.00,0.0032
3911.00,0.0033
3910.00,0.0033
3909.00,0.0033
3908.00,0.0033
3907.00,0.0032
3906.00,0.0032
3905.00,0.0032
3904.00,0.0032
3903.00,0.0031
3902.00,0.0031
3901.00,0.0031
3900.00,0.0031
3899.00,0.0031
3898.00,0.0031
3897.00,0.0031
3896.00,0.0031
3895.00,0.0032
3894.00,0.0032
3893.00,0.0032
3892.00,0.0032
3891.00,0.0032
3890.00,0.0032
3889.00,0.0032
3888.00,0.0032
3887.00,0.0031
3886.00,0.0031
3885.00,0.0031
3884.00,0.0031
3883.00,0.0031
3882.00,0.0031
3881.00,0.0031
3880.00,0.0031
3879.00,0.0031
3878.00,0.0031
3877.00,0.0031
3876.00,0.0031
3875.00,0.0031
3874.00,0.0031
3873.00,0.0031
3872.00,0.0031
3871.00,0.0031
3870.00,0.0031
3869.00,0.0031
3868.00,0.0031
3867.00,0.0031
3866.00,0.0031
3865.00,0.0031
3864.00,0.0031
3863.00,0.0031
3862.00,0.0031
3861.00,0.0031
3860.00,0.0031
3859.00,0.0031
3858.00,0.0031
3857.00,0.0032
3856.00,0.0032
3855.00,0.0032
3854.00,0.0032
3853.00,0.0031
3852.00,0.0031
3851.00,0.0031
3850.00,0.0031
3849.00,0.0031
3848.00,0.0032
3847.00,0.0032
3846.00,0.0032
3845.00,0.0032
3844.00,0.0032
3843.00,0.0032
3842.00,0.0032
3841.00,0.0032
3840.00,0.0032
3839.00,0.0032
3838.00,0.0031
3837.00,0.0031
3836.00,0.0031
3835.00,0.0031
3834.00,0.0031
3833.00,0.0032
3832.00,0.0032
3831.00,0.0032
3830.00,0.0032
3829.00,0.0032
3828.00,0.0032
3827.00,0.0032
3826.00,0.0032
3825.00,0.0032
3824.00,0.0032
3823.00,0.0032
3822.00,0.0031
3821.00,0.0031
3820.00,0.0032
3819.00,0.0032
3818.00,0.0032
3817.00,0.0032
3816.00,0.0032
3815.00,0.0033
3814.00,0.0033
3813.00,0.0033
3812.00,0.0033
3811.00,0.0033
3810.00,0.0033
3809.00,0.0033
3808.00,0.0033
3807.00,0.0033
3806.00,0.0032
3805.00,0.0032
3804.00,0.0032
3803.00,0.0032
3802.00,0.0032
3801.00,0.0032
3800.00,0.0032
3799.00,0.0032
3798.00,0.0032
3797.00,0.0032
3796.00,0.0033
3795.00,0.0033
3794.00,0.0033
3793.00,0.0033
3792.00,0.0033
3791.00,0.0033
3790.00,0.0033
3789.00,0.0033
3788.00,0.0033
3787.00,0.0033
3786.00,0.0033
3785.00,0.0033
3784.00,0.0033
3783.00,0.0033
3782.00,0.0033
3781.00,0.0033
3780.00,0.0033
3779.00,0.0033
3778.00,0.0033
3777.00,0.0033
3776.00,0.0033
3775.00,0.0033
3774.00,0.0033
3773.00,0.0034
3772.00,0.0034
3771.00,0.0034
3770.00,0.0034
3769.00,0.0033
3768.00,0.0033
3767.00,0.0033
3766.00,0.0033
3765.00,0.0032
3764.00,0.0032
3763.00,0.0032
3762.00,0.0032
3761.00,0.0032
3760.00,0.0033
3759.00,0.0033
3758.00,0.0033
3757.00,0.0033
3756.00,0.0033
3755.00,0.0033
3754.00,0.0033
3753.00,0.0033
3752.00,0.0032
3751.00,0.0032
3750.00,0.0032
3749.00,0.0032
3748.00,0.0032
3747.00,0.0033
3746.00,0.0033
3745.00,0.0033
3744.00,0.0032
3743.00,0.0032
3742.00,0.0031
3741.00,0.0031
3740.00,0.0031
3739.00,0.0030
3738.00,0.0030
3737.00,0.0030
3736.00,0.0030
3735.00,0.0030
3734.00,0.0030
3733.00,0.0031
3732.00,0.0031
3731.00,0.0031
3730.00,0.0031
3729.00,0.0031
3728.00,0.0031
3727.00,0.0031
3726.00,0.0032
3725.00,0.0032
3724.00,0.0032
3723.00,0.0032
3722.00,0.0032
3721.00,0.0032
3720.00,0.0033
3719.00,0.0032
3718.00,0.0032
3717.00,0.0032
3716.00,0.0032
3715.00,0.0032
3714.00,0.0032
3713.00,0.0032
3712.00,0.0032
3711.00,0.0032
3710.00,0.0032
3709.00,0.0032
3708.00,0.0032
3707.00,0.0032
3706.00,0.0032
3705.00,0.0032
3704.00,0.0032
3703.00,0.0032
3702.00,0.0033
3701.00,0.0033
3700.00,0.0033
3699.00,0.0033
3698.00,0.0033
3697.00,0.0033
3696.00,0.0033
3695.00,0.0033
3694.00,0.0033
3693.00,0.0033
3692.00,0.0033
3691.00,0.0033
3690.00,0.0033
3689.00,0.0033
3688.00,0.0033
3687.00,0.0034
3686.00,0.0034
3685.00,0.0035
3684.00,0.0036
3683.00,0.0036
3682.00,0.0036
3681.00,0.0036
3680.00,0.0037
3679.00,0.0037
3678.00,0.0037
3677.00,0.0037
3676.00,0.0036
3675.00,0.0036
3674.00,0.0036
3673.00,0.0037
3672.00,0.0037
3671.00,0.0037
3670.00,0.0037
3669.00,0.0038
3668.00,0.0038
3667.00,0.0039
3666.00,0.0039
3665.00,0.0040
3664.00,0.0040
3663.00,0.0040
3662.00,0.0040
3661.00,0.0041
3660.00,0.0041
3659.00,0.0041
3658.00,0.0041
3657.00,0.0042
3656.00,0.0042
3655.00,0.0043
3654.00,0.0043
3653.00,0.0043
3652.00,0.0042
3651.00,0.0042
3650.00,0.0043
3649.00,0.0043
3648.00,0.0044
3647.00,0.0045
3646.00,0.0046
3645.00,0.0046
3644.00,0.0047
3643.00,0.0048
3642.00,0.0048
3641.00,0.0049
3640.00,0.0050
3639.00,0.0050
3638.00,0.0051
3637.00,0.0051
3636.00,0.0052
3635.00,0.0052
3634.00,0.0053
3633.00,0.0053
3632.00,0.0054
3631.00,0.0054
3630.00,0.0055
3629.00,0.0055
3628.00,0.0056
3627.00,0.0057
3626.00,0.0058
3625.00,0.0058
3624.00,0.0059
3623.00,0.0059
3622.00,0.0060
3621.00,0.0060
3620.00,0.0061
3619.00,0.0062
3618.00,0.0062
3617.00,0.0063
3616.00,0.0064
3615.00,0.0065
3614.00,0.0066
3613.00,0.0067
3612.00,0.0069
3611.00,0.0070
3610.00,0.0071
3609.00,0.0071
3608.00,0.0072
3607.00,0.0073
3606.00,0.0074
3605.00,0.0075
3604.00,0.0076
3603.00,0.0077
3602.00,0.0078
3601.00,0.0079
3600.00,0.0080
3599.00,0.0081
3598.00,0.0082
3597.00,0.0083
3596.00,0.0084
3595.00,0.0085
3594.00,0.0086
3593.00,0.0088
3592.00,0.0089
3591.00,0.0090
3590.00,0.0091
3589.00,0.0092
3588.00,0.0093
3587.00,0.0094
3586.00,0.0096
3585.00,0.0097
3584.00,0.0098
3583.00,0.0099
3582.00,0.0100
3581.00,0.0102
3580.00,0.0103
3579.00,0.0105
3578.00,0.0106
3577.00,0.0107
3576.00,0.0108
3575.00,0.0110
3574.00,0.0111
3573.00,0.0112
3572.00,0.0113
3571.00,0.0114
3570.00,0.0115
3569.00,0.0115
3568.00,0.0116
3567.00,0.0117
3566.00,0.0119
3565.00,0.0120
3564.00,0.0122
3563.00,0.0123
3562.00,0.0125
3561.00,0.0126
3560.00,0.0127
3559.00,0.0128
3558.00,0.0129
3557.00,0.0130
3556.00,0.0131
3555.00,0.0132
3554.00,0.0134
3553.00,0.0135
3552.00,0.0136
3551.00,0.0137
3550.00,0.0138
3549.00,0.0138
3548.00,0.0139
3547.00,0.0140
3546.00,0.0141
3545.00,0.0142
3544.00,0.0143
3543.00,0.0144
3542.00,0.0145
3541.00,0.0146
3540.00,0.0147
3539.00,0.0147
3538.00,0.0148
3537.00,0.0149
3536.00,0.0150
3535.00,0.0150
3534.00,0.0151
3533.00,0.0151
3532.00,0.0152
3531.00,0.0153
3530.00,0.0153
3529.00,0.0154
3528.00,0.0155
3527.00,0.0155
3526.00,0.0156
3525.00,0.0156
3524.00,0.0157
3523.00,0.0158
3522.00,0.0158
3521.00,0.0158
3520.00,0.0159
3519.00,0.0159
3518.00,0.0160
3517.00,0.0160
3516.00,0.0161
3515.00,0.0161
3514.00,0.0161
3513.00,0.0161
3512.00,0.0162
3511.00,0.0162
3510.00,0.0162
3509.00,0.0163
3508.00,0.0163
