Created as New Dataset,Sample 740 By YargerLab Date Friday, June 27 2025
cm-1,A
4000.00,0.0017
3999.00,0.0017
3998.00,0.0017
3997.00,0.0017
3996.00,0.0018
3995.00,0.0018
3994.00,0.0018
3993.00,0.0018
3992.00,0.0017
3991.00,0.0017
3990.00,0.0017
3989.00,0.0017
3988.00,0.0017
3987.00,0.0018
3986.00,0.0018
3985.00,0.0018
3984.00,0.0018
3983.00,0.0017
3982.00,0.0017
3981.00,0.0017
3980.00,0.0018
3979.00,0.0018
3978.00,0.0018
3977.00,0.0018
3976.00,0.0018
3975.00,0.0018
3974.00,0.0018
3973.00,0.0018
3972.00,0.0018
3971.00,0.0019
3970.00,0.0019
3969.00,0.0019
3968.00,0.0019
3967.00,0.0019
3966.00,0.0019
3965.00,0.0019
3964.00,0.0018
3963.00,0.0018
3962.00,0.0019
3961.00,0.0019
3960.00,0.0019
3959.00,0.0019
3958.00,0.0019
3957.00,0.0019
3956.00,0.0019
3955.00,0.0019
3954.00,0.0019
3953.00,0.0019
3952.00,0.0019
3951.00,0.0019
3950.00,0.0018
3949.00,0.0018
3948.00,0.0018
3947.00,0.0018
3946.00,0.0018
3945.00,0.0018
3944.00,0.0018
3943.00,0.0018
3942.00,0.0018
3941.00,0.0018
3940.00,0.0018
3939.00,0.0018
3938.00,0.0018
3937.00,0.0018
3936.00,0.0018
3935.00,0.0018
3934.00,0.0018
3933.00,0.0018
3932.00,0.0018
3931.00,0.0018
3930.00,0.0018
3929.00,0.0018
3928.00,0.0018
3927.00,0.0018
3926.00,0.0018
3925.00,0.0018
3924.00,0.0018
3923.00,0.0018
3922.00,0.0018
3921.00,0.0018
3920.00,0.0018
3919.00,0.0018
3918.00,0.0018
3917.00,0.0018
3916.00,0.0018
3915.00,0.0017
3914.00,0.0017
3913.00,0.0017
3912.00,0.0017
3911.00,0.0016
3910.00,0.0017
3909.00,0.0017
3908.00,0.0017
3907.00,0.0018
3906.00,0.0019
3905.00,0.0019
3904.00,0.0019
3903.00,0.0019
3902.00,0.0019
3901.00,0.0019
3900.00,0.0019
3899.00,0.0019
3898.00,0.0018
3897.00,0.0018
3896.00,0.0018
3895.00,0.0018
3894.00,0.0018
3893.00,0.0018
3892.00,0.0018
3891.00,0.0018
3890.00,0.0018
3889.00,0.0018
3888.00,0.0019
3887.00,0.0018
3886.00,0.0018
3885.00,0.0018
3884.00,0.0018
3883.00,0.0018
3882.00,0.0018
3881.00,0.0018
3880.00,0.0017
3879.00,0.0017
3878.00,0.0018
3877.00,0.0018
3876.00,0.0018
3875.00,0.0018
3874.00,0.0018
3873.00,0.0018
3872.00,0.0018
3871.00,0.0019
3870.00,0.0019
3869.00,0.0019
3868.00,0.0019
3867.00,0.0019
3866.00,0.0019
3865.00,0.0019
3864.00,0.0019
3863.00,0.0018
3862.00,0.0018
3861.00,0.0017
3860.00,0.0017
3859.00,0.0017
3858.00,0.0018
3857.00,0.0019
