Created as New Dataset,Sample 083 By YargerLab Date Thursday, August 14 2025
cm-1,A
4000.00,0.0059
3999.00,0.0059
3998.00,0.0059
3997.00,0.0059
3996.00,0.0059
3995.00,0.0059
3994.00,0.0059
3993.00,0.0059
3992.00,0.0059
3991.00,0.0059
3990.00,0.0059
3989.00,0.0059
3988.00,0.0059
3987.00,0.0059
3986.00,0.0059
3985.00,0.0059
3984.00,0.0059
3983.00,0.0059
3982.00,0.0059
3981.00,0.0059
3980.00,0.0059
3979.00,0.0059
3978.00,0.0059
3977.00,0.0059
3976.00,0.0059
3975.00,0.0059
3974.00,0.0059
3973.00,0.0059
3972.00,0.0059
3971.00,0.0059
3970.00,0.0059
3969.00,0.0059
3968.00,0.0059
3967.00,0.0059
3966.00,0.0059
3965.00,0.0059
3964.00,0.0059
3963.00,0.0059
3962.00,0.0059
3961.00,0.0059
3960.00,0.0059
3959.00,0.0059
3958.00,0.0059
3957.00,0.0059
3956.00,0.0059
3955.00,0.0059
3954.00,0.0059
3953.00,0.0059
3952.00,0.0059
3951.00,0.0059
3950.00,0.0059
3949.00,0.0059
3948.00,0.0059
3947.00,0.0059
3946.00,0.0059
3945.00,0.0058
3944.00,0.0059
3943.00,0.0059
3942.00,0.0059
3941.00,0.0059
3940.00,0.0059
3939.00,0.0059
3938.00,0.0059
3937.00,0.0059
3936.00,0.0059
3935.00,0.0059
3934.00,0.0058
3933.00,0.0058
3932.00,0.0058
3931.00,0.0058
3930.00,0.0058
3929.00,0.0058
3928.00,0.0058
3927.00,0.0058
3926.00,0.0058
3925.00,0.0058
3924.00,0.0058
3923.00,0.0058
3922.00,0.0058
3921.00,0.0058
3920.00,0.0058
3919.00,0.0058
3918.00,0.0058
3917.00,0.0058
3916.00,0.0058
3915.00,0.0058
3914.00,0.0058
3913.00,0.0058
3912.00,0.0058
3911.00,0.0058
3910.00,0.0058
3909.00,0.0058
3908.00,0.0058
3907.00,0.0058
3906.00,0.0057
3905.00,0.0057
3904.00,0.0057
3903.00,0.0057
3902.00,0.0057
3901.00,0.0057
3900.00,0.0057
3899.00,0.0058
3898.00,0.0058
3897.00,0.0058
3896.00,0.0058
3895.00,0.0058
3894.00,0.0058
3893.00,0.0058
3892.00,0.0058
3891.00,0.0058
3890.00,0.0058
3889.00,0.0058
3888.00,0.0058
3887.00,0.0057
3886.00,0.0058
3885.00,0.0058
3884.00,0.0058
3883.00,0.0057
3882.00,0.0057
3881.00,0.0057
3880.00,0.0058
3879.00,0.0058
3878.00,0.0058
3877.00,0.0057
3876.00,0.0057
3875.00,0.0057
3874.00,0.0057
3873.00,0.0057
3872.00,0.0057
3871.00,0.0057
3870.00,0.0057
3869.00,0.0057
3868.00,0.0057
3867.00,0.0057
3866.00,0.0057
3865.00,0.0057
3864.00,0.0057
3863.00,0.0057
3862.00,0.0057
3861.00,0.0057
3860.00,0.0057
3859.00,0.0057
3858.00,0.0058
3857.00,0.0057
3856.00,0.0057
3855.00,0.0056
3854.00,0.0056
3853.00,0.0056
3852.00,0.0056
3851.00,0.0056
3850.00,0.0057
3849.00,0.0057
3848.00,0.0058
3847.00,0.0058
3846.00,0.0058
3845.00,0.0058
3844.00,0.0058
3843.00,0.0058
3842.00,0.0058
3841.00,0.0058
3840.00,0.0057
3839.00,0.0057
3838.00,0.0057
3837.00,0.0057
3836.00,0.0057
3835.00,0.0057
3834.00,0.0057
3833.00,0.0058
3832.00,0.0058
3831.00,0.0058
3830.00,0.0058
3829.00,0.0058
3828.00,0.0058
3827.00,0.0059
3826.00,0.0059
3825.00,0.0059
3824.00,0.0058
3823.00,0.0058
3822.00,0.0058
3821.00,0.0058
3820.00,0.0058
3819.00,0.0057
3818.00,0.0057
3817.00,0.0057
3816.00,0.0058
3815.00,0.0059
3814.00,0.0059
3813.00,0.0058
3812.00,0.0058
3811.00,0.0058
3810.00,0.0058
3809.00,0.0058
3808.00,0.0058
3807.00,0.0058
3806.00,0.0058
3805.00,0.0058
3804.00,0.0057
3803.00,0.0057
3802.00,0.0057
3801.00,0.0058
3800.00,0.0057
3799.00,0.0057
3798.00,0.0057
3797.00,0.0057
3796.00,0.0058
3795.00,0.0058
3794.00,0.0058
3793.00,0.0058
3792.00,0.0058
3791.00,0.0058
3790.00,0.0058
3789.00,0.0059
3788.00,0.0058
3787.00,0.0058
3786.00,0.0058
3785.00,0.0058
3784.00,0.0058
3783.00,0.0058
3782.00,0.0058
3781.00,0.0058
3780.00,0.0058
3779.00,0.0058
3778.00,0.0058
3777.00,0.0058
3776.00,0.0058
3775.00,0.0058
3774.00,0.0058
3773.00,0.0058
3772.00,0.0058
3771.00,0.0058
3770.00,0.0058
3769.00,0.0058
3768.00,0.0058
3767.00,0.0058
3766.00,0.0058
3765.00,0.0058
3764.00,0.0058
3763.00,0.0058
3762.00,0.0058
3761.00,0.0058
3760.00,0.0058
3759.00,0.0058
3758.00,0.0058
3757.00,0.0058
3756.00,0.0058
3755.00,0.0058
3754.00,0.0058
3753.00,0.0058
3752.00,0.0058
3751.00,0.0058
3750.00,0.0058
3749.00,0.0058
3748.00,0.0057
3747.00,0.0056
3746.00,0.0056
3745.00,0.0056
