Created as New Dataset,Sample 695 By YargerLab Date Wednesday, June 18 2025
cm-1,A
4000.00,0.0128
3999.00,0.0128
3998.00,0.0128
3997.00,0.0129
3996.00,0.0129
3995.00,0.0129
3994.00,0.0129
3993.00,0.0128
3992.00,0.0128
3991.00,0.0128
3990.00,0.0128
3989.00,0.0128
3988.00,0.0128
3987.00,0.0128
3986.00,0.0128
3985.00,0.0128
3984.00,0.0128
3983.00,0.0128
3982.00,0.0128
3981.00,0.0127
3980.00,0.0127
3979.00,0.0127
3978.00,0.0127
3977.00,0.0127
3976.00,0.0127
3975.00,0.0127
3974.00,0.0127
3973.00,0.0127
3972.00,0.0127
3971.00,0.0127
3970.00,0.0127
3969.00,0.0127
3968.00,0.0127
3967.00,0.0127
3966.00,0.0127
3965.00,0.0127
3964.00,0.0127
3963.00,0.0127
3962.00,0.0127
3961.00,0.0128
3960.00,0.0128
3959.00,0.0128
3958.00,0.0128
3957.00,0.0127
3956.00,0.0127
3955.00,0.0127
3954.00,0.0127
3953.00,0.0127
3952.00,0.0127
3951.00,0.0127
3950.00,0.0127
3949.00,0.0127
3948.00,0.0127
3947.00,0.0127
3946.00,0.0127
3945.00,0.0127
3944.00,0.0127
3943.00,0.0127
3942.00,0.0127
3941.00,0.0127
3940.00,0.0127
3939.00,0.0127
3938.00,0.0126
3937.00,0.0126
3936.00,0.0126
3935.00,0.0126
3934.00,0.0126
3933.00,0.0126
3932.00,0.0126
3931.00,0.0126
3930.00,0.0127
3929.00,0.0127
3928.00,0.0127
3927.00,0.0126
3926.00,0.0126
3925.00,0.0126
3924.00,0.0126
3923.00,0.0126
3922.00,0.0126
3921.00,0.0125
3920.00,0.0125
3919.00,0.0125
3918.00,0.0126
3917.00,0.0126
3916.00,0.0126
3915.00,0.0126
3914.00,0.0126
3913.00,0.0126
3912.00,0.0126
3911.00,0.0126
3910.00,0.0126
3909.00,0.0125
3908.00,0.0125
3907.00,0.0125
3906.00,0.0124
3905.00,0.0124
3904.00,0.0124
3903.00,0.0124
3902.00,0.0125
3901.00,0.0125
3900.00,0.0125
3899.00,0.0125
3898.00,0.0125
3897.00,0.0125
3896.00,0.0125
3895.00,0.0125
3894.00,0.0125
3893.00,0.0125
3892.00,0.0125
3891.00,0.0125
3890.00,0.0125
3889.00,0.0125
3888.00,0.0125
3887.00,0.0124
3886.00,0.0124
3885.00,0.0124
3884.00,0.0124
3883.00,0.0124
3882.00,0.0123
3881.00,0.0123
3880.00,0.0123
3879.00,0.0124
3878.00,0.0125
3877.00,0.0125
3876.00,0.0125
3875.00,0.0125
3874.00,0.0125
3873.00,0.0125
3872.00,0.0125
3871.00,0.0125
3870.00,0.0124
3869.00,0.0124
3868.00,0.0124
3867.00,0.0124
3866.00,0.0124
3865.00,0.0123
3864.00,0.0123
3863.00,0.0124
3862.00,0.0124
3861.00,0.0124
3860.00,0.0123
3859.00,0.0123
3858.00,0.0123
3857.00,0.0123
3856.00,0.0123
3855.00,0.0123
3854.00,0.0123
3853.00,0.0124
3852.00,0.0125
3851.00,0.0125
3850.00,0.0124
3849.00,0.0123
3848.00,0.0123
3847.00,0.0123
3846.00,0.0123
3845.00,0.0123
3844.00,0.0122
3843.00,0.0123
3842.00,0.0123
3841.00,0.0123
3840.00,0.0123
3839.00,0.0123
3838.00,0.0123
3837.00,0.0123
3836.00,0.0123
3835.00,0.0123
3834.00,0.0123
3833.00,0.0122
3832.00,0.0122
3831.00,0.0122
3830.00,0.0122
3829.00,0.0122
3828.00,0.0122
3827.00,0.0122
3826.00,0.0122
3825.00,0.0122
3824.00,0.0122
3823.00,0.0122
3822.00,0.0121
3821.00,0.0121
3820.00,0.0122
3819.00,0.0123
3818.00,0.0123
3817.00,0.0122
3816.00,0.0122
3815.00,0.0122
3814.00,0.0122
3813.00,0.0121
3812.00,0.0121
3811.00,0.0121
3810.00,0.0121
3809.00,0.0121
3808.00,0.0121
3807.00,0.0121
3806.00,0.0121
3805.00,0.0122
3804.00,0.0122
3803.00,0.0121
3802.00,0.0121
3801.00,0.0121
3800.00,0.0121
3799.00,0.0121
3798.00,0.0120
3797.00,0.0120
3796.00,0.0120
3795.00,0.0120
3794.00,0.0120
3793.00,0.0120
3792.00,0.0120
3791.00,0.0120
3790.00,0.0120
3789.00,0.0120
3788.00,0.0120
3787.00,0.0119
3786.00,0.0119
3785.00,0.0119
3784.00,0.0119
3783.00,0.0119
3782.00,0.0119
3781.00,0.0119
3780.00,0.0119
3779.00,0.0119
3778.00,0.0119
3777.00,0.0119
3776.00,0.0118
3775.00,0.0118
3774.00,0.0119
