Created as New Dataset,Sample 871 By YargerLab Date Monday, July 21 2025
cm-1,A
4000.00,0.0044
3999.00,0.0044
3998.00,0.0044
3997.00,0.0044
3996.00,0.0044
3995.00,0.0044
3994.00,0.0044
3993.00,0.0044
3992.00,0.0044
3991.00,0.0044
3990.00,0.0044
3989.00,0.0044
3988.00,0.0044
3987.00,0.0044
3986.00,0.0044
3985.00,0.0044
3984.00,0.0044
3983.00,0.0044
3982.00,0.0044
3981.00,0.0044
3980.00,0.0045
3979.00,0.0045
3978.00,0.0045
3977.00,0.0045
3976.00,0.0044
3975.00,0.0044
3974.00,0.0044
3973.00,0.0045
3972.00,0.0045
3971.00,0.0045
3970.00,0.0045
3969.00,0.0045
3968.00,0.0045
3967.00,0.0045
3966.00,0.0044
3965.00,0.0045
3964.00,0.0045
3963.00,0.0045
3962.00,0.0045
3961.00,0.0045
3960.00,0.0045
3959.00,0.0045
3958.00,0.0045
3957.00,0.0045
3956.00,0.0045
3955.00,0.0045
3954.00,0.0045
3953.00,0.0045
3952.00,0.0045
3951.00,0.0045
3950.00,0.0045
3949.00,0.0045
3948.00,0.0045
3947.00,0.0045
3946.00,0.0045
3945.00,0.0045
3944.00,0.0045
3943.00,0.0045
3942.00,0.0044
3941.00,0.0044
3940.00,0.0044
3939.00,0.0044
3938.00,0.0044
3937.00,0.0045
3936.00,0.0045
3935.00,0.0045
3934.00,0.0045
3933.00,0.0045
3932.00,0.0045
3931.00,0.0045
3930.00,0.0045
3929.00,0.0045
3928.00,0.0045
3927.00,0.0045
3926.00,0.0045
3925.00,0.0045
3924.00,0.0045
3923.00,0.0045
3922.00,0.0045
3921.00,0.0045
3920.00,0.0045
3919.00,0.0045
3918.00,0.0045
3917.00,0.0045
3916.00,0.0045
3915.00,0.0045
3914.00,0.0045
3913.00,0.0045
3912.00,0.0045
3911.00,0.0045
3910.00,0.0045
3909.00,0.0045
3908.00,0.0045
3907.00,0.0045
3906.00,0.0045
3905.00,0.0045
