Created as New Dataset,Sample 047 By YargerLab Date Tuesday, August 12 2025
cm-1,A
4000.00,0.0048
3999.00,0.0048
3998.00,0.0048
3997.00,0.0048
3996.00,0.0048
3995.00,0.0048
3994.00,0.0048
3993.00,0.0049
3992.00,0.0049
3991.00,0.0049
3990.00,0.0049
3989.00,0.0049
3988.00,0.0049
3987.00,0.0049
3986.00,0.0049
3985.00,0.0049
3984.00,0.0049
3983.00,0.0049
3982.00,0.0049
3981.00,0.0049
3980.00,0.0049
3979.00,0.0049
3978.00,0.0049
3977.00,0.0049
3976.00,0.0049
3975.00,0.0049
3974.00,0.0049
3973.00,0.0049
3972.00,0.0049
3971.00,0.0049
3970.00,0.0049
3969.00,0.0049
3968.00,0.0049
3967.00,0.0048
3966.00,0.0049
3965.00,0.0049
3964.00,0.0049
3963.00,0.0049
3962.00,0.0049
3961.00,0.0049
3960.00,0.0049
3959.00,0.0049
3958.00,0.0049
3957.00,0.0049
3956.00,0.0049
3955.00,0.0049
3954.00,0.0049
3953.00,0.0049
3952.00,0.0049
3951.00,0.0049
3950.00,0.0049
3949.00,0.0048
3948.00,0.0048
3947.00,0.0048
3946.00,0.0048
3945.00,0.0048
3944.00,0.0049
3943.00,0.0049
3942.00,0.0049
3941.00,0.0049
3940.00,0.0049
3939.00,0.0048
3938.00,0.0048
3937.00,0.0048
3936.00,0.0048
3935.00,0.0048
3934.00,0.0048
3933.00,0.0048
3932.00,0.0048
3931.00,0.0048
3930.00,0.0048
3929.00,0.0048
3928.00,0.0049
3927.00,0.0049
3926.00,0.0049
3925.00,0.0049
3924.00,0.0048
3923.00,0.0048
3922.00,0.0048
3921.00,0.0048
3920.00,0.0048
3919.00,0.0048
3918.00,0.0048
3917.00,0.0048
3916.00,0.0048
3915.00,0.0048
3914.00,0.0048
3913.00,0.0049
3912.00,0.0049
3911.00,0.0049
3910.00,0.0049
3909.00,0.0049
3908.00,0.0049
3907.00,0.0049
3906.00,0.0049
3905.00,0.0049
3904.00,0.0049
3903.00,0.0049
3902.00,0.0049
3901.00,0.0049
3900.00,0.0048
3899.00,0.0048
3898.00,0.0048
3897.00,0.0048
3896.00,0.0048
3895.00,0.0048
3894.00,0.0048
3893.00,0.0049
3892.00,0.0049
3891.00,0.0049
3890.00,0.0049
3889.00,0.0050
3888.00,0.0050
3887.00,0.0050
3886.00,0.0049
3885.00,0.0049
3884.00,0.0049
3883.00,0.0049
3882.00,0.0049
3881.00,0.0048
3880.00,0.0048
3879.00,0.0048
3878.00,0.0048
3877.00,0.0049
3876.00,0.0049
3875.00,0.0048
3874.00,0.0048
3873.00,0.0049
3872.00,0.0049
3871.00,0.0049
3870.00,0.0049
3869.00,0.0049
3868.00,0.0049
3867.00,0.0049
3866.00,0.0049
3865.00,0.0048
3864.00,0.0048
3863.00,0.0048
3862.00,0.0048
3861.00,0.0048
3860.00,0.0048
3859.00,0.0049
3858.00,0.0049
3857.00,0.0050
3856.00,0.0050
3855.00,0.0051
3854.00,0.0050
3853.00,0.0050
3852.00,0.0050
3851.00,0.0050
3850.00,0.0049
3849.00,0.0048
3848.00,0.0048
3847.00,0.0048
3846.00,0.0048
3845.00,0.0048
3844.00,0.0048
3843.00,0.0048
3842.00,0.0048
3841.00,0.0049
3840.00,0.0049
3839.00,0.0048
3838.00,0.0048
3837.00,0.0048
3836.00,0.0049
3835.00,0.0049
3834.00,0.0049
3833.00,0.0049
3832.00,0.0048
3831.00,0.0048
3830.00,0.0048
3829.00,0.0048
3828.00,0.0048
3827.00,0.0048
3826.00,0.0048
3825.00,0.0049
3824.00,0.0049
3823.00,0.0049
3822.00,0.0049
3821.00,0.0048
3820.00,0.0048
3819.00,0.0048
3818.00,0.0048
3817.00,0.0048
3816.00,0.0048
3815.00,0.0048
3814.00,0.0049
3813.00,0.0049
3812.00,0.0049
3811.00,0.0049
3810.00,0.0049
3809.00,0.0049
3808.00,0.0049
3807.00,0.0049
3806.00,0.0049
3805.00,0.0049
3804.00,0.0049
3803.00,0.0049
3802.00,0.0048
3801.00,0.0048
3800.00,0.0048
3799.00,0.0048
3798.00,0.0048
3797.00,0.0048
3796.00,0.0048
3795.00,0.0048
3794.00,0.0048
3793.00,0.0048
3792.00,0.0048
3791.00,0.0048
3790.00,0.0048
3789.00,0.0048
3788.00,0.0048
3787.00,0.0049
3786.00,0.0049
3785.00,0.0049
3784.00,0.0049
3783.00,0.0049
3782.00,0.0049
3781.00,0.0049
3780.00,0.0049
3779.00,0.0049
3778.00,0.0049
3777.00,0.0049
3776.00,0.0049
3775.00,0.0049
3774.00,0.0048
3773.00,0.0048
3772.00,0.0048
3771.00,0.0048
3770.00,0.0049
3769.00,0.0049
3768.00,0.0050
3767.00,0.0050
3766.00,0.0049
3765.00,0.0049
3764.00,0.0048
3763.00,0.0048
3762.00,0.0048
3761.00,0.0049
3760.00,0.0049
3759.00,0.0049
3758.00,0.0049
3757.00,0.0049
3756.00,0.0049
3755.00,0.0049
3754.00,0.0049
3753.00,0.0049
3752.00,0.0049
3751.00,0.0049
3750.00,0.0049
3749.00,0.0049
3748.00,0.0049
3747.00,0.0050
3746.00,0.0050
3745.00,0.0049
3744.00,0.0049
3743.00,0.0049
3742.00,0.0049
3741.00,0.0049
3740.00,0.0049
3739.00,0.0049
3738.00,0.0049
3737.00,0.0048
3736.00,0.0048
3735.00,0.0048
3734.00,0.0048
3733.00,0.0047
3732.00,0.0047
3731.00,0.0046
3730.00,0.0046
3729.00,0.0047
3728.00,0.0047
3727.00,0.0047
3726.00,0.0047
3725.00,0.0047
3724.00,0.0047
3723.00,0.0047
3722.00,0.0047
3721.00,0.0047
3720.00,0.0047
3719.00,0.0047
3718.00,0.0047
3717.00,0.0047
3716.00,0.0047
3715.00,0.0048
3714.00,0.0048
3713.00,0.0048
3712.00,0.0048
3711.00,0.0048
3710.00,0.0047
3709.00,0.0047
3708.00,0.0046
3707.00,0.0046
3706.00,0.0046
3705.00,0.0047
3704.00,0.0047
3703.00,0.0047
3702.00,0.0047
3701.00,0.0047
3700.00,0.0047
3699.00,0.0047
3698.00,0.0047
3697.00,0.0047
3696.00,0.0047
3695.00,0.0047
3694.00,0.0048
3693.00,0.0048
3692.00,0.0048
3691.00,0.0048
3690.00,0.0048
3689.00,0.0048
3688.00,0.0047
3687.00,0.0048
3686.00,0.0048
3685.00,0.0048
3684.00,0.0048
3683.00,0.0048
3682.00,0.0048
3681.00,0.0048
3680.00,0.0049
3679.00,0.0050
3678.00,0.0050
3677.00,0.0051
3676.00,0.0050
3675.00,0.0050
3674.00,0.0050
3673.00,0.0051
3672.00,0.0051
3671.00,0.0051
3670.00,0.0050
3669.00,0.0050
3668.00,0.0050
3667.00,0.0051
3666.00,0.0051
3665.00,0.0051
3664.00,0.0051
3663.00,0.0051
3662.00,0.0051
3661.00,0.0051
3660.00,0.0051
3659.00,0.0051
3658.00,0.0051
3657.00,0.0052
3656.00,0.0052
3655.00,0.0052
3654.00,0.0053
3653.00,0.0053
3652.00,0.0053
3651.00,0.0053
3650.00,0.0053
3649.00,0.0053
3648.00,0.0053
3647.00,0.0054
3646.00,0.0054
3645.00,0.0054
3644.00,0.0054
3643.00,0.0054
3642.00,0.0054
3641.00,0.0055
3640.00,0.0055
3639.00,0.0055
3638.00,0.0056
3637.00,0.0056
3636.00,0.0056
3635.00,0.0057
3634.00,0.0057
3633.00,0.0057
3632.00,0.0058
3631.00,0.0058
3630.00,0.0059
3629.00,0.0059
3628.00,0.0059
3627.00,0.0059
3626.00,0.0060
3625.00,0.0060
3624.00,0.0060
3623.00,0.0060
3622.00,0.0061
3621.00,0.0062
3620.00,0.0062
3619.00,0.0063
3618.00,0.0063
3617.00,0.0064
3616.00,0.0065
3615.00,0.0065
3614.00,0.0065
3613.00,0.0065
3612.00,0.0066
3611.00,0.0066
3610.00,0.0067
3609.00,0.0067
3608.00,0.0068
3607.00,0.0068
3606.00,0.0069
3605.00,0.0069
3604.00,0.0069
3603.00,0.0070
3602.00,0.0070
3601.00,0.0071
3600.00,0.0071
3599.00,0.0072
3598.00,0.0072
3597.00,0.0072
3596.00,0.0073
3595.00,0.0073
3594.00,0.0074
3593.00,0.0075
3592.00,0.0075
3591.00,0.0076
3590.00,0.0076
3589.00,0.0077
3588.00,0.0077
3587.00,0.0078
3586.00,0.0078
3585.00,0.0079
3584.00,0.0079
3583.00,0.0080
3582.00,0.0081
3581.00,0.0081
3580.00,0.0082
3579.00,0.0083
3578.00,0.0084
3577.00,0.0085
3576.00,0.0085
3575.00,0.0086
3574.00,0.0087
3573.00,0.0087
3572.00,0.0088
3571.00,0.0088
3570.00,0.0089
3569.00,0.0090
