Created as New Dataset,Sample 968 By YargerLab Date Wednesday, July 30 2025
cm-1,A
4000.00,0.0007
3999.00,0.0007
3998.00,0.0007
3997.00,0.0007
3996.00,0.0007
3995.00,0.0007
3994.00,0.0006
3993.00,0.0006
3992.00,0.0006
3991.00,0.0006
3990.00,0.0006
3989.00,0.0007
3988.00,0.0007
3987.00,0.0007
3986.00,0.0007
3985.00,0.0007
3984.00,0.0007
3983.00,0.0007
3982.00,0.0007
3981.00,0.0007
3980.00,0.0007
3979.00,0.0007
3978.00,0.0007
3977.00,0.0007
3976.00,0.0007
3975.00,0.0007
3974.00,0.0006
3973.00,0.0006
3972.00,0.0006
3971.00,0.0006
3970.00,0.0006
3969.00,0.0006
3968.00,0.0006
3967.00,0.0006
3966.00,0.0006
3965.00,0.0006
3964.00,0.0006
3963.00,0.0006
3962.00,0.0006
3961.00,0.0006
3960.00,0.0006
3959.00,0.0006
3958.00,0.0006
3957.00,0.0006
3956.00,0.0006
3955.00,0.0006
3954.00,0.0006
3953.00,0.0006
3952.00,0.0006
3951.00,0.0006
3950.00,0.0006
3949.00,0.0006
3948.00,0.0006
3947.00,0.0006
3946.00,0.0006
3945.00,0.0006
3944.00,0.0005
3943.00,0.0005
3942.00,0.0006
3941.00,0.0006
3940.00,0.0006
3939.00,0.0006
3938.00,0.0006
3937.00,0.0006
3936.00,0.0006
3935.00,0.0006
3934.00,0.0006
3933.00,0.0006
3932.00,0.0006
3931.00,0.0006
3930.00,0.0005
3929.00,0.0005
3928.00,0.0005
3927.00,0.0005
3926.00,0.0005
3925.00,0.0005
3924.00,0.0005
3923.00,0.0005
3922.00,0.0006
3921.00,0.0006
3920.00,0.0006
3919.00,0.0006
3918.00,0.0006
3917.00,0.0006
3916.00,0.0006
3915.00,0.0006
3914.00,0.0005
3913.00,0.0005
3912.00,0.0005
3911.00,0.0005
3910.00,0.0005
3909.00,0.0005
3908.00,0.0006
3907.00,0.0006
3906.00,0.0006
3905.00,0.0006
3904.00,0.0006
3903.00,0.0006
3902.00,0.0007
3901.00,0.0006
3900.00,0.0006
3899.00,0.0006
3898.00,0.0006
3897.00,0.0006
3896.00,0.0006
3895.00,0.0006
3894.00,0.0006
3893.00,0.0005
3892.00,0.0005
3891.00,0.0006
3890.00,0.0006
3889.00,0.0006
3888.00,0.0006
3887.00,0.0006
3886.00,0.0005
3885.00,0.0005
3884.00,0.0006
3883.00,0.0006
3882.00,0.0006
3881.00,0.0006
3880.00,0.0006
3879.00,0.0006
3878.00,0.0006
3877.00,0.0006
3876.00,0.0005
3875.00,0.0005
3874.00,0.0005
3873.00,0.0006
3872.00,0.0006
3871.00,0.0006
3870.00,0.0006
3869.00,0.0007
3868.00,0.0007
3867.00,0.0007
3866.00,0.0006
3865.00,0.0006
3864.00,0.0006
3863.00,0.0006
3862.00,0.0006
3861.00,0.0006
3860.00,0.0006
3859.00,0.0006
3858.00,0.0007
3857.00,0.0008
3856.00,0.0008
3855.00,0.0008
3854.00,0.0008
3853.00,0.0007
3852.00,0.0008
3851.00,0.0008
3850.00,0.0007
3849.00,0.0006
3848.00,0.0006
3847.00,0.0006
3846.00,0.0006
3845.00,0.0006
3844.00,0.0006
3843.00,0.0006
3842.00,0.0006
3841.00,0.0007
3840.00,0.0007
3839.00,0.0007
3838.00,0.0007
3837.00,0.0007
3836.00,0.0007
3835.00,0.0007
3834.00,0.0007
3833.00,0.0007
3832.00,0.0006
3831.00,0.0006
3830.00,0.0006
3829.00,0.0007
3828.00,0.0007
3827.00,0.0007
3826.00,0.0007
3825.00,0.0007
3824.00,0.0008
3823.00,0.0008
3822.00,0.0008
3821.00,0.0008
3820.00,0.0008
3819.00,0.0008
3818.00,0.0008
3817.00,0.0008
3816.00,0.0008
3815.00,0.0007
3814.00,0.0007
3813.00,0.0007
3812.00,0.0006
3811.00,0.0006
3810.00,0.0006
3809.00,0.0006
3808.00,0.0006
3807.00,0.0006
3806.00,0.0007
3805.00,0.0007
3804.00,0.0007
3803.00,0.0007
3802.00,0.0007
3801.00,0.0007
3800.00,0.0007
3799.00,0.0007
3798.00,0.0007
3797.00,0.0006
3796.00,0.0006
3795.00,0.0006
3794.00,0.0006
3793.00,0.0006
3792.00,0.0006
3791.00,0.0006
3790.00,0.0006
3789.00,0.0006
3788.00,0.0006
3787.00,0.0006
3786.00,0.0006
3785.00,0.0006
3784.00,0.0006
3783.00,0.0006
3782.00,0.0006
3781.00,0.0006
3780.00,0.0006
3779.00,0.0006
3778.00,0.0006
3777.00,0.0007
3776.00,0.0007
3775.00,0.0007
3774.00,0.0007
3773.00,0.0007
3772.00,0.0007
3771.00,0.0006
3770.00,0.0006
3769.00,0.0006
3768.00,0.0006
3767.00,0.0007
3766.00,0.0007
3765.00,0.0007
3764.00,0.0007
3763.00,0.0007
3762.00,0.0007
3761.00,0.0007
3760.00,0.0007
3759.00,0.0007
3758.00,0.0007
3757.00,0.0007
3756.00,0.0008
3755.00,0.0008
3754.00,0.0009
3753.00,0.0009
3752.00,0.0009
3751.00,0.0008
3750.00,0.0008
3749.00,0.0008
3748.00,0.0008
3747.00,0.0008
3746.00,0.0008
3745.00,0.0008
3744.00,0.0008
3743.00,0.0008
3742.00,0.0008
3741.00,0.0007
3740.00,0.0007
3739.00,0.0007
3738.00,0.0007
3737.00,0.0007
3736.00,0.0007
3735.00,0.0007
3734.00,0.0007
3733.00,0.0007
3732.00,0.0006
3731.00,0.0006
3730.00,0.0006
3729.00,0.0006
3728.00,0.0006
3727.00,0.0005
3726.00,0.0005
3725.00,0.0005
3724.00,0.0005
3723.00,0.0005
3722.00,0.0005
3721.00,0.0005
3720.00,0.0005
3719.00,0.0006
3718.00,0.0006
3717.00,0.0006
3716.00,0.0006
3715.00,0.0007
3714.00,0.0007
3713.00,0.0007
3712.00,0.0007
3711.00,0.0007
3710.00,0.0007
3709.00,0.0007
3708.00,0.0007
3707.00,0.0007
3706.00,0.0007
3705.00,0.0006
3704.00,0.0006
3703.00,0.0006
3702.00,0.0006
3701.00,0.0006
3700.00,0.0006
3699.00,0.0006
3698.00,0.0005
3697.00,0.0005
3696.00,0.0005
3695.00,0.0005
3694.00,0.0005
3693.00,0.0006
3692.00,0.0006
3691.00,0.0007
3690.00,0.0007
3689.00,0.0007
3688.00,0.0007
3687.00,0.0007
3686.00,0.0007
3685.00,0.0006
3684.00,0.0006
3683.00,0.0006
3682.00,0.0006
3681.00,0.0006
3680.00,0.0006
3679.00,0.0007
3678.00,0.0007
3677.00,0.0007
3676.00,0.0007
3675.00,0.0007
3674.00,0.0007
3673.00,0.0008
3672.00,0.0008
3671.00,0.0007
3670.00,0.0007
3669.00,0.0007
3668.00,0.0007
3667.00,0.0007
3666.00,0.0006
3665.00,0.0006
3664.00,0.0006
3663.00,0.0006
3662.00,0.0006
3661.00,0.0006
3660.00,0.0006
3659.00,0.0006
3658.00,0.0007
3657.00,0.0007
3656.00,0.0006
3655.00,0.0007
3654.00,0.0007
3653.00,0.0007
3652.00,0.0008
3651.00,0.0008
3650.00,0.0007
3649.00,0.0007
3648.00,0.0007
3647.00,0.0008
3646.00,0.0008
3645.00,0.0008
3644.00,0.0007
3643.00,0.0007
3642.00,0.0007
3641.00,0.0007
3640.00,0.0007
3639.00,0.0007
3638.00,0.0007
3637.00,0.0007
3636.00,0.0007
3635.00,0.0007
3634.00,0.0007
3633.00,0.0007
3632.00,0.0008
3631.00,0.0008
3630.00,0.0008
3629.00,0.0008
3628.00,0.0008
3627.00,0.0008
3626.00,0.0008
3625.00,0.0008
3624.00,0.0008
3623.00,0.0008
3622.00,0.0008
3621.00,0.0008
3620.00,0.0008
3619.00,0.0008
3618.00,0.0008
3617.00,0.0009
3616.00,0.0009
3615.00,0.0009
3614.00,0.0009
3613.00,0.0009
3612.00,0.0009
3611.00,0.0009
3610.00,0.0010
3609.00,0.0009
3608.00,0.0009
3607.00,0.0009
3606.00,0.0009
3605.00,0.0009
3604.00,0.0009
3603.00,0.0009
3602.00,0.0010
3601.00,0.0010
3600.00,0.0010
3599.00,0.0010
3598.00,0.0010
3597.00,0.0010
3596.00,0.0010
3595.00,0.0010
3594.00,0.0010
3593.00,0.0010
3592.00,0.0011
3591.00,0.0011
3590.00,0.0011
3589.00,0.0011
3588.00,0.0011
3587.00,0.0010
3586.00,0.0010
3585.00,0.0010
3584.00,0.0010
3583.00,0.0011
3582.00,0.0011
3581.00,0.0011
3580.00,0.0011
3579.00,0.0012
3578.00,0.0012
3577.00,0.0012
3576.00,0.0012
3575.00,0.0012
3574.00,0.0012
3573.00,0.0013
3572.00,0.0013
3571.00,0.0013
3570.00,0.0014
3569.00,0.0014
3568.00,0.0013
3567.00,0.0013
3566.00,0.0013
3565.00,0.0013
3564.00,0.0013
3563.00,0.0013
3562.00,0.0014
3561.00,0.0014
3560.00,0.0014
3559.00,0.0013
3558.00,0.0013
3557.00,0.0014
3556.00,0.0014
3555.00,0.0014
3554.00,0.0014
3553.00,0.0015
3552.00,0.0015
3551.00,0.0015
3550.00,0.0015
3549.00,0.0016
3548.00,0.0016
3547.00,0.0016
3546.00,0.0016
3545.00,0.0016
3544.00,0.0016
3543.00,0.0016
3542.00,0.0016
3541.00,0.0016
3540.00,0.0017
3539.00,0.0017
3538.00,0.0017
3537.00,0.0017
3536.00,0.0017
3535.00,0.0017
3534.00,0.0017
3533.00,0.0018
3532.00,0.0018
3531.00,0.0018
3530.00,0.0019
3529.00,0.0018
3528.00,0.0018
3527.00,0.0018
3526.00,0.0019
3525.00,0.0019
3524.00,0.0019
3523.00,0.0019
3522.00,0.0019
3521.00,0.0019
3520.00,0.0020
3519.00,0.0020
3518.00,0.0020
3517.00,0.0020
3516.00,0.0020
3515.00,0.0020
3514.00,0.0020
3513.00,0.0020
3512.00,0.0021
3511.00,0.0021
3510.00,0.0021
3509.00,0.0021
3508.00,0.0020
3507.00,0.0021
3506.00,0.0021
3505.00,0.0021
3504.00,0.0021
3503.00,0.0021
3502.00,0.0021
3501.00,0.0021
3500.00,0.0021
3499.00,0.0021
3498.00,0.0021
3497.00,0.0021
3496.00,0.0022
3495.00,0.0022
3494.00,0.0022
3493.00,0.0022
3492.00,0.0022
3491.00,0.0022
3490.00,0.0022
3489.00,0.0022
3488.00,0.0022
3487.00,0.0023
3486.00,0.0023
3485.00,0.0022
3484.00,0.0022
3483.00,0.0022
3482.00,0.0022
3481.00,0.0023
3480.00,0.0023
3479.00,0.0023
3478.00,0.0023
3477.00,0.0023
3476.00,0.0023
3475.00,0.0023
3474.00,0.0023
3473.00,0.0023
3472.00,0.0023
3471.00,0.0023
3470.00,0.0023
3469.00,0.0023
3468.00,0.0023
3467.00,0.0023
3466.00,0.0023
3465.00,0.0023
3464.00,0.0023
3463.00,0.0023
3462.00,0.0023
3461.00,0.0023
3460.00,0.0023
3459.00,0.0023
3458.00,0.0023
3457.00,0.0023
3456.00,0.0023
3455.00,0.0023
3454.00,0.0023
3453.00,0.0024
3452.00,0.0024
3451.00,0.0024
3450.00,0.0024
3449.00,0.0025
3448.00,0.0025
3447.00,0.0025
3446.00,0.0024
3445.00,0.0024
3444.00,0.0024
3443.00,0.0024
3442.00,0.0024
3441.00,0.0024
3440.00,0.0025
3439.00,0.0025
3438.00,0.0025
3437.00,0.0025
3436.00,0.0025
3435.00,0.0025
3434.00,0.0025
3433.00,0.0025
3432.00,0.0026
3431.00,0.0026
3430.00,0.0026
3429.00,0.0026
3428.00,0.0026
3427.00,0.0026
3426.00,0.0026
3425.00,0.0026
3424.00,0.0026
3423.00,0.0026
3422.00,0.0026
3421.00,0.0026
3420.00,0.0026
3419.00,0.0026
3418.00,0.0026
3417.00,0.0027
3416.00,0.0027
3415.00,0.0027
3414.00,0.0028
3413.00,0.0028
3412.00,0.0028
3411.00,0.0028
3410.00,0.0028
3409.00,0.0028
3408.00,0.0028
3407.00,0.0028
3406.00,0.0028
3405.00,0.0029
3404.00,0.0029
3403.00,0.0029
3402.00,0.0029
3401.00,0.0029
3400.00,0.0029
3399.00,0.0029
3398.00,0.0029
3397.00,0.0029
3396.00,0.0029
3395.00,0.0029
3394.00,0.0030
3393.00,0.0030
3392.00,0.0030
3391.00,0.0030
3390.00,0.0030
3389.00,0.0030
3388.00,0.0030
3387.00,0.0030
3386.00,0.0031
3385.00,0.0031
3384.00,0.0031
3383.00,0.0031
3382.00,0.0031
3381.00,0.0031
3380.00,0.0031
3379.00,0.0031
3378.00,0.0031
3377.00,0.0031
3376.00,0.0031
3375.00,0.0032
3374.00,0.0032
3373.00,0.0032
3372.00,0.0032
3371.00,0.0032
3370.00,0.0033
3369.00,0.0033
3368.00,0.0033
3367.00,0.0033
3366.00,0.0033
3365.00,0.0033
3364.00,0.0034
3363.00,0.0034
3362.00,0.0034
3361.00,0.0034
3360.00,0.0035
3359.00,0.0035
3358.00,0.0036
3357.00,0.0036
3356.00,0.0036
3355.00,0.0037
3354.00,0.0037
3353.00,0.0037
3352.00,0.0037
3351.00,0.0038
3350.00,0.0038
3349.00,0.0038
3348.00,0.0039
3347.00,0.0039
3346.00,0.0040
3345.00,0.0040
3344.00,0.0040
3343.00,0.0041
3342.00,0.0041
3341.00,0.0042
3340.00,0.0042
3339.00,0.0043
3338.00,0.0043
3337.00,0.0044
3336.00,0.0044
3335.00,0.0045
3334.00,0.0045
3333.00,0.0046
3332.00,0.0047
3331.00,0.0047
3330.00,0.0048
3329.00,0.0049
3328.00,0.0050
3327.00,0.0051
3326.00,0.0052
3325.00,0.0052
3324.00,0.0053
3323.00,0.0054
3322.00,0.0055
3321.00,0.0055
3320.00,0.0056
3319.00,0.0057
3318.00,0.0058
3317.00,0.0059
3316.00,0.0060
3315.00,0.0061
3314.00,0.0062
3313.00,0.0063
3312.00,0.0064
3311.00,0.0065
3310.00,0.0066
3309.00,0.0067
3308.00,0.0068
3307.00,0.0070
3306.00,0.0071
3305.00,0.0072
3304.00,0.0073
3303.00,0.0074
3302.00,0.0075
3301.00,0.0076
3300.00,0.0077
3299.00,0.0078
3298.00,0.0079
3297.00,0.0080
3296.00,0.0081
3295.00,0.0082
3294.00,0.0083
3293.00,0.0084
3292.00,0.0085
3291.00,0.0085
3290.00,0.0086
3289.00,0.0087
3288.00,0.0088
3287.00,0.0088
3286.00,0.0089
3285.00,0.0089
3284.00,0.0089
3283.00,0.0089
3282.00,0.0089
3281.00,0.0089
3280.00,0.0089
3279.00,0.0089
3278.00,0.0089
3277.00,0.0089
3276.00,0.0088
3275.00,0.0088
3274.00,0.0088
3273.00,0.0087
3272.00,0.0087
3271.00,0.0086
3270.00,0.0085
3269.00,0.0084
3268.00,0.0083
3267.00,0.0083
3266.00,0.0082
3265.00,0.0081
3264.00,0.0079
3263.00,0.0078
3262.00,0.0078
3261.00,0.0077
3260.00,0.0076
3259.00,0.0075
3258.00,0.0074
3257.00,0.0073
3256.00,0.0072
3255.00,0.0071
3254.00,0.0070
