Created as New Dataset,Sample 1003 By YargerLab Date Thursday, July 31 2025
cm-1,A
4000.00,0.0001
3999.00,0.0001
3998.00,0.0001
3997.00,0.0001
3996.00,0.0001
3995.00,0.0001
3994.00,0.0001
3993.00,0.0000
3992.00,0.0000
3991.00,-0.0000
3990.00,-0.0000
3989.00,-0.0000
3988.00,-0.0000
3987.00,-0.0000
3986.00,-0.0000
3985.00,-0.0000
3984.00,0.0000
3983.00,0.0000
3982.00,0.0000
3981.00,0.0000
3980.00,-0.0000
3979.00,-0.0000
3978.00,-0.0001
3977.00,-0.0001
3976.00,-0.0001
3975.00,-0.0000
3974.00,-0.0000
3973.00,-0.0000
3972.00,0.0000
3971.00,0.0000
3970.00,0.0000
3969.00,-0.0000
3968.00,-0.0000
3967.00,-0.0000
3966.00,-0.0000
3965.00,-0.0000
3964.00,-0.0000
3963.00,-0.0000
3962.00,-0.0000
3961.00,-0.0000
3960.00,-0.0000
3959.00,-0.0000
3958.00,-0.0000
3957.00,-0.0000
3956.00,-0.0000
3955.00,-0.0000
3954.00,-0.0000
3953.00,0.0000
3952.00,0.0000
3951.00,0.0000
3950.00,0.0000
3949.00,0.0000
3948.00,0.0000
3947.00,0.0000
3946.00,-0.0000
3945.00,-0.0000
3944.00,-0.0000
3943.00,0.0000
3942.00,0.0000
3941.00,0.0000
3940.00,0.0000
3939.00,0.0000
3938.00,-0.0000
3937.00,-0.0000
3936.00,-0.0001
3935.00,-0.0001
3934.00,-0.0001
3933.00,-0.0001
3932.00,-0.0001
3931.00,-0.0001
3930.00,-0.0001
3929.00,-0.0000
3928.00,-0.0000
3927.00,-0.0000
3926.00,-0.0000
3925.00,-0.0000
3924.00,-0.0000
3923.00,-0.0000
3922.00,-0.0001
3921.00,-0.0001
3920.00,-0.0001
3919.00,-0.0001
3918.00,-0.0000
3917.00,-0.0000
3916.00,-0.0000
3915.00,0.0000
3914.00,0.0000
3913.00,0.0000
3912.00,0.0000
3911.00,0.0000
3910.00,0.0000
3909.00,0.0000
3908.00,-0.0000
3907.00,-0.0000
3906.00,-0.0001
3905.00,-0.0001
3904.00,-0.0001
3903.00,-0.0001
3902.00,-0.0002
3901.00,-0.0002
3900.00,-0.0002
3899.00,-0.0002
3898.00,-0.0001
3897.00,-0.0001
3896.00,-0.0001
3895.00,-0.0001
3894.00,-0.0001
3893.00,-0.0001
3892.00,-0.0001
3891.00,-0.0001
3890.00,-0.0000
3889.00,-0.0001
3888.00,-0.0001
3887.00,-0.0001
3886.00,-0.0000
3885.00,-0.0000
3884.00,-0.0001
3883.00,-0.0002
3882.00,-0.0002
3881.00,-0.0002
3880.00,-0.0002
3879.00,-0.0001
3878.00,-0.0001
3877.00,-0.0001
3876.00,-0.0001
3875.00,-0.0001
3874.00,-0.0000
3873.00,-0.0000
3872.00,-0.0001
3871.00,-0.0001
3870.00,-0.0001
3869.00,-0.0001
3868.00,-0.0001
3867.00,-0.0002
3866.00,-0.0002
3865.00,-0.0002
3864.00,-0.0001
3863.00,-0.0001
3862.00,-0.0001
3861.00,-0.0001
3860.00,-0.0001
3859.00,-0.0000
3858.00,-0.0001
3857.00,-0.0001
3856.00,-0.0002
3855.00,-0.0002
3854.00,-0.0002
3853.00,-0.0002
3852.00,-0.0002
3851.00,-0.0002
3850.00,-0.0002
3849.00,-0.0001
3848.00,-0.0001
3847.00,-0.0000
3846.00,-0.0000
3845.00,-0.0000
3844.00,-0.0000
3843.00,-0.0000
3842.00,-0.0001
3841.00,-0.0001
3840.00,-0.0001
3839.00,-0.0001
3838.00,-0.0001
3837.00,-0.0001
3836.00,-0.0001
3835.00,-0.0001
3834.00,-0.0001
3833.00,-0.0001
3832.00,-0.0001
3831.00,-0.0001
3830.00,-0.0001
3829.00,-0.0001
3828.00,-0.0001
3827.00,-0.0000
3826.00,-0.0000
3825.00,-0.0000
3824.00,-0.0000
3823.00,-0.0001
3822.00,-0.0001
3821.00,-0.0000
3820.00,-0.0000
3819.00,-0.0001
3818.00,-0.0001
3817.00,-0.0001
3816.00,-0.0001
3815.00,-0.0001
3814.00,-0.0001
3813.00,-0.0001
3812.00,-0.0000
3811.00,-0.0000
3810.00,-0.0000
3809.00,0.0000
3808.00,0.0000
3807.00,0.0001
3806.00,0.0001
3805.00,0.0001
3804.00,0.0001
3803.00,0.0000
3802.00,0.0000
3801.00,0.0001
3800.00,0.0000
3799.00,-0.0000
3798.00,-0.0001
3797.00,-0.0000
3796.00,0.0000
3795.00,0.0000
3794.00,0.0001
3793.00,0.0001
3792.00,0.0001
3791.00,0.0001
3790.00,0.0001
3789.00,0.0001
3788.00,0.0001
3787.00,0.0000
3786.00,0.0000
3785.00,0.0001
3784.00,0.0001
3783.00,0.0001
3782.00,0.0000
3781.00,0.0000
3780.00,0.0000
3779.00,0.0000
3778.00,0.0000
3777.00,0.0000
3776.00,0.0000
3775.00,0.0000
3774.00,0.0001
3773.00,0.0001
3772.00,0.0001
3771.00,0.0001
3770.00,0.0001
3769.00,0.0000
3768.00,-0.0000
3767.00,-0.0000
3766.00,0.0000
3765.00,0.0001
3764.00,0.0001
3763.00,0.0001
3762.00,0.0001
3761.00,0.0001
3760.00,0.0000
3759.00,0.0000
3758.00,0.0000
3757.00,-0.0000
3756.00,-0.0000
3755.00,-0.0000
3754.00,-0.0000
3753.00,-0.0000
3752.00,-0.0001
3751.00,-0.0001
3750.00,-0.0002
3749.00,-0.0002
3748.00,-0.0002
3747.00,-0.0002
3746.00,-0.0003
3745.00,-0.0002
3744.00,-0.0002
3743.00,-0.0002
3742.00,-0.0002
3741.00,-0.0002
3740.00,-0.0002
3739.00,-0.0002
3738.00,-0.0002
3737.00,-0.0002
3736.00,-0.0002
3735.00,-0.0002
3734.00,-0.0002
3733.00,-0.0002
3732.00,-0.0001
3731.00,-0.0001
3730.00,-0.0001
3729.00,-0.0001
3728.00,-0.0001
3727.00,-0.0001
3726.00,-0.0001
3725.00,-0.0001
3724.00,-0.0001
3723.00,-0.0001
3722.00,-0.0001
3721.00,-0.0001
3720.00,-0.0001
3719.00,-0.0000
3718.00,-0.0000
3717.00,-0.0000
3716.00,-0.0000
3715.00,-0.0001
3714.00,-0.0001
3713.00,-0.0001
3712.00,-0.0001
3711.00,-0.0001
3710.00,-0.0002
3709.00,-0.0002
3708.00,-0.0001
3707.00,-0.0001
3706.00,-0.0001
3705.00,-0.0001
3704.00,-0.0000
3703.00,-0.0000
3702.00,-0.0000
3701.00,-0.0000
3700.00,-0.0000
3699.00,-0.0000
3698.00,-0.0000
3697.00,-0.0000
3696.00,-0.0000
3695.00,-0.0001
3694.00,-0.0001
3693.00,-0.0001
3692.00,-0.0001
3691.00,-0.0001
3690.00,-0.0001
3689.00,-0.0001
3688.00,-0.0001
3687.00,-0.0002
3686.00,-0.0002
3685.00,-0.0001
3684.00,-0.0001
3683.00,-0.0001
3682.00,-0.0001
3681.00,-0.0001
3680.00,-0.0001
3679.00,-0.0001
3678.00,-0.0002
3677.00,-0.0002
3676.00,-0.0002
3675.00,-0.0001
3674.00,-0.0002
3673.00,-0.0002
3672.00,-0.0003
3671.00,-0.0003
3670.00,-0.0003
3669.00,-0.0003
3668.00,-0.0002
3667.00,-0.0002
3666.00,-0.0002
3665.00,-0.0001
3664.00,-0.0001
3663.00,-0.0001
3662.00,-0.0001
3661.00,-0.0001
3660.00,-0.0001
3659.00,-0.0001
3658.00,-0.0001
3657.00,-0.0002
3656.00,-0.0002
3655.00,-0.0002
3654.00,-0.0002
3653.00,-0.0002
3652.00,-0.0002
3651.00,-0.0002
3650.00,-0.0002
3649.00,-0.0002
3648.00,-0.0002
3647.00,-0.0003
3646.00,-0.0002
3645.00,-0.0002
3644.00,-0.0002
3643.00,-0.0001
3642.00,-0.0001
3641.00,-0.0000
3640.00,-0.0000
3639.00,-0.0000
3638.00,-0.0001
3637.00,-0.0001
3636.00,-0.0001
3635.00,-0.0001
3634.00,-0.0001
3633.00,-0.0001
3632.00,-0.0002
3631.00,-0.0003
3630.00,-0.0003
3629.00,-0.0004
3628.00,-0.0003
3627.00,-0.0003
3626.00,-0.0003
3625.00,-0.0002
3624.00,-0.0002
3623.00,-0.0001
3622.00,-0.0001
3621.00,-0.0001
3620.00,-0.0001
3619.00,-0.0001
3618.00,-0.0001
3617.00,-0.0001
3616.00,-0.0001
3615.00,-0.0001
3614.00,-0.0001
3613.00,-0.0001
3612.00,-0.0001
3611.00,-0.0002
3610.00,-0.0002
3609.00,-0.0002
3608.00,-0.0002
3607.00,-0.0002
3606.00,-0.0002
3605.00,-0.0002
3604.00,-0.0001
3603.00,-0.0001
3602.00,-0.0001
3601.00,-0.0001
3600.00,-0.0001
3599.00,-0.0001
3598.00,-0.0001
3597.00,-0.0001
3596.00,-0.0001
3595.00,-0.0001
3594.00,-0.0001
3593.00,-0.0001
3592.00,-0.0001
3591.00,-0.0001
3590.00,-0.0001
3589.00,-0.0002
3588.00,-0.0002
3587.00,-0.0002
3586.00,-0.0002
3585.00,-0.0002
3584.00,-0.0001
3583.00,-0.0001
3582.00,-0.0001
3581.00,-0.0001
3580.00,-0.0001
3579.00,-0.0000
3578.00,0.0000
3577.00,0.0000
3576.00,0.0000
3575.00,-0.0000
3574.00,-0.0000
3573.00,-0.0000
3572.00,-0.0000
3571.00,-0.0001
3570.00,-0.0001
3569.00,-0.0001
3568.00,-0.0002
3567.00,-0.0002
3566.00,-0.0002
3565.00,-0.0002
3564.00,-0.0002
3563.00,-0.0001
3562.00,-0.0001
3561.00,-0.0000
3560.00,0.0000
3559.00,0.0001
3558.00,0.0001
3557.00,0.0000
3556.00,0.0000
3555.00,0.0000
3554.00,-0.0000
3553.00,0.0000
3552.00,0.0000
3551.00,0.0001
3550.00,0.0001
3549.00,0.0000
3548.00,-0.0000
3547.00,-0.0000
3546.00,-0.0000
3545.00,-0.0000
3544.00,-0.0000
3543.00,-0.0000
3542.00,0.0000
3541.00,0.0001
3540.00,0.0001
3539.00,0.0001
3538.00,0.0001
3537.00,0.0001
3536.00,0.0001
3535.00,0.0001
3534.00,0.0001
3533.00,0.0001
3532.00,0.0001
3531.00,0.0001
3530.00,0.0001
3529.00,0.0001
3528.00,0.0001
3527.00,0.0001
3526.00,0.0001
3525.00,0.0001
3524.00,0.0001
3523.00,0.0001
3522.00,0.0001
3521.00,0.0001
3520.00,0.0001
3519.00,0.0001
3518.00,0.0002
3517.00,0.0002
3516.00,0.0002
3515.00,0.0002
3514.00,0.0002
3513.00,0.0002
3512.00,0.0002
3511.00,0.0002
3510.00,0.0001
3509.00,0.0001
3508.00,0.0001
3507.00,0.0001
3506.00,0.0001
3505.00,0.0002
3504.00,0.0002
3503.00,0.0002
3502.00,0.0002
3501.00,0.0002
3500.00,0.0002
3499.00,0.0002
3498.00,0.0003
3497.00,0.0003
3496.00,0.0003
3495.00,0.0003
3494.00,0.0002
3493.00,0.0002
3492.00,0.0002
3491.00,0.0002
3490.00,0.0002
3489.00,0.0002
3488.00,0.0002
3487.00,0.0002
3486.00,0.0002
3485.00,0.0001
3484.00,0.0002
3483.00,0.0002
3482.00,0.0002
3481.00,0.0002
3480.00,0.0002
3479.00,0.0002
3478.00,0.0002
3477.00,0.0003
3476.00,0.0003
3475.00,0.0002
3474.00,0.0002
3473.00,0.0002
3472.00,0.0002
3471.00,0.0002
3470.00,0.0003
3469.00,0.0003
3468.00,0.0003
3467.00,0.0003
3466.00,0.0003
3465.00,0.0003
3464.00,0.0003
3463.00,0.0003
3462.00,0.0003
3461.00,0.0003
3460.00,0.0003
3459.00,0.0003
3458.00,0.0003
3457.00,0.0003
3456.00,0.0002
3455.00,0.0002
3454.00,0.0002
3453.00,0.0002
3452.00,0.0002
3451.00,0.0002
3450.00,0.0002
3449.00,0.0002
3448.00,0.0002
3447.00,0.0002
3446.00,0.0002
3445.00,0.0002
3444.00,0.0002
3443.00,0.0002
3442.00,0.0003
3441.00,0.0003
3440.00,0.0003
3439.00,0.0002
3438.00,0.0002
3437.00,0.0002
3436.00,0.0002
3435.00,0.0002
3434.00,0.0003
3433.00,0.0003
3432.00,0.0003
3431.00,0.0002
3430.00,0.0002
3429.00,0.0002
3428.00,0.0002
3427.00,0.0002
3426.00,0.0002
3425.00,0.0002
3424.00,0.0002
3423.00,0.0002
3422.00,0.0002
3421.00,0.0002
3420.00,0.0002
3419.00,0.0002
3418.00,0.0002
3417.00,0.0002
3416.00,0.0002
3415.00,0.0002
3414.00,0.0002
3413.00,0.0002
3412.00,0.0002
3411.00,0.0002
3410.00,0.0002
3409.00,0.0002
3408.00,0.0002
3407.00,0.0002
3406.00,0.0002
3405.00,0.0002
3404.00,0.0002
3403.00,0.0002
3402.00,0.0002
3401.00,0.0002
3400.00,0.0002
3399.00,0.0002
3398.00,0.0002
3397.00,0.0002
3396.00,0.0002
3395.00,0.0002
3394.00,0.0002
3393.00,0.0002
3392.00,0.0002
3391.00,0.0002
3390.00,0.0002
3389.00,0.0002
