Created as New Dataset,Sample 060 By YargerLab Date Wednesday, August 13 2025
cm-1,A
4000.00,0.0066
3999.00,0.0066
3998.00,0.0066
3997.00,0.0066
3996.00,0.0066
3995.00,0.0066
3994.00,0.0066
3993.00,0.0066
3992.00,0.0067
3991.00,0.0067
3990.00,0.0067
3989.00,0.0066
3988.00,0.0066
3987.00,0.0066
3986.00,0.0066
3985.00,0.0066
3984.00,0.0066
3983.00,0.0066
3982.00,0.0066
3981.00,0.0066
3980.00,0.0066
3979.00,0.0066
3978.00,0.0066
3977.00,0.0066
3976.00,0.0066
3975.00,0.0066
3974.00,0.0066
3973.00,0.0066
3972.00,0.0066
3971.00,0.0066
3970.00,0.0066
3969.00,0.0066
3968.00,0.0066
3967.00,0.0066
3966.00,0.0067
3965.00,0.0067
3964.00,0.0067
3963.00,0.0067
3962.00,0.0067
3961.00,0.0066
3960.00,0.0066
3959.00,0.0066
3958.00,0.0066
3957.00,0.0066
3956.00,0.0066
3955.00,0.0066
3954.00,0.0066
3953.00,0.0066
3952.00,0.0066
3951.00,0.0066
3950.00,0.0066
3949.00,0.0066
3948.00,0.0066
3947.00,0.0066
3946.00,0.0066
3945.00,0.0066
3944.00,0.0066
3943.00,0.0066
3942.00,0.0066
3941.00,0.0066
3940.00,0.0066
3939.00,0.0066
3938.00,0.0066
3937.00,0.0066
3936.00,0.0066
3935.00,0.0066
3934.00,0.0066
3933.00,0.0066
3932.00,0.0066
3931.00,0.0066
3930.00,0.0066
3929.00,0.0066
3928.00,0.0066
3927.00,0.0066
3926.00,0.0066
3925.00,0.0067
3924.00,0.0067
3923.00,0.0067
3922.00,0.0067
3921.00,0.0066
3920.00,0.0066
3919.00,0.0066
3918.00,0.0066
3917.00,0.0066
3916.00,0.0065
3915.00,0.0066
3914.00,0.0066
3913.00,0.0066
3912.00,0.0066
3911.00,0.0066
3910.00,0.0066
3909.00,0.0066
3908.00,0.0066
3907.00,0.0066
3906.00,0.0065
3905.00,0.0065
3904.00,0.0065
3903.00,0.0065
3902.00,0.0065
3901.00,0.0065
3900.00,0.0065
3899.00,0.0065
3898.00,0.0066
3897.00,0.0066
3896.00,0.0066
3895.00,0.0065
3894.00,0.0065
3893.00,0.0065
3892.00,0.0065
3891.00,0.0065
3890.00,0.0065
3889.00,0.0065
3888.00,0.0065
3887.00,0.0065
3886.00,0.0065
3885.00,0.0065
3884.00,0.0065
3883.00,0.0065
3882.00,0.0065
3881.00,0.0065
3880.00,0.0065
3879.00,0.0066
3878.00,0.0066
3877.00,0.0066
3876.00,0.0066
3875.00,0.0066
3874.00,0.0066
3873.00,0.0066
3872.00,0.0065
3871.00,0.0065
3870.00,0.0065
3869.00,0.0065
3868.00,0.0065
3867.00,0.0065
3866.00,0.0065
3865.00,0.0065
3864.00,0.0065
3863.00,0.0065
3862.00,0.0065
3861.00,0.0065
3860.00,0.0066
3859.00,0.0066
3858.00,0.0066
3857.00,0.0065
3856.00,0.0065
3855.00,0.0065
3854.00,0.0065
3853.00,0.0065
3852.00,0.0065
3851.00,0.0065
3850.00,0.0065
3849.00,0.0065
3848.00,0.0065
3847.00,0.0066
3846.00,0.0066
3845.00,0.0066
3844.00,0.0066
3843.00,0.0066
3842.00,0.0066
3841.00,0.0066
3840.00,0.0066
3839.00,0.0066
3838.00,0.0066
3837.00,0.0065
3836.00,0.0065
3835.00,0.0065
3834.00,0.0065
3833.00,0.0065
3832.00,0.0065
3831.00,0.0065
3830.00,0.0066
3829.00,0.0066
3828.00,0.0066
3827.00,0.0066
3826.00,0.0066
3825.00,0.0066
3824.00,0.0066
3823.00,0.0065
3822.00,0.0065
3821.00,0.0065
3820.00,0.0065
3819.00,0.0065
3818.00,0.0065
3817.00,0.0065
3816.00,0.0065
3815.00,0.0065
3814.00,0.0065
3813.00,0.0065
3812.00,0.0066
3811.00,0.0066
3810.00,0.0066
3809.00,0.0066
3808.00,0.0066
3807.00,0.0065
3806.00,0.0065
3805.00,0.0065
3804.00,0.0065
3803.00,0.0065
3802.00,0.0065
3801.00,0.0066
3800.00,0.0065
3799.00,0.0065
3798.00,0.0065
3797.00,0.0066
3796.00,0.0066
3795.00,0.0066
3794.00,0.0066
3793.00,0.0066
3792.00,0.0066
3791.00,0.0066
3790.00,0.0066
3789.00,0.0066
3788.00,0.0066
3787.00,0.0066
3786.00,0.0066
3785.00,0.0066
3784.00,0.0066
3783.00,0.0066
3782.00,0.0066
3781.00,0.0066
3780.00,0.0066
3779.00,0.0066
3778.00,0.0066
3777.00,0.0066
3776.00,0.0066
3775.00,0.0066
3774.00,0.0066
3773.00,0.0066
3772.00,0.0066
3771.00,0.0066
3770.00,0.0066
3769.00,0.0066
3768.00,0.0066
3767.00,0.0066
3766.00,0.0066
3765.00,0.0066
3764.00,0.0066
3763.00,0.0066
3762.00,0.0066
3761.00,0.0066
3760.00,0.0066
3759.00,0.0067
3758.00,0.0067
3757.00,0.0067
3756.00,0.0066
3755.00,0.0066
3754.00,0.0066
3753.00,0.0066
3752.00,0.0066
3751.00,0.0065
3750.00,0.0065
3749.00,0.0065
3748.00,0.0065
3747.00,0.0065
3746.00,0.0065
3745.00,0.0065
3744.00,0.0065
3743.00,0.0065
3742.00,0.0065
3741.00,0.0065
3740.00,0.0065
3739.00,0.0065
3738.00,0.0065
3737.00,0.0065
3736.00,0.0065
3735.00,0.0065
3734.00,0.0064
3733.00,0.0064
3732.00,0.0064
3731.00,0.0064
3730.00,0.0064
3729.00,0.0065
3728.00,0.0065
3727.00,0.0065
3726.00,0.0065
3725.00,0.0065
3724.00,0.0065
3723.00,0.0065
3722.00,0.0065
3721.00,0.0065
3720.00,0.0065
3719.00,0.0065
3718.00,0.0065
3717.00,0.0065
3716.00,0.0065
3715.00,0.0065
3714.00,0.0065
3713.00,0.0065
3712.00,0.0065
3711.00,0.0065
3710.00,0.0065
3709.00,0.0065
3708.00,0.0064
3707.00,0.0064
3706.00,0.0064
3705.00,0.0064
3704.00,0.0064
3703.00,0.0064
3702.00,0.0064
3701.00,0.0064
3700.00,0.0064
3699.00,0.0064
3698.00,0.0064
3697.00,0.0064
3696.00,0.0064
3695.00,0.0064
3694.00,0.0064
3693.00,0.0064
3692.00,0.0064
3691.00,0.0064
3690.00,0.0064
3689.00,0.0064
3688.00,0.0065
3687.00,0.0065
3686.00,0.0066
3685.00,0.0066
3684.00,0.0067
3683.00,0.0067
3682.00,0.0067
3681.00,0.0067
3680.00,0.0067
3679.00,0.0067
3678.00,0.0066
3677.00,0.0066
3676.00,0.0066
3675.00,0.0067
3674.00,0.0067
3673.00,0.0067
3672.00,0.0067
3671.00,0.0067
3670.00,0.0068
3669.00,0.0068
3668.00,0.0068
3667.00,0.0068
3666.00,0.0068
3665.00,0.0068
3664.00,0.0068
3663.00,0.0068
3662.00,0.0069
3661.00,0.0069
3660.00,0.0069
3659.00,0.0069
3658.00,0.0069
3657.00,0.0069
3656.00,0.0069
3655.00,0.0069
3654.00,0.0069
3653.00,0.0069
3652.00,0.0069
3651.00,0.0070
3650.00,0.0070
3649.00,0.0070
3648.00,0.0070
3647.00,0.0070
3646.00,0.0071
3645.00,0.0071
3644.00,0.0072
3643.00,0.0072
3642.00,0.0073
3641.00,0.0073
3640.00,0.0073
3639.00,0.0073
3638.00,0.0073
3637.00,0.0073
3636.00,0.0073
3635.00,0.0073
3634.00,0.0073
3633.00,0.0073
3632.00,0.0073
3631.00,0.0073
3630.00,0.0074
3629.00,0.0074
3628.00,0.0074
3627.00,0.0074
3626.00,0.0074
3625.00,0.0075
3624.00,0.0075
3623.00,0.0075
3622.00,0.0075
3621.00,0.0075
3620.00,0.0075
3619.00,0.0076
3618.00,0.0076
3617.00,0.0076
3616.00,0.0076
3615.00,0.0076
3614.00,0.0077
3613.00,0.0077
3612.00,0.0077
3611.00,0.0077
3610.00,0.0078
3609.00,0.0078
3608.00,0.0078
3607.00,0.0078
3606.00,0.0078
3605.00,0.0078
3604.00,0.0079
3603.00,0.0079
3602.00,0.0080
3601.00,0.0080
3600.00,0.0080
3599.00,0.0081
3598.00,0.0081
3597.00,0.0081
3596.00,0.0081
3595.00,0.0082
3594.00,0.0082
3593.00,0.0082
3592.00,0.0082
3591.00,0.0081
3590.00,0.0081
3589.00,0.0082
3588.00,0.0082
3587.00,0.0082
3586.00,0.0083
3585.00,0.0083
3584.00,0.0084
3583.00,0.0084
3582.00,0.0084
3581.00,0.0084
3580.00,0.0085
3579.00,0.0085
3578.00,0.0085
3577.00,0.0085
3576.00,0.0085
3575.00,0.0086
3574.00,0.0086
3573.00,0.0087
3572.00,0.0087
3571.00,0.0087
3570.00,0.0088
3569.00,0.0088
3568.00,0.0088
3567.00,0.0089
3566.00,0.0089
3565.00,0.0089
3564.00,0.0090
3563.00,0.0090
3562.00,0.0090
3561.00,0.0090
3560.00,0.0090
3559.00,0.0090
3558.00,0.0090
3557.00,0.0091
3556.00,0.0091
3555.00,0.0091
3554.00,0.0092
3553.00,0.0092
3552.00,0.0093
3551.00,0.0093
3550.00,0.0093
3549.00,0.0093
3548.00,0.0094
3547.00,0.0094
3546.00,0.0095
3545.00,0.0095
3544.00,0.0095
3543.00,0.0095
3542.00,0.0095
3541.00,0.0096
3540.00,0.0096
3539.00,0.0096
3538.00,0.0097
3537.00,0.0097
3536.00,0.0098
3535.00,0.0098
3534.00,0.0098
3533.00,0.0098
3532.00,0.0098
3531.00,0.0098
3530.00,0.0099
3529.00,0.0099
3528.00,0.0099
3527.00,0.0100
3526.00,0.0100
3525.00,0.0101
3524.00,0.0101
3523.00,0.0101
3522.00,0.0101
3521.00,0.0101
3520.00,0.0102
3519.00,0.0102
3518.00,0.0102
3517.00,0.0103
3516.00,0.0103
3515.00,0.0103
3514.00,0.0103
3513.00,0.0104
3512.00,0.0104
3511.00,0.0104
3510.00,0.0104
3509.00,0.0104
3508.00,0.0105
3507.00,0.0105
3506.00,0.0105
3505.00,0.0105
3504.00,0.0105
3503.00,0.0106
3502.00,0.0106
3501.00,0.0106
3500.00,0.0106
3499.00,0.0106
3498.00,0.0107
3497.00,0.0107
3496.00,0.0107
3495.00,0.0107
3494.00,0.0108
3493.00,0.0108
3492.00,0.0108
3491.00,0.0108
3490.00,0.0108
3489.00,0.0109
3488.00,0.0109
3487.00,0.0109
3486.00,0.0109
3485.00,0.0109
3484.00,0.0109
3483.00,0.0110
3482.00,0.0110
3481.00,0.0110
3480.00,0.0111
3479.00,0.0111
3478.00,0.0111
3477.00,0.0111
3476.00,0.0111
3475.00,0.0111
3474.00,0.0112
3473.00,0.0112
3472.00,0.0112
3471.00,0.0112
3470.00,0.0112
3469.00,0.0113
3468.00,0.0113
3467.00,0.0113
3466.00,0.0113
3465.00,0.0114
3464.00,0.0114
3463.00,0.0114
3462.00,0.0114
3461.00,0.0114
3460.00,0.0114
3459.00,0.0114
3458.00,0.0114
3457.00,0.0115
3456.00,0.0115
3455.00,0.0115
3454.00,0.0115
3453.00,0.0115
3452.00,0.0115
3451.00,0.0116
3450.00,0.0116
3449.00,0.0117
3448.00,0.0117
3447.00,0.0117
3446.00,0.0118
3445.00,0.0118
3444.00,0.0118
3443.00,0.0118
3442.00,0.0118
3441.00,0.0119
3440.00,0.0119
3439.00,0.0119
3438.00,0.0119
3437.00,0.0120
3436.00,0.0120
3435.00,0.0120
3434.00,0.0121
3433.00,0.0121
3432.00,0.0121
3431.00,0.0121
3430.00,0.0122
3429.00,0.0122
3428.00,0.0122
3427.00,0.0122
3426.00,0.0122
3425.00,0.0123
3424.00,0.0123
3423.00,0.0123
3422.00,0.0123
3421.00,0.0124
3420.00,0.0124
3419.00,0.0124
3418.00,0.0125
3417.00,0.0125
3416.00,0.0126
3415.00,0.0126
3414.00,0.0126
3413.00,0.0127
3412.00,0.0127
3411.00,0.0128
3410.00,0.0128
3409.00,0.0128
3408.00,0.0129
3407.00,0.0129
3406.00,0.0129
3405.00,0.0129
3404.00,0.0129
3403.00,0.0130
3402.00,0.0130
3401.00,0.0130
3400.00,0.0131
3399.00,0.0132
3398.00,0.0132
3397.00,0.0133
3396.00,0.0133
3395.00,0.0133
3394.00,0.0134
3393.00,0.0134
3392.00,0.0134
3391.00,0.0135
3390.00,0.0135
3389.00,0.0136
3388.00,0.0137
3387.00,0.0138
3386.00,0.0139
3385.00,0.0139
3384.00,0.0139
3383.00,0.0140
3382.00,0.0140
3381.00,0.0140
3380.00,0.0140
3379.00,0.0141
3378.00,0.0141
3377.00,0.0142
3376.00,0.0143
3375.00,0.0143
3374.00,0.0144
3373.00,0.0144
3372.00,0.0144
3371.00,0.0143
3370.00,0.0143
3369.00,0.0144
3368.00,0.0145
3367.00,0.0146
3366.00,0.0147
3365.00,0.0148
3364.00,0.0148
3363.00,0.0149
3362.00,0.0149
3361.00,0.0150
3360.00,0.0151
3359.00,0.0152
3358.00,0.0153
3357.00,0.0153
3356.00,0.0154
3355.00,0.0154
3354.00,0.0154
3353.00,0.0153
3352.00,0.0153
3351.00,0.0154
3350.00,0.0155
3349.00,0.0156
3348.00,0.0157
3347.00,0.0158
3346.00,0.0159
3345.00,0.0159
3344.00,0.0159
3343.00,0.0159
3342.00,0.0160
3341.00,0.0160
3340.00,0.0160
3339.00,0.0160
3338.00,0.0161
3337.00,0.0162
3336.00,0.0163
3335.00,0.0164
3334.00,0.0165
3333.00,0.0166
3332.00,0.0166
3331.00,0.0167
3330.00,0.0167
3329.00,0.0168
3328.00,0.0168
3327.00,0.0168
3326.00,0.0168
3325.00,0.0169
3324.00,0.0170
3323.00,0.0171
3322.00,0.0172
3321.00,0.0173
3320.00,0.0174
3319.00,0.0175
3318.00,0.0175
3317.00,0.0176
3316.00,0.0176
3315.00,0.0177
3314.00,0.0177
3313.00,0.0177
3312.00,0.0177
3311.00,0.0177
3310.00,0.0176
3309.00,0.0176
3308.00,0.0176
3307.00,0.0176
3306.00,0.0177
3305.00,0.0178
3304.00,0.0179
3303.00,0.0181
3302.00,0.0182
3301.00,0.0183
3300.00,0.0184
3299.00,0.0184
3298.00,0.0184
3297.00,0.0183
3296.00,0.0183
3295.00,0.0184
3294.00,0.0185
3293.00,0.0186
3292.00,0.0187
3291.00,0.0188
3290.00,0.0189
3289.00,0.0190
3288.00,0.0191
3287.00,0.0191
3286.00,0.0191
3285.00,0.0192
3284.00,0.0192
3283.00,0.0193
3282.00,0.0193
3281.00,0.0194
3280.00,0.0194
3279.00,0.0194
3278.00,0.0194
3277.00,0.0194
3276.00,0.0194
3275.00,0.0194
3274.00,0.0194
3273.00,0.0194
3272.00,0.0195
3271.00,0.0195
3270.00,0.0195
3269.00,0.0196
3268.00,0.0197
3267.00,0.0198
3266.00,0.0198
3265.00,0.0199
3264.00,0.0199
3263.00,0.0199
3262.00,0.0199
3261.00,0.0200
3260.00,0.0200
3259.00,0.0200
3258.00,0.0200
3257.00,0.0200
3256.00,0.0201
3255.00,0.0201
3254.00,0.0202
3253.00,0.0202
3252.00,0.0203
3251.00,0.0203
3250.00,0.0203
3249.00,0.0203
3248.00,0.0203
3247.00,0.0203
3246.00,0.0204
3245.00,0.0204
3244.00,0.0205
3243.00,0.0206
3242.00,0.0206
3241.00,0.0207
3240.00,0.0207
3239.00,0.0207
3238.00,0.0208
3237.00,0.0207
3236.00,0.0207
3235.00,0.0207
3234.00,0.0207
3233.00,0.0207
3232.00,0.0207
3231.00,0.0208
3230.00,0.0208
3229.00,0.0209
3228.00,0.0209
3227.00,0.0209
3226.00,0.0209
3225.00,0.0209
3224.00,0.0210
3223.00,0.0210
3222.00,0.0210
3221.00,0.0210
3220.00,0.0211
3219.00,0.0211
3218.00,0.0211
3217.00,0.0210
3216.00,0.0210
3215.00,0.0210
3214.00,0.0210
3213.00,0.0211
3212.00,0.0211
3211.00,0.0211
3210.00,0.0211
3209.00,0.0211
3208.00,0.0211
3207.00,0.0211
3206.00,0.0211
3205.00,0.0211
3204.00,0.0211
3203.00,0.0211
3202.00,0.0211
3201.00,0.0211
3200.00,0.0211
3199.00,0.0211
3198.00,0.0211
3197.00,0.0211
3196.00,0.0212
3195.00,0.0212
3194.00,0.0212
3193.00,0.0212
3192.00,0.0212
3191.00,0.0212
3190.00,0.0212
3189.00,0.0212
3188.00,0.0212
3187.00,0.0212
3186.00,0.0213
3185.00,0.0213
3184.00,0.0213
3183.00,0.0213
3182.00,0.0213
3181.00,0.0213
3180.00,0.0212
3179.00,0.0212
3178.00,0.0213
3177.00,0.0213
3176.00,0.0213
3175.00,0.0213
3174.00,0.0213
3173.00,0.0213
3172.00,0.0213
3171.00,0.0213
3170.00,0.0213
3169.00,0.0213
3168.00,0.0213
3167.00,0.0212
3166.00,0.0212
3165.00,0.0212
3164.00,0.0212
3163.00,0.0212
3162.00,0.0211
3161.00,0.0211
3160.00,0.0211
3159.00,0.0210
3158.00,0.0210
3157.00,0.0210
3156.00,0.0209
3155.00,0.0209
3154.00,0.0208
3153.00,0.0208
3152.00,0.0208
3151.00,0.0208
3150.00,0.0208
3149.00,0.0208
3148.00,0.0208
3147.00,0.0208
3146.00,0.0207
3145.00,0.0207
3144.00,0.0207
3143.00,0.0207
3142.00,0.0207
3141.00,0.0206
3140.00,0.0206
3139.00,0.0206
3138.00,0.0206
3137.00,0.0206
3136.00,0.0205
3135.00,0.0205
3134.00,0.0205
3133.00,0.0205
3132.00,0.0205
3131.00,0.0204
3130.00,0.0204
3129.00,0.0204
3128.00,0.0204
3127.00,0.0204
3126.00,0.0204
3125.00,0.0204
3124.00,0.0204
3123.00,0.0204
3122.00,0.0203
3121.00,0.0203
3120.00,0.0203
3119.00,0.0202
3118.00,0.0202
3117.00,0.0202
3116.00,0.0201
3115.00,0.0201
3114.00,0.0201
3113.00,0.0200
3112.00,0.0200
3111.00,0.0200
3110.00,0.0199
3109.00,0.0199
3108.00,0.0198
3107.00,0.0197
3106.00,0.0197
3105.00,0.0196
3104.00,0.0196
3103.00,0.0196
3102.00,0.0196
3101.00,0.0196
3100.00,0.0196
3099.00,0.0195
3098.00,0.0195
3097.00,0.0195
3096.00,0.0195
3095.00,0.0195
3094.00,0.0195
3093.00,0.0195
3092.00,0.0195
3091.00,0.0195
3090.00,0.0195
3089.00,0.0196
3088.00,0.0196
3087.00,0.0196
3086.00,0.0196
3085.00,0.0196
3084.00,0.0196
3083.00,0.0196
3082.00,0.0196
3081.00,0.0196
3080.00,0.0196
3079.00,0.0196
3078.00,0.0196
3077.00,0.0196
3076.00,0.0196
3075.00,0.0196
3074.00,0.0195
3073.00,0.0195
3072.00,0.0194
3071.00,0.0194
3070.00,0.0193
3069.00,0.0192
3068.00,0.0191
3067.00,0.0191
3066.00,0.0190
