Created as New Dataset,Sample 470 By YargerLab Date Saturday, March 01 2025
cm-1,A
4000.00,-0.0097
3999.00,-0.0097
3998.00,-0.0097
3997.00,-0.0097
3996.00,-0.0097
3995.00,-0.0097
3994.00,-0.0097
3993.00,-0.0097
3992.00,-0.0097
3991.00,-0.0097
3990.00,-0.0097
3989.00,-0.0098
3988.00,-0.0098
3987.00,-0.0098
3986.00,-0.0098
3985.00,-0.0098
3984.00,-0.0098
3983.00,-0.0098
3982.00,-0.0097
3981.00,-0.0097
3980.00,-0.0097
3979.00,-0.0097
3978.00,-0.0097
3977.00,-0.0097
3976.00,-0.0097
3975.00,-0.0098
3974.00,-0.0098
3973.00,-0.0098
3972.00,-0.0098
3971.00,-0.0098
3970.00,-0.0098
3969.00,-0.0098
3968.00,-0.0098
3967.00,-0.0098
3966.00,-0.0098
3965.00,-0.0098
3964.00,-0.0098
3963.00,-0.0099
3962.00,-0.0099
3961.00,-0.0099
3960.00,-0.0099
3959.00,-0.0099
3958.00,-0.0098
3957.00,-0.0098
3956.00,-0.0099
3955.00,-0.0099
3954.00,-0.0099
3953.00,-0.0099
3952.00,-0.0099
3951.00,-0.0099
3950.00,-0.0099
3949.00,-0.0099
3948.00,-0.0099
3947.00,-0.0099
3946.00,-0.0099
3945.00,-0.0098
3944.00,-0.0098
3943.00,-0.0099
3942.00,-0.0099
3941.00,-0.0099
3940.00,-0.0099
3939.00,-0.0099
3938.00,-0.0099
3937.00,-0.0100
3936.00,-0.0100
3935.00,-0.0100
3934.00,-0.0100
3933.00,-0.0100
3932.00,-0.0099
3931.00,-0.0099
3930.00,-0.0099
3929.00,-0.0099
3928.00,-0.0099
3927.00,-0.0100
3926.00,-0.0100
3925.00,-0.0100
3924.00,-0.0100
3923.00,-0.0100
3922.00,-0.0099
3921.00,-0.0100
3920.00,-0.0100
3919.00,-0.0100
3918.00,-0.0101
3917.00,-0.0101
3916.00,-0.0101
3915.00,-0.0100
3914.00,-0.0100
3913.00,-0.0100
3912.00,-0.0100
3911.00,-0.0100
3910.00,-0.0100
3909.00,-0.0101
3908.00,-0.0101
3907.00,-0.0101
3906.00,-0.0101
3905.00,-0.0101
3904.00,-0.0101
3903.00,-0.0102
3902.00,-0.0102
3901.00,-0.0102
3900.00,-0.0102
3899.00,-0.0102
3898.00,-0.0102
3897.00,-0.0102
3896.00,-0.0102
3895.00,-0.0102
3894.00,-0.0102
3893.00,-0.0102
3892.00,-0.0102
3891.00,-0.0102
3890.00,-0.0102
3889.00,-0.0102
3888.00,-0.0102
3887.00,-0.0102
3886.00,-0.0102
3885.00,-0.0102
3884.00,-0.0102
3883.00,-0.0102
3882.00,-0.0102
3881.00,-0.0102
3880.00,-0.0102
3879.00,-0.0101
3878.00,-0.0101
3877.00,-0.0101
3876.00,-0.0102
3875.00,-0.0102
3874.00,-0.0102
3873.00,-0.0103
3872.00,-0.0103
3871.00,-0.0102
3870.00,-0.0103
3869.00,-0.0103
3868.00,-0.0103
3867.00,-0.0103
3866.00,-0.0103
3865.00,-0.0103
3864.00,-0.0103
3863.00,-0.0103
3862.00,-0.0103
3861.00,-0.0103
3860.00,-0.0104
3859.00,-0.0104
3858.00,-0.0104
3857.00,-0.0103
3856.00,-0.0103
3855.00,-0.0103
3854.00,-0.0103
3853.00,-0.0103
3852.00,-0.0103
3851.00,-0.0103
3850.00,-0.0103
3849.00,-0.0103
3848.00,-0.0104
3847.00,-0.0104
3846.00,-0.0104
3845.00,-0.0104
3844.00,-0.0104
3843.00,-0.0105
3842.00,-0.0105
3841.00,-0.0105
3840.00,-0.0105
3839.00,-0.0105
3838.00,-0.0105
3837.00,-0.0104
3836.00,-0.0105
3835.00,-0.0105
