Created as New Dataset,Sample 176 By YargerLab Date Friday, October 03 2025
cm-1,A
4000.00,0.0035
3999.00,0.0035
3998.00,0.0035
3997.00,0.0035
3996.00,0.0035
3995.00,0.0035
3994.00,0.0035
3993.00,0.0035
3992.00,0.0035
3991.00,0.0035
3990.00,0.0035
3989.00,0.0035
3988.00,0.0035
3987.00,0.0035
3986.00,0.0035
3985.00,0.0035
3984.00,0.0035
3983.00,0.0035
3982.00,0.0035
3981.00,0.0035
3980.00,0.0035
3979.00,0.0035
3978.00,0.0035
3977.00,0.0035
3976.00,0.0035
3975.00,0.0035
3974.00,0.0034
3973.00,0.0034
3972.00,0.0034
3971.00,0.0035
3970.00,0.0035
3969.00,0.0035
3968.00,0.0035
3967.00,0.0035
3966.00,0.0035
3965.00,0.0035
3964.00,0.0035
3963.00,0.0035
3962.00,0.0035
3961.00,0.0035
3960.00,0.0035
3959.00,0.0035
3958.00,0.0035
3957.00,0.0035
3956.00,0.0034
3955.00,0.0034
3954.00,0.0035
3953.00,0.0035
3952.00,0.0035
3951.00,0.0034
3950.00,0.0034
3949.00,0.0034
3948.00,0.0034
3947.00,0.0034
3946.00,0.0035
3945.00,0.0035
3944.00,0.0035
3943.00,0.0035
3942.00,0.0035
3941.00,0.0035
3940.00,0.0035
3939.00,0.0035
3938.00,0.0035
3937.00,0.0035
3936.00,0.0034
3935.00,0.0034
3934.00,0.0034
3933.00,0.0034
3932.00,0.0034
3931.00,0.0034
3930.00,0.0034
3929.00,0.0035
3928.00,0.0035
3927.00,0.0035
3926.00,0.0035
3925.00,0.0035
3924.00,0.0035
3923.00,0.0035
3922.00,0.0035
3921.00,0.0035
3920.00,0.0035
3919.00,0.0035
3918.00,0.0035
3917.00,0.0035
3916.00,0.0035
3915.00,0.0035
3914.00,0.0035
3913.00,0.0035
3912.00,0.0035
3911.00,0.0035
3910.00,0.0035
3909.00,0.0035
3908.00,0.0035
3907.00,0.0036
3906.00,0.0036
3905.00,0.0036
3904.00,0.0036
3903.00,0.0037
3902.00,0.0037
3901.00,0.0036
3900.00,0.0036
3899.00,0.0036
3898.00,0.0036
3897.00,0.0036
3896.00,0.0036
3895.00,0.0035
3894.00,0.0035
3893.00,0.0035
3892.00,0.0034
3891.00,0.0035
3890.00,0.0036
3889.00,0.0036
3888.00,0.0036
3887.00,0.0036
3886.00,0.0035
3885.00,0.0035
3884.00,0.0035
3883.00,0.0035
3882.00,0.0034
3881.00,0.0034
3880.00,0.0035
3879.00,0.0035
3878.00,0.0036
3877.00,0.0036
3876.00,0.0035
3875.00,0.0035
3874.00,0.0035
3873.00,0.0035
3872.00,0.0036
3871.00,0.0036
3870.00,0.0036
3869.00,0.0036
3868.00,0.0037
3867.00,0.0036
3866.00,0.0035
3865.00,0.0034
3864.00,0.0034
3863.00,0.0034
3862.00,0.0035
3861.00,0.0035
3860.00,0.0035
3859.00,0.0035
3858.00,0.0036
3857.00,0.0038
3856.00,0.0039
3855.00,0.0040
3854.00,0.0039
3853.00,0.0038
3852.00,0.0038
3851.00,0.0037
3850.00,0.0036
3849.00,0.0034
3848.00,0.0034
3847.00,0.0034
3846.00,0.0034
3845.00,0.0034
3844.00,0.0034
3843.00,0.0035
3842.00,0.0035
3841.00,0.0036
3840.00,0.0036
3839.00,0.0036
3838.00,0.0036
3837.00,0.0036
3836.00,0.0036
3835.00,0.0036
3834.00,0.0036
3833.00,0.0035
3832.00,0.0035
3831.00,0.0035
3830.00,0.0035
3829.00,0.0035
3828.00,0.0035
3827.00,0.0034
3826.00,0.0034
3825.00,0.0035
3824.00,0.0035
3823.00,0.0035
3822.00,0.0035
3821.00,0.0035
3820.00,0.0035
3819.00,0.0036
3818.00,0.0036
3817.00,0.0036
3816.00,0.0035
3815.00,0.0035
3814.00,0.0035
3813.00,0.0035
3812.00,0.0035
3811.00,0.0034
3810.00,0.0034
3809.00,0.0035
3808.00,0.0034
3807.00,0.0034
3806.00,0.0035
3805.00,0.0035
3804.00,0.0035
3803.00,0.0035
3802.00,0.0035
3801.00,0.0035
3800.00,0.0035
3799.00,0.0035
3798.00,0.0035
3797.00,0.0034
3796.00,0.0034
3795.00,0.0034
3794.00,0.0034
3793.00,0.0034
3792.00,0.0034
3791.00,0.0033
3790.00,0.0033
3789.00,0.0033
3788.00,0.0033
3787.00,0.0033
3786.00,0.0033
3785.00,0.0034
3784.00,0.0034
3783.00,0.0035
3782.00,0.0035
3781.00,0.0035
3780.00,0.0034
3779.00,0.0034
3778.00,0.0035
3777.00,0.0035
3776.00,0.0035
3775.00,0.0035
3774.00,0.0035
3773.00,0.0035
3772.00,0.0035
3771.00,0.0034
3770.00,0.0034
3769.00,0.0035
3768.00,0.0035
3767.00,0.0035
3766.00,0.0034
3765.00,0.0034
3764.00,0.0034
3763.00,0.0034
3762.00,0.0034
3761.00,0.0034
3760.00,0.0034
3759.00,0.0034
3758.00,0.0034
3757.00,0.0035
3756.00,0.0035
3755.00,0.0035
3754.00,0.0036
3753.00,0.0036
3752.00,0.0036
3751.00,0.0036
3750.00,0.0036
3749.00,0.0036
3748.00,0.0037
3747.00,0.0037
3746.00,0.0037
3745.00,0.0037
3744.00,0.0037
3743.00,0.0037
3742.00,0.0036
3741.00,0.0035
