Created as New Dataset,Sample 578 By YargerLab Date Sunday, March 08 2026
cm-1,A
4000.00,0.0001
3999.00,0.0001
3998.00,0.0001
3997.00,0.0001
3996.00,0.0001
3995.00,0.0001
3994.00,0.0001
3993.00,0.0002
3992.00,0.0001
3991.00,0.0001
3990.00,0.0001
3989.00,0.0001
3988.00,0.0001
3987.00,0.0001
3986.00,0.0001
3985.00,0.0001
3984.00,0.0001
3983.00,0.0001
3982.00,0.0001
3981.00,0.0001
3980.00,0.0001
3979.00,0.0001
3978.00,0.0001
3977.00,0.0001
3976.00,0.0001
3975.00,0.0001
3974.00,0.0001
3973.00,0.0001
3972.00,0.0001
3971.00,0.0001
3970.00,0.0001
3969.00,0.0001
3968.00,0.0001
3967.00,0.0001
3966.00,0.0001
3965.00,0.0001
3964.00,0.0001
3963.00,0.0001
3962.00,0.0001
3961.00,0.0001
3960.00,0.0001
3959.00,0.0001
3958.00,0.0001
3957.00,0.0001
3956.00,0.0001
3955.00,0.0001
3954.00,0.0001
3953.00,0.0001
3952.00,0.0001
3951.00,0.0001
3950.00,0.0002
3949.00,0.0002
3948.00,0.0002
3947.00,0.0002
3946.00,0.0002
3945.00,0.0002
3944.00,0.0002
3943.00,0.0002
3942.00,0.0002
3941.00,0.0002
3940.00,0.0002
3939.00,0.0002
3938.00,0.0002
3937.00,0.0002
3936.00,0.0002
3935.00,0.0002
3934.00,0.0002
3933.00,0.0002
3932.00,0.0001
3931.00,0.0001
3930.00,0.0001
3929.00,0.0001
3928.00,0.0001
3927.00,0.0001
3926.00,0.0001
3925.00,0.0002
3924.00,0.0002
3923.00,0.0002
3922.00,0.0002
3921.00,0.0002
3920.00,0.0002
3919.00,0.0002
3918.00,0.0002
3917.00,0.0002
3916.00,0.0002
3915.00,0.0002
3914.00,0.0002
3913.00,0.0002
3912.00,0.0002
3911.00,0.0001
3910.00,0.0001
3909.00,0.0001
3908.00,0.0001
3907.00,0.0001
3906.00,0.0001
3905.00,0.0001
3904.00,0.0001
3903.00,0.0001
3902.00,0.0001
3901.00,0.0001
3900.00,0.0001
3899.00,0.0001
3898.00,0.0001
3897.00,0.0001
3896.00,0.0001
3895.00,0.0001
3894.00,0.0001
3893.00,0.0001
3892.00,0.0001
3891.00,0.0001
3890.00,0.0001
3889.00,0.0001
3888.00,0.0001
3887.00,0.0001
3886.00,0.0001
3885.00,0.0002
3884.00,0.0002
3883.00,0.0001
3882.00,0.0001
3881.00,0.0001
3880.00,0.0001
3879.00,0.0001
3878.00,0.0001
3877.00,0.0001
3876.00,0.0001
3875.00,0.0001
3874.00,0.0001
3873.00,0.0001
3872.00,0.0001
3871.00,0.0001
3870.00,0.0001
3869.00,0.0001
3868.00,0.0001
3867.00,0.0001
3866.00,0.0001
3865.00,0.0001
3864.00,0.0001
3863.00,0.0001
3862.00,0.0001
3861.00,0.0001
3860.00,0.0001
3859.00,0.0001
3858.00,0.0001
3857.00,0.0001
3856.00,0.0001
3855.00,0.0001
3854.00,0.0001
3853.00,0.0001
3852.00,0.0001
3851.00,0.0001
3850.00,0.0001
3849.00,0.0001
3848.00,0.0001
3847.00,0.0001
3846.00,0.0001
3845.00,0.0001
3844.00,0.0001
3843.00,0.0001
3842.00,0.0001
3841.00,0.0001
3840.00,0.0001
3839.00,0.0001
3838.00,0.0001
3837.00,0.0001
3836.00,0.0001
3835.00,0.0001
3834.00,0.0001
3833.00,0.0001
3832.00,0.0001
3831.00,0.0002
3830.00,0.0002
3829.00,0.0002
3828.00,0.0002
3827.00,0.0001
3826.00,0.0001
3825.00,0.0001
3824.00,0.0001
3823.00,0.0001
3822.00,0.0001
3821.00,0.0001
3820.00,0.0001
3819.00,0.0001
3818.00,0.0001
3817.00,0.0001
3816.00,0.0001
3815.00,0.0001
3814.00,0.0001
3813.00,0.0001
3812.00,0.0001
3811.00,0.0002
3810.00,0.0002
3809.00,0.0002
3808.00,0.0001
3807.00,0.0001
3806.00,0.0001
3805.00,0.0001
3804.00,0.0001
3803.00,0.0001
3802.00,0.0001
3801.00,0.0001
3800.00,0.0001
3799.00,0.0001
3798.00,0.0001
3797.00,0.0001
3796.00,0.0001
3795.00,0.0001
3794.00,0.0002
3793.00,0.0002
3792.00,0.0002
3791.00,0.0002
3790.00,0.0002
3789.00,0.0002
3788.00,0.0002
3787.00,0.0002
3786.00,0.0002
3785.00,0.0002
3784.00,0.0002
3783.00,0.0002
3782.00,0.0002
3781.00,0.0002
3780.00,0.0002
3779.00,0.0002
3778.00,0.0002
3777.00,0.0002
3776.00,0.0002
3775.00,0.0002
3774.00,0.0002
3773.00,0.0002
3772.00,0.0002
3771.00,0.0002
3770.00,0.0001
3769.00,0.0001
3768.00,0.0001
3767.00,0.0002
3766.00,0.0002
3765.00,0.0002
3764.00,0.0002
3763.00,0.0002
3762.00,0.0002
3761.00,0.0002
3760.00,0.0002
3759.00,0.0002
3758.00,0.0001
3757.00,0.0001
3756.00,0.0001
3755.00,0.0001
3754.00,0.0001
3753.00,0.0001
3752.00,0.0001
3751.00,0.0001
3750.00,0.0001
3749.00,0.0001
3748.00,0.0001
3747.00,0.0001
3746.00,0.0001
3745.00,0.0000
3744.00,0.0001
3743.00,0.0001
3742.00,0.0001
3741.00,0.0001
3740.00,0.0001
3739.00,0.0001
3738.00,0.0001
3737.00,0.0001
3736.00,0.0001
3735.00,0.0001
3734.00,0.0001
3733.00,0.0001
3732.00,0.0001
3731.00,0.0001
3730.00,0.0001
3729.00,0.0001
3728.00,0.0001
3727.00,0.0001
3726.00,0.0001
3725.00,0.0001
3724.00,0.0002
3723.00,0.0002
3722.00,0.0002
3721.00,0.0002
3720.00,0.0002
3719.00,0.0002
3718.00,0.0002
3717.00,0.0002
3716.00,0.0002
3715.00,0.0001
3714.00,0.0001
3713.00,0.0001
3712.00,0.0001
3711.00,0.0001
3710.00,0.0001
3709.00,0.0001
3708.00,0.0001
3707.00,0.0001
3706.00,0.0001
3705.00,0.0001
3704.00,0.0001
3703.00,0.0001
3702.00,0.0001
3701.00,0.0001
3700.00,0.0001
3699.00,0.0001
3698.00,0.0001
3697.00,0.0001
3696.00,0.0001
3695.00,0.0001
3694.00,0.0001
3693.00,0.0001
3692.00,0.0001
3691.00,0.0001
3690.00,0.0001
3689.00,0.0001
3688.00,0.0001
3687.00,0.0001
3686.00,0.0001
3685.00,0.0001
3684.00,0.0001
3683.00,0.0001
3682.00,0.0001
3681.00,0.0001
3680.00,0.0001
3679.00,0.0001
3678.00,0.0000
3677.00,0.0000
3676.00,0.0000
3675.00,0.0000
3674.00,0.0000
3673.00,0.0000
3672.00,-0.0000
3671.00,-0.0000
3670.00,-0.0000
3669.00,-0.0000
3668.00,0.0000
3667.00,0.0000
3666.00,0.0000
3665.00,0.0001
3664.00,0.0001
3663.00,0.0001
3662.00,0.0001
3661.00,0.0001
3660.00,0.0001
3659.00,0.0001
3658.00,0.0000
3657.00,0.0000
3656.00,0.0000
3655.00,0.0000
3654.00,0.0000
3653.00,0.0000
3652.00,-0.0000
3651.00,-0.0000
3650.00,-0.0000
3649.00,-0.0000
3648.00,-0.0000
3647.00,-0.0000
3646.00,-0.0000
3645.00,-0.0000
3644.00,0.0000
3643.00,0.0000
3642.00,0.0000
3641.00,0.0000
3640.00,0.0000
3639.00,0.0001
3638.00,0.0001
3637.00,0.0001
3636.00,0.0001
3635.00,0.0001
3634.00,0.0001
3633.00,0.0001
3632.00,0.0001
3631.00,0.0000
3630.00,0.0000
3629.00,0.0000
3628.00,0.0000
3627.00,0.0000
3626.00,0.0000
3625.00,0.0000
3624.00,0.0000
3623.00,0.0001
3622.00,0.0001
3621.00,0.0001
3620.00,0.0001
3619.00,0.0001
3618.00,0.0001
3617.00,0.0001
3616.00,0.0001
3615.00,0.0001
3614.00,0.0001
3613.00,0.0001
3612.00,0.0001
3611.00,0.0001
3610.00,0.0000
3609.00,0.0000
3608.00,0.0001
3607.00,0.0001
3606.00,0.0001
3605.00,0.0001
3604.00,0.0001
3603.00,0.0001
3602.00,0.0001
3601.00,0.0001
3600.00,0.0001
3599.00,0.0001
3598.00,0.0001
3597.00,0.0001
3596.00,0.0001
3595.00,0.0001
3594.00,0.0001
3593.00,0.0002
3592.00,0.0002
3591.00,0.0001
3590.00,0.0001
3589.00,0.0001
3588.00,0.0001
3587.00,0.0001
3586.00,0.0001
3585.00,0.0001
3584.00,0.0001
3583.00,0.0001
3582.00,0.0001
3581.00,0.0002
3580.00,0.0002
3579.00,0.0002
3578.00,0.0002
3577.00,0.0002
3576.00,0.0002
3575.00,0.0002
3574.00,0.0002
3573.00,0.0002
3572.00,0.0002
3571.00,0.0002
3570.00,0.0002
3569.00,0.0002
3568.00,0.0002
3567.00,0.0002
3566.00,0.0002
3565.00,0.0002
3564.00,0.0002
3563.00,0.0002
3562.00,0.0002
3561.00,0.0002
3560.00,0.0002
3559.00,0.0002
3558.00,0.0002
3557.00,0.0002
3556.00,0.0002
3555.00,0.0002
3554.00,0.0002
3553.00,0.0002
3552.00,0.0002
3551.00,0.0002
3550.00,0.0002
3549.00,0.0002
3548.00,0.0002
3547.00,0.0002
3546.00,0.0002
3545.00,0.0002
3544.00,0.0002
3543.00,0.0002
3542.00,0.0003
3541.00,0.0003
3540.00,0.0003
3539.00,0.0003
3538.00,0.0003
3537.00,0.0002
3536.00,0.0002
3535.00,0.0002
3534.00,0.0003
3533.00,0.0002
3532.00,0.0002
3531.00,0.0002
3530.00,0.0002
3529.00,0.0002
3528.00,0.0002
3527.00,0.0003
3526.00,0.0003
3525.00,0.0003
3524.00,0.0003
3523.00,0.0003
3522.00,0.0003
3521.00,0.0003
3520.00,0.0003
3519.00,0.0003
3518.00,0.0003
3517.00,0.0003
3516.00,0.0003
3515.00,0.0003
3514.00,0.0003
3513.00,0.0003
3512.00,0.0003
3511.00,0.0003
3510.00,0.0003
3509.00,0.0003
3508.00,0.0003
3507.00,0.0003
3506.00,0.0003
3505.00,0.0003
3504.00,0.0003
3503.00,0.0003
3502.00,0.0003
3501.00,0.0004
3500.00,0.0004
3499.00,0.0004
3498.00,0.0004
3497.00,0.0004
3496.00,0.0004
3495.00,0.0003
3494.00,0.0003
3493.00,0.0003
3492.00,0.0003
3491.00,0.0003
3490.00,0.0003
3489.00,0.0004
3488.00,0.0004
3487.00,0.0004
3486.00,0.0004
3485.00,0.0004
3484.00,0.0003
3483.00,0.0003
3482.00,0.0004
3481.00,0.0004
3480.00,0.0004
3479.00,0.0004
3478.00,0.0004
3477.00,0.0004
3476.00,0.0004
3475.00,0.0004
3474.00,0.0003
3473.00,0.0003
3472.00,0.0003
3471.00,0.0004
3470.00,0.0004
3469.00,0.0004
3468.00,0.0004
3467.00,0.0004
3466.00,0.0004
3465.00,0.0004
3464.00,0.0004
3463.00,0.0004
3462.00,0.0004
3461.00,0.0004
3460.00,0.0004
3459.00,0.0004
3458.00,0.0004
3457.00,0.0003
3456.00,0.0003
3455.00,0.0003
3454.00,0.0004
3453.00,0.0004
3452.00,0.0004
3451.00,0.0004
3450.00,0.0004
3449.00,0.0004
3448.00,0.0004
3447.00,0.0004
3446.00,0.0004
3445.00,0.0004
3444.00,0.0004
3443.00,0.0004
3442.00,0.0004
3441.00,0.0004
3440.00,0.0004
3439.00,0.0004
3438.00,0.0004
3437.00,0.0004
3436.00,0.0004
3435.00,0.0004
3434.00,0.0004
3433.00,0.0004
3432.00,0.0004
3431.00,0.0004
3430.00,0.0004
3429.00,0.0004
3428.00,0.0004
3427.00,0.0004
3426.00,0.0004
3425.00,0.0004
3424.00,0.0004
3423.00,0.0004
3422.00,0.0004
3421.00,0.0004
3420.00,0.0004
3419.00,0.0004
3418.00,0.0004
3417.00,0.0004
3416.00,0.0004
3415.00,0.0004
3414.00,0.0004
3413.00,0.0004
3412.00,0.0004
3411.00,0.0004
3410.00,0.0004
3409.00,0.0004
3408.00,0.0004
3407.00,0.0004
3406.00,0.0004
3405.00,0.0004
3404.00,0.0004
3403.00,0.0004
3402.00,0.0004
3401.00,0.0004
3400.00,0.0004
3399.00,0.0004
3398.00,0.0004
3397.00,0.0004
3396.00,0.0004
3395.00,0.0004
3394.00,0.0004
3393.00,0.0004
3392.00,0.0004
3391.00,0.0005
3390.00,0.0005
3389.00,0.0005
3388.00,0.0005
3387.00,0.0005
3386.00,0.0005
3385.00,0.0005
3384.00,0.0005
3383.00,0.0005
3382.00,0.0004
3381.00,0.0004
3380.00,0.0005
3379.00,0.0005
3378.00,0.0005
3377.00,0.0005
3376.00,0.0005
3375.00,0.0005
3374.00,0.0004
3373.00,0.0004
3372.00,0.0004
3371.00,0.0004
3370.00,0.0004
3369.00,0.0004
3368.00,0.0005
3367.00,0.0005
3366.00,0.0005
3365.00,0.0005
3364.00,0.0005
3363.00,0.0005
3362.00,0.0005
3361.00,0.0005
3360.00,0.0005
3359.00,0.0005
3358.00,0.0005
3357.00,0.0005
3356.00,0.0005
3355.00,0.0005
3354.00,0.0005
