Created as New Dataset,Sample 1047 By YargerLab Date Tuesday, September 22 2026
cm-1,A
4000.00,0.0021
3999.00,0.0021
3998.00,0.0021
3997.00,0.0021
3996.00,0.0021
3995.00,0.0021
3994.00,0.0021
3993.00,0.0021
3992.00,0.0021
3991.00,0.0021
3990.00,0.0021
3989.00,0.0021
3988.00,0.0021
3987.00,0.0021
3986.00,0.0021
3985.00,0.0021
3984.00,0.0021
3983.00,0.0021
3982.00,0.0021
3981.00,0.0021
3980.00,0.0021
3979.00,0.0021
3978.00,0.0022
3977.00,0.0021
3976.00,0.0021
3975.00,0.0021
3974.00,0.0021
3973.00,0.0021
3972.00,0.0021
3971.00,0.0021
3970.00,0.0021
3969.00,0.0021
3968.00,0.0021
3967.00,0.0021
3966.00,0.0021
3965.00,0.0021
3964.00,0.0021
3963.00,0.0021
3962.00,0.0021
3961.00,0.0021
3960.00,0.0021
3959.00,0.0021
3958.00,0.0021
3957.00,0.0021
3956.00,0.0021
3955.00,0.0021
3954.00,0.0021
3953.00,0.0021
3952.00,0.0021
3951.00,0.0020
3950.00,0.0020
3949.00,0.0020
3948.00,0.0020
3947.00,0.0020
3946.00,0.0020
3945.00,0.0020
3944.00,0.0020
3943.00,0.0020
3942.00,0.0020
3941.00,0.0021
3940.00,0.0021
3939.00,0.0021
3938.00,0.0021
3937.00,0.0021
3936.00,0.0021
3935.00,0.0021
3934.00,0.0021
3933.00,0.0020
3932.00,0.0020
3931.00,0.0021
3930.00,0.0021
3929.00,0.0021
3928.00,0.0021
3927.00,0.0021
3926.00,0.0021
3925.00,0.0020
3924.00,0.0020
3923.00,0.0020
3922.00,0.0020
3921.00,0.0020
3920.00,0.0020
3919.00,0.0021
3918.00,0.0021
3917.00,0.0021
3916.00,0.0020
3915.00,0.0020
3914.00,0.0020
3913.00,0.0020
3912.00,0.0020
3911.00,0.0020
3910.00,0.0021
3909.00,0.0021
3908.00,0.0021
3907.00,0.0021
3906.00,0.0020
3905.00,0.0020
3904.00,0.0019
3903.00,0.0019
3902.00,0.0020
3901.00,0.0020
3900.00,0.0020
3899.00,0.0020
3898.00,0.0020
3897.00,0.0020
3896.00,0.0020
3895.00,0.0020
3894.00,0.0020
3893.00,0.0020
3892.00,0.0020
3891.00,0.0020
3890.00,0.0020
3889.00,0.0020
3888.00,0.0020
3887.00,0.0020
3886.00,0.0020
3885.00,0.0020
3884.00,0.0020
3883.00,0.0020
3882.00,0.0020
3881.00,0.0020
3880.00,0.0020
3879.00,0.0020
3878.00,0.0020
3877.00,0.0020
3876.00,0.0020
3875.00,0.0020
3874.00,0.0020
3873.00,0.0020
3872.00,0.0020
3871.00,0.0020
3870.00,0.0020
3869.00,0.0020
3868.00,0.0020
3867.00,0.0020
3866.00,0.0019
3865.00,0.0019
3864.00,0.0019
3863.00,0.0019
3862.00,0.0019
3861.00,0.0019
3860.00,0.0020
3859.00,0.0020
3858.00,0.0020
3857.00,0.0020
3856.00,0.0021
3855.00,0.0021
3854.00,0.0021
3853.00,0.0021
3852.00,0.0020
3851.00,0.0020
3850.00,0.0020
3849.00,0.0019
3848.00,0.0019
3847.00,0.0019
3846.00,0.0020
3845.00,0.0020
3844.00,0.0020
3843.00,0.0020
3842.00,0.0020
3841.00,0.0020
3840.00,0.0020
3839.00,0.0020
3838.00,0.0020
3837.00,0.0020
3836.00,0.0020
3835.00,0.0019
3834.00,0.0019
3833.00,0.0019
3832.00,0.0019
3831.00,0.0019
3830.00,0.0020
3829.00,0.0020
3828.00,0.0020
3827.00,0.0020
3826.00,0.0020
3825.00,0.0020
3824.00,0.0020
3823.00,0.0020
3822.00,0.0020
3821.00,0.0019
3820.00,0.0019
3819.00,0.0019
3818.00,0.0019
3817.00,0.0020
3816.00,0.0020
3815.00,0.0020
3814.00,0.0020
3813.00,0.0020
3812.00,0.0020
3811.00,0.0020
3810.00,0.0020
3809.00,0.0020
3808.00,0.0020
3807.00,0.0020
3806.00,0.0020
3805.00,0.0020
3804.00,0.0020
3803.00,0.0020
3802.00,0.0020
3801.00,0.0020
3800.00,0.0020
3799.00,0.0020
3798.00,0.0020
3797.00,0.0020
3796.00,0.0020
3795.00,0.0020
3794.00,0.0020
3793.00,0.0020
3792.00,0.0020
3791.00,0.0020
3790.00,0.0020
3789.00,0.0021
3788.00,0.0021
3787.00,0.0021
3786.00,0.0021
3785.00,0.0020
3784.00,0.0020
3783.00,0.0020
3782.00,0.0020
3781.00,0.0020
3780.00,0.0020
3779.00,0.0020
3778.00,0.0020
3777.00,0.0020
3776.00,0.0020
3775.00,0.0020
3774.00,0.0020
3773.00,0.0020
3772.00,0.0020
3771.00,0.0020
3770.00,0.0020
3769.00,0.0020
3768.00,0.0021
3767.00,0.0021
3766.00,0.0021
3765.00,0.0021
3764.00,0.0021
3763.00,0.0021
3762.00,0.0021
3761.00,0.0020
3760.00,0.0020
3759.00,0.0020
3758.00,0.0020
3757.00,0.0021
3756.00,0.0021
3755.00,0.0021
3754.00,0.0021
3753.00,0.0021
3752.00,0.0021
3751.00,0.0021
3750.00,0.0021
3749.00,0.0021
3748.00,0.0021
3747.00,0.0020
3746.00,0.0020
3745.00,0.0020
3744.00,0.0020
3743.00,0.0020
3742.00,0.0020
3741.00,0.0020
3740.00,0.0020
3739.00,0.0020
3738.00,0.0019
3737.00,0.0019
3736.00,0.0019
3735.00,0.0019
3734.00,0.0019
3733.00,0.0019
3732.00,0.0019
3731.00,0.0019
3730.00,0.0019
3729.00,0.0019
3728.00,0.0019
3727.00,0.0019
3726.00,0.0019
3725.00,0.0019
3724.00,0.0019
3723.00,0.0019
3722.00,0.0019
3721.00,0.0019
3720.00,0.0019
3719.00,0.0019
3718.00,0.0019
3717.00,0.0020
3716.00,0.0020
3715.00,0.0020
3714.00,0.0021
3713.00,0.0021
3712.00,0.0021
3711.00,0.0021
3710.00,0.0021
3709.00,0.0021
3708.00,0.0021
3707.00,0.0021
3706.00,0.0021
3705.00,0.0020
3704.00,0.0020
3703.00,0.0020
3702.00,0.0020
3701.00,0.0021
3700.00,0.0021
3699.00,0.0021
3698.00,0.0021
3697.00,0.0021
3696.00,0.0021
3695.00,0.0021
3694.00,0.0022
3693.00,0.0022
3692.00,0.0022
3691.00,0.0022
3690.00,0.0022
3689.00,0.0022
3688.00,0.0022
3687.00,0.0022
3686.00,0.0022
3685.00,0.0022
3684.00,0.0022
3683.00,0.0023
3682.00,0.0023
3681.00,0.0023
3680.00,0.0024
3679.00,0.0024
3678.00,0.0025
3677.00,0.0026
3676.00,0.0026
3675.00,0.0026
3674.00,0.0026
3673.00,0.0026
3672.00,0.0026
3671.00,0.0027
3670.00,0.0027
3669.00,0.0028
3668.00,0.0028
3667.00,0.0029
3666.00,0.0029
3665.00,0.0030
3664.00,0.0031
3663.00,0.0031
3662.00,0.0031
3661.00,0.0031
3660.00,0.0032
3659.00,0.0032
3658.00,0.0033
3657.00,0.0033
3656.00,0.0034
3655.00,0.0034
3654.00,0.0035
3653.00,0.0035
3652.00,0.0036
3651.00,0.0037
3650.00,0.0037
3649.00,0.0037
3648.00,0.0038
3647.00,0.0039
3646.00,0.0040
3645.00,0.0040
3644.00,0.0041
3643.00,0.0042
3642.00,0.0042
3641.00,0.0043
3640.00,0.0044
3639.00,0.0045
3638.00,0.0045
3637.00,0.0046
3636.00,0.0047
3635.00,0.0048
3634.00,0.0049
3633.00,0.0050
3632.00,0.0050
3631.00,0.0051
3630.00,0.0052
3629.00,0.0052
3628.00,0.0053
3627.00,0.0054
3626.00,0.0054
3625.00,0.0055
3624.00,0.0056
3623.00,0.0056
3622.00,0.0057
3621.00,0.0058
3620.00,0.0059
3619.00,0.0060
3618.00,0.0060
3617.00,0.0061
3616.00,0.0062
3615.00,0.0063
3614.00,0.0063
3613.00,0.0064
3612.00,0.0065
3611.00,0.0066
3610.00,0.0067
3609.00,0.0067
3608.00,0.0068
3607.00,0.0069
3606.00,0.0070
3605.00,0.0070
3604.00,0.0071
3603.00,0.0072
3602.00,0.0072
3601.00,0.0073
3600.00,0.0073
3599.00,0.0074
3598.00,0.0075
3597.00,0.0076
3596.00,0.0077
3595.00,0.0078
3594.00,0.0078
3593.00,0.0079
3592.00,0.0080
3591.00,0.0081
3590.00,0.0082
3589.00,0.0082
3588.00,0.0083
3587.00,0.0084
3586.00,0.0084
3585.00,0.0085
3584.00,0.0086
3583.00,0.0088
3582.00,0.0089
3581.00,0.0090
3580.00,0.0091
3579.00,0.0091
3578.00,0.0092
3577.00,0.0093
3576.00,0.0094
3575.00,0.0095
3574.00,0.0096
3573.00,0.0096
3572.00,0.0097
3571.00,0.0098
3570.00,0.0099
3569.00,0.0100
3568.00,0.0100
3567.00,0.0101
3566.00,0.0101
3565.00,0.0102
3564.00,0.0103
3563.00,0.0104
3562.00,0.0105
3561.00,0.0106
3560.00,0.0107
3559.00,0.0108
3558.00,0.0109
3557.00,0.0110
3556.00,0.0111
3555.00,0.0111
3554.00,0.0112
3553.00,0.0113
3552.00,0.0114
3551.00,0.0115
3550.00,0.0116
3549.00,0.0117
