Created as New Dataset,Sample 752 By YargerLab Date Sunday, June 29 2025
cm-1,A
4000.00,0.0010
3999.00,0.0010
3998.00,0.0010
3997.00,0.0010
3996.00,0.0010
3995.00,0.0010
3994.00,0.0010
3993.00,0.0010
3992.00,0.0010
3991.00,0.0010
3990.00,0.0010
3989.00,0.0010
3988.00,0.0010
3987.00,0.0010
3986.00,0.0010
3985.00,0.0010
3984.00,0.0010
3983.00,0.0010
3982.00,0.0010
3981.00,0.0010
3980.00,0.0011
3979.00,0.0011
3978.00,0.0011
3977.00,0.0011
3976.00,0.0011
3975.00,0.0012
3974.00,0.0012
3973.00,0.0011
3972.00,0.0011
3971.00,0.0010
3970.00,0.0010
3969.00,0.0010
3968.00,0.0010
3967.00,0.0010
3966.00,0.0011
3965.00,0.0011
3964.00,0.0011
3963.00,0.0011
3962.00,0.0011
3961.00,0.0010
3960.00,0.0010
3959.00,0.0010
3958.00,0.0010
3957.00,0.0010
3956.00,0.0010
3955.00,0.0010
3954.00,0.0010
3953.00,0.0010
3952.00,0.0010
3951.00,0.0011
3950.00,0.0011
3949.00,0.0012
3948.00,0.0013
3947.00,0.0013
3946.00,0.0013
3945.00,0.0012
3944.00,0.0012
3943.00,0.0011
3942.00,0.0011
3941.00,0.0011
3940.00,0.0011
3939.00,0.0011
3938.00,0.0011
3937.00,0.0011
3936.00,0.0012
3935.00,0.0012
3934.00,0.0013
3933.00,0.0013
3932.00,0.0013
3931.00,0.0013
3930.00,0.0012
3929.00,0.0012
3928.00,0.0011
3927.00,0.0010
3926.00,0.0009
3925.00,0.0009
3924.00,0.0010
3923.00,0.0011
3922.00,0.0012
3921.00,0.0012
3920.00,0.0013
3919.00,0.0013
3918.00,0.0013
3917.00,0.0013
3916.00,0.0013
3915.00,0.0012
3914.00,0.0012
3913.00,0.0011
3912.00,0.0010
3911.00,0.0010
3910.00,0.0009
3909.00,0.0009
3908.00,0.0009
3907.00,0.0010
3906.00,0.0011
3905.00,0.0012
3904.00,0.0015
3903.00,0.0017
3902.00,0.0019
3901.00,0.0018
3900.00,0.0017
3899.00,0.0015
3898.00,0.0014
3897.00,0.0013
3896.00,0.0013
3895.00,0.0013
3894.00,0.0012
3893.00,0.0011
3892.00,0.0011
3891.00,0.0012
3890.00,0.0012
3889.00,0.0014
3888.00,0.0015
3887.00,0.0016
3886.00,0.0016
3885.00,0.0014
3884.00,0.0014
3883.00,0.0014
3882.00,0.0014
3881.00,0.0014
3880.00,0.0014
3879.00,0.0014
3878.00,0.0014
3877.00,0.0014
3876.00,0.0014
3875.00,0.0013
3874.00,0.0012
3873.00,0.0012
3872.00,0.0013
3871.00,0.0015
3870.00,0.0015
3869.00,0.0015
3868.00,0.0015
3867.00,0.0016
3866.00,0.0017
3865.00,0.0016
3864.00,0.0015
3863.00,0.0015
3862.00,0.0015
3861.00,0.0016
3860.00,0.0015
3859.00,0.0014
3858.00,0.0012
3857.00,0.0010
3856.00,0.0010
3855.00,0.0010
3854.00,0.0011
3853.00,0.0013
3852.00,0.0014
3851.00,0.0014
3850.00,0.0014
3849.00,0.0014
3848.00,0.0014
3847.00,0.0014
3846.00,0.0013
3845.00,0.0013
3844.00,0.0013
3843.00,0.0013
3842.00,0.0014
3841.00,0.0014
3840.00,0.0014
3839.00,0.0015
3838.00,0.0015
3837.00,0.0015
3836.00,0.0015
3835.00,0.0015
3834.00,0.0015
3833.00,0.0015
3832.00,0.0015
3831.00,0.0014
3830.00,0.0014
3829.00,0.0013
3828.00,0.0013
3827.00,0.0013
3826.00,0.0013
3825.00,0.0014
3824.00,0.0015
3823.00,0.0016
3822.00,0.0016
3821.00,0.0015
3820.00,0.0014
3819.00,0.0014
3818.00,0.0015
3817.00,0.0015
3816.00,0.0014
3815.00,0.0013
3814.00,0.0012
3813.00,0.0012
3812.00,0.0012
3811.00,0.0012
3810.00,0.0013
3809.00,0.0013
3808.00,0.0013
3807.00,0.0013
3806.00,0.0013
3805.00,0.0012
3804.00,0.0013
3803.00,0.0013
3802.00,0.0013
3801.00,0.0012
3800.00,0.0012
3799.00,0.0013
3798.00,0.0014
3797.00,0.0015
3796.00,0.0015
3795.00,0.0014
3794.00,0.0013
3793.00,0.0012
3792.00,0.0011
3791.00,0.0011
3790.00,0.0010
3789.00,0.0010
3788.00,0.0010
3787.00,0.0010
3786.00,0.0010
3785.00,0.0010
3784.00,0.0011
3783.00,0.0011
3782.00,0.0012
3781.00,0.0012
3780.00,0.0012
3779.00,0.0012
3778.00,0.0012
3777.00,0.0012
3776.00,0.0013
3775.00,0.0012
3774.00,0.0012
